url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/data-share/concepts-pricing,Understand pricing,Understand Azure Data Share pricing,Estimate and plan Azure Data Share pricing,Learn how Azure Data Share pricing works,"For snapshot-based sharing, Azure Data Share charges for Dataset Snapshot and Snapshot Execution. This article explains how to estimate Dataset Snapshot and Snapshot Execution using snapshot history information. Currently, the data provider is billed for the Dataset Snapshot and Snapshot Execution.",2026-01-20T08:00:00.000Z,concept-article,decision-making,0.7,True,"Explains how charges for Dataset Snapshot and Snapshot Execution are calculated, likely with concrete units and examples to estimate cost, supporting cost-related decision making.",unchanged
https://learn.microsoft.com/en-us/azure/data-share/concepts-roles-permissions,Roles and requirements,Roles and requirements for Azure Data Share,Assign roles and permissions for Azure Data Share,Learn about the permissions required to share and receive data using Azure Data Share.,This article describes roles and permissions required to share and receive data using Azure Data Share service.,2026-01-20T08:00:00.000Z,concept-article,security,0.85,True,"Explicitly about roles and permissions; will list Azure RBAC role names, required permissions, and scopes specific to sharing and receiving data.",unchanged
https://learn.microsoft.com/en-us/azure/data-share/data-share-troubleshoot,Troubleshoot,Troubleshoot Azure Data Share,Troubleshoot invitations and errors in Azure Data Share,Learn how to troubleshoot problems with invitations and errors when you create or receive data shares in Azure Data Share.,This article explains how to troubleshoot common problems in Azure Data Share.,2026-01-20T08:00:00.000Z,troubleshooting,troubleshooting,0.9,True,Explicit troubleshooting article; will map specific errors and symptoms to causes and resolutions unique to Azure Data Share.,unchanged
https://learn.microsoft.com/en-us/azure/data-share/disaster-recovery,Disaster recovery,Disaster recovery for Azure Data Share,Set up disaster recovery for Azure Data Share,Disaster recovery for Azure Data Share,"This article explains how to configure a disaster recovery environment for Azure Data Share. Azure data center outages are rare, but can last anywhere from a few minutes to hours. Data Center outages can cause disruption to environments that are relying on data being shared by the data provider. By following the steps detailed in this article, data providers can continue to share data with their data consumers if there's a data center outage for the primary region hosting your data share.",2026-01-20T08:00:00.000Z,how-to,deployment,0.7,True,"Disaster recovery guidance will include region pairing, replication, and failover configuration specific to Azure Data Share, representing deployment/DR patterns for production.",unchanged
https://learn.microsoft.com/en-us/azure/data-share/how-to-add-datasets,Add datasets,Add datasets to an existing Azure Data Share,Add datasets to existing Azure Data Shares,Learn how to add datasets to an existing data share in Azure Data Share and share with the same recipients.,"This article explains how to add datasets to a preexisting data share using Azure Data Share. This allows you to share more data with the same recipients without having to create a new share. For information on how to add datasets as you create a share, see theShare datatutorial.",2026-01-20T08:00:00.000Z,how-to,configuration,0.75,True,Explains how to modify an existing share by adding datasets; likely includes UI or API property names and constraints specific to Azure Data Share configuration.,unchanged
https://learn.microsoft.com/en-us/azure/data-share/how-to-add-recipients,Add recipients,Add recipients in Azure Data Share,Configure recipients and invitations in Azure Data Share,Learn how to add recipients to an existing data share in Azure Data Share.,"You can add recipient when you create a new share or to an existing share. From Azure Data Share UI, you can add recipient using the Azure sign-in email of the user. From API, you can use a combination of user/service principal and tenant ID. When a tenant ID is specified, the invitation can only be accepted into this tenant. Also from API, you can create an invitation without sending an email to the recipient.",2026-01-20T23:26:00.000Z,how-to,security,0.7,True,"Describes adding recipients using Azure sign-in emails, service principals, and tenant IDs; these are identity and access-related configurations specific to the service.",unchanged
https://learn.microsoft.com/en-us/azure/data-share/how-to-configure-mapping,Configure dataset mappings,Configure a dataset mapping in Azure Data Share,Configure dataset mappings for received Azure Data Shares,Learn how to configure a dataset mapping for a received share using Azure Data Share.,"This article explains how to configure a dataset mapping for a received share using Azure Data Share. You might want to configure a dataset mapping to specify a target data store where you want to receive data, or if you need to change the target data store.",2026-01-20T08:00:00.000Z,how-to,configuration,0.8,True,Dataset mapping involves specifying target data stores and mapping rules; this is a product-specific configuration feature with concrete options and parameters.,unchanged
https://learn.microsoft.com/en-us/azure/data-share/how-to-delete-invitation,Delete an invitation,Delete an invitation in Azure Data Share,,Learn how to delete an invitation to a data share recipient in Azure Data Share.,"This article explains how to delete an invitation to a recipient before they accept it. This prevents them from creating a share subscription and they'll never receive any shared data. If you delete the invitation to a consumer who has already created a share subscription, deleting their invitation won't have any effect. To revoke a share that's already been accepted, you canrevoke a share subscription.",2026-01-20T08:00:00.000Z,how-to,,0.4,False,"Explains how to delete an invitation; mostly procedural without detailed configuration tables, limits, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/data-share/how-to-monitor,Monitor share status and history,Monitor Azure Data Share status and history,,"Learn how to monitor invitation status, share subscriptions, and snapshot history for Azure Data Share","This article explains how you can monitor your Azure Data Share status and history. As a data provider, you can monitor various aspects of your data sharing relationships. Details such as whether your data consumers accepted your invitation to the data share, and whether they created a share subscription and started to use your data, are all available to monitor. As a data consumer, you can monitor the snapshots that have been triggered into your Azure subscription. You can also see Azure Monito",2026-01-20T08:00:00.000Z,how-to,,0.45,False,"Focuses on viewing status and history (invitations, subscriptions, snapshots); mostly UI-driven steps rather than reference-style configuration or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/data-share/how-to-revoke-share-subscription,Revoke a share subscription,Revoke a share subscription in Azure Data Share,,Learn how to revoke a share subscription from a recipient using Azure Data Share.,"This article explains how to revoke a share subscription from one or more of your consumers using Azure Data Share. This prevents a consumer from triggering any more snapshots. If the consumer hasn't yet triggered a snapshot, they won't receive the data once the share subscription is revoked. If they previously triggered a snapshot, the latest data that they have stays in their account.",2026-01-20T23:26:00.000Z,how-to,,0.4,False,Describes revoking a share subscription conceptually; likely step-based instructions without deep configuration matrices or error mappings.,unchanged
