url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/data-factory/apply-dataops,Manage your environment with DataOps,Applying DataOps - Azure Data Factory,Apply DataOps practices to Azure Data Factory,Learn how to apply DataOps to Azure Data Factory.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Azure Data Factory is Microsoft’s Data Integration and ETL service in the cloud. This paper provides guidance for DataOps in data factory. It isn't intended to be a complete tutorial on",2024-01-05T08:00:00.000Z,conceptual,best-practices,0.7,True,"Guidance paper with ADF-specific DataOps recommendations (branching, environments, automation) that go beyond generic best practices.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/apply-finops,FinOps in Azure Data Factory,Applying FinOps - Azure Data Factory,,Learn how to apply FinOps to Azure Data Factory.,This article describes how to apply FinOps in Azure Data Factory.,2024-10-03T08:00:00.000Z,conceptual,,0.2,False,"FinOps guidance is likely high-level cost management concepts and recommendations without product-specific numeric limits, configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/author-global-parameters,Global parameters,Global parameters - Azure Data Factory,Define and use global parameters in Azure Data Factory,Set global parameters for each of your Azure Data Factory environments,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Data Factory in Microsoft Fabricis the next generation of Azure Data Factory, with a simpler architecture, built-in AI, and new features. If you're new to data integration, start with Fabric Data Factory. Existing ADF workloads can upgrade to Fabric to access new capabilities across data science, real-time analytics, and reporting. Global parameters are constants across a data factory that pipelines can consume in any expression. They're u",2026-02-21T06:13:00.000Z,concept-article,configuration,0.75,True,"Global parameters documentation covers how to declare, scope, and reference them in expressions, with concrete UI/JSON fields and usage patterns that are specific configuration mechanics of ADF.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/author-management-hub,Management hub,Management hub - Azure Data Factory,Configure connections and global settings in ADF management hub,"Manage your connections, source control configuration and global authoring properties in the Azure Data Factory management hub","APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Data Factory in Microsoft Fabricis the next generation of Azure Data Factory, with a simpler architecture, built-in AI, and new features. If you're new to data integration, start with Fabric Data Factory. Existing ADF workloads can upgrade to Fabric to access new capabilities across data science, real-time analytics, and reporting. The management hub, accessed by theManagetab in the Azure Data Factory UX, is a portal that hosts global mana",2026-02-24T23:11:00.000Z,concept-article,configuration,0.65,True,"Management hub page manages connections, source control, and global authoring properties; likely includes named settings and options specific to ADF configuration.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/author-visually,Visually author data factories,Visual authoring - Azure Data Factory & Azure Synapse,,Learn how to use visual authoring in Azure Data Factory and Synapse Analytics,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Data Factory in Microsoft Fabricis the next generation of Azure Data Factory, with a simpler architecture, built-in AI, and new features. If you're new to data integration, start with Fabric Data Factory. Existing ADF workloads can upgrade to Fabric to access new capabilities across data science, real-time analytics, and reporting. The Azure Data Factory and Synapse Analytics user interface (UI) experience lets you visually author and depl",2026-03-25T22:12:00.000Z,how-to,,0.3,False,"Visual authoring overview/how-to; describes using the UI to author and deploy but not detailed config matrices, limits, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/automatic-connector-upgrade,Automatic connector upgrade,Automatic connector upgrade - Azure Data Factory,Use automatic connector upgrades in Azure Data Factory,This article describes the guidance for automatically upgrading connectors of Azure Data Factory.,"In addition to providingtoolsandbest practicesto help users manually upgrade their connectors, the service now also provides a more streamlined upgrade process for some cases where applicable. This is designed to help users adopt the most reliable and supported connector versions with minimal disruption. The following section outlines the general approach that the service takes for automatic upgrades. While this provides a high-level overview, it's strongly recommended to review the documentatio",2026-04-07T08:00:00.000Z,concept-article,decision-making,0.6,True,"Describes when and how automatic connector upgrades are applied, and when manual review is needed. This is guidance on choosing/accepting automatic vs manual upgrade paths, a product-specific decision process.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/azure-integration-runtime-ip-addresses,Azure integration runtime IP addresses,Azure Integration Runtime IP addresses - Azure Data Factory,Allow Azure Integration Runtime IP ranges through firewalls,"Learn which IP addresses you must allow inbound traffic from, in order to properly configure firewalls for securing network access to data stores.","APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Data Factory in Microsoft Fabricis the next generation of Azure Data Factory, with a simpler architecture, built-in AI, and new features. If you're new to data integration, start with Fabric Data Factory. Existing ADF workloads can upgrade to Fabric to access new capabilities across data science, real-time analytics, and reporting. The IP addresses that Azure Integration Runtime uses depends on the region where your Azure integration runti",2026-03-25T22:12:00.000Z,reference,security,0.9,True,"This page lists region-specific IP address ranges used by Azure Integration Runtime and how to configure firewalls to allow them, which is highly specific security/network configuration data that an LLM will not know from training.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/azure-ssis-integration-runtime-express-virtual-network-injection,Express virtual network injection,Configure a virtual network for express injection of Azure-SSIS integration runtime - Azure Data Factory,Configure express virtual network injection for Azure-SSIS integration runtime,Learn how to configure a virtual network for express injection of Azure-SSIS integration runtime.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! Note Express virtual network injection feature isn't supported for SSIS integration runtime in below regions yet: When you use SQL Server Integration Services (SSIS) in Azure Data Facto",2025-01-08T08:00:00.000Z,concept-article,configuration,0.8,True,"Express injection article includes region support constraints and specific vNet/subnet settings, making it detailed configuration and also implicitly includes some limits (supported regions).",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/azure-ssis-integration-runtime-package-store,Manage packages with Azure-SSIS IR package store,Manage packages with Azure-SSIS Integration Runtime package store - Azure Data Factory,Manage SSIS packages with Azure-SSIS package store,Learn how to manage packages with Azure-SSIS Integration Runtime package store.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! To lift & shift your on-premises SQL Server Integration Services (SSIS) workloads to the cloud, you can provision Azure-SSIS Integration Runtime (IR) in Azure Data Factory (ADF). For mo",2023-10-20T08:00:00.000Z,conceptual,configuration,0.7,True,"Explains Azure-SSIS IR package store behavior and configuration, including specific settings and management patterns unique to this feature.",unchanged
https://learn.microsoft.com/en-us/azure/data-factory/azure-ssis-integration-runtime-standard-virtual-network-injection,Standard virtual network injection,Configure a virtual network for standard injection of Azure-SSIS integration runtime - Azure Data Factory,Configure standard virtual network injection for Azure-SSIS integration runtime,Learn how to configure a virtual network for standard injection of Azure-SSIS integration runtime.,"APPLIES TO:Azure Data FactoryAzure Synapse Analytics Tip Try outData Factory in Microsoft Fabric, an all-in-one analytics solution for enterprises.Microsoft Fabriccovers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how tostart a new trialfor free! When using SQL Server Integration Services (SSIS) in Azure Data Factory (ADF) or Synapse Pipelines, there are two methods for you to join your Azure-SSIS integration runtime (IR) to a v",2024-01-05T08:00:00.000Z,conceptual,configuration,0.8,True,"Standard injection requires explicit configuration of vNet resources and IR properties, with parameter names and allowed values, which are product-specific configuration details.",unchanged
