url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/attach-sbom,Attach a signed SBOM to a container image,Attach a signed SBOM to a container image,Create and attach signed SBOMs to container images,Create and attach a signed SBOM to a container image,"A Software Bill of Materials (SBOM) is a build manifest that lists the components used to build a piece of software. An SBOM can be used to track the provenance of a piece of software, including container images, throughout its lifecycle. This article shows you how to create an SBOM for a container image, sign it, and attach it to the image using CLI tools. Other approaches are possible, including using a CI/CD pipeline to automate the process.",2023-10-12T16:55:00.000Z,article,integrations,0.7,True,"How-to article for creating, signing, and attaching SBOMs using specific CLI tools; likely includes concrete command syntax, parameters, and product-specific integration patterns that go beyond generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/acquire-overview,Acquire Stage,Acquire Stage,,"Learn about the background, objectives, and goals for the acquire stage of the Containers Secure Supply Chain (CSSC) framework","Acquisition of external container images to use as base or utility images is the first stage of the supply chain for containers. Enterprises may lack the expertise or resources to build every piece of software from source and need to rely on external sources for container images. Examples of such images are operating system or framework images, service proxies like NGINX and Envoy, or logging and metrics images like Fluentd and Kafka. It is important to establish certain quality checks before us",2023-09-08T22:59:00.000Z,article,,0.2,False,"Acquire stage overview describes goals and concepts; no specific RBAC roles, config parameters, or quantified checks are indicated.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/build-overview,Build Stage,Build Stage,,"Learn about the background, objectives, and goals for the Build stage of the Containers Secure Supply Chain (CSSC) framework","Building container images is the third stage of the Containers Secure Supply Chain (CSSC) framework. While some enterprises pull the base images from external sources directly, others may pull the base images from the internal catalog without verifying the images against their signatures and attestations. It is crucial to ensure that base images are always pulled from the internal catalog and verified before use. After building the images, some enterprises publish them without vulnerability and ",2023-10-12T16:55:00.000Z,article,,0.2,False,"Build stage overview is about background and goals; no product-specific configuration tables, limits, or error mappings are evident.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/catalog-overview,Catalog Stage,Catalog Stage,,"Learn about the background, objectives, and goals for the Catalog stage of the Containers Secure Supply Chain (CSSC) framework","Building a Catalog of container images for internal use is the second stage of the supply chain for containers. Container images that pass certain quality checks from the Acquire stage are hosted in an internal registry. It is essential to catalog container images so internal teams can easily discover and consume approved images required by enterprise applications and services. Additionally, container images in a catalog are continuously scanned for vulnerabilities and malware on a regular basis",2023-09-08T22:59:00.000Z,article,,0.2,False,"Catalog stage overview focuses on rationale and objectives; lacks detailed settings, limits, or concrete security configurations.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/containers-secure-supply-chain-overview,Introduction,Introduction to the Containers secure supply chain framework,,Introduction to the Containers secure supply chain framework,"Microsoft's Containers Secure Supply Chain (CSSC) framework is a seamless, agile ecosystem of tools and processes built to integrate and execute security controls throughout the lifecycle of containers. The container secure supply chain strategy is built considering all the security needs of the container applications. The goal is to prevent the use of vulnerable container images and create container infrastructure with a standard security portfolio. The CSSC framework is built using the followi",2023-09-08T22:59:00.000Z,article,,0.2,False,"High-level introduction to the Containers Secure Supply Chain framework; conceptual overview without concrete configuration values, limits, or error details.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/cssc-depenadabot-quickstart,Stay up to date with container image dependencies using Dependabot,Quickstart: Update and secure Container Dependencies with Dependabot.,Configure Dependabot and Copacetic for container security,"In this article you will learn how to configure and use Dependabot and Copacetic, to help you stay up-to-date with software dependencies and container image security.","In this quickstart, you'll be introduced to the steps necessary to configure Dependabot and Copacetic, which will help you automate software dependency updates and bolster the security of container images in a secure supply chain environment. By using these tools, you can ensure that your container images are always current and secure. In this quickstart, you learn how to:",2024-05-28T22:56:00.000Z,quickstart,configuration,0.65,True,"Quickstart for configuring Dependabot and Copacetic; likely contains repo-level configuration files, parameter names, and option values specific to these tools in a secure supply chain context.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/deploy-overview,Deploy Stage,Deploy Stage,,"Learn about the background, objectives, and goals for the deploy stage of the Containers Secure Supply Chain (CSSC) framework","The Deploy stage is the fourth stage of the Containers Secure Supply Chain (CSSC) framework.
Enterprises might deploy container images to their hosting environment to run containerized workloads
without validating the security and compliance of those container images. This increases the potential security risks or may result in running vulnerable or malicious code in the hosting environment.
The container image metadata and attestations produced in previous stages should be validated at deployme",2024-05-10T22:54:00.000Z,article,,0.2,False,"Deploy stage overview discusses validating metadata and attestations conceptually; does not show concrete policies, parameters, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/observability-overview,Observability,Observability,,"Learn about the background, objectives, and goals for the observability of the Containers Secure Supply Chain (CSSC) framework","Observabilityplays a role throughout the supply chain for containers by providing visibility, monitoring, and control
over the various stages, from acquisition to build to deployment and run. It is crucial for understanding the lifecycle
of the containerized application, the various stages of the supply chain it goes through, the components it depends
on as well as the actors that participate in its creation. With observability, enterprises can identify gaps in the
security of their container su",2023-09-08T22:59:00.000Z,article,,0.2,False,"Observability overview explains role of observability conceptually; no explicit metrics, configuration options, or diagnostic commands are described.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/container-secure-supply-chain-implementation/run-overview,Run Stage,Run Stage,,"Learn about the background, objectives, and goals for the Run stage of the Containers Secure Supply Chain (CSSC) framework","The Run stage is the fifth stage of the Containers Secure Supply Chain (CSSC) framework. This stage emphasizes scanning and monitoring the runtime environments and purging them of outdated and vulnerable images. This overview provides the background, objectives, and goals for the Run stage of the CSSC framework. Microsoft's Containers Secure Supply Chain (CSSC) framework identifies the need for running containers with trusted images and provides a set of best practices and tools to help securely",2024-01-09T23:58:00.000Z,article,,0.2,False,"Run stage overview mentions best practices at a high level; summary indicates conceptual guidance rather than specific, product-bound configurations.",unchanged
https://learn.microsoft.com/en-us/azure/security/container-secure-supply-chain/articles/notation-ado-task-sign,Sign and verify a container image with Notation in Azure Pipeline,Sign and verify a container image with Notation in Azure Pipeline,Sign and verify container images in Azure Pipelines with Notation,Sign and verify a container image with Notation in Azure Pipeline.,"The Notation task in Azure DevOps is a built-in task to sign and verify container images and other Open Container Initiative (OCI) artifacts within an Azure Pipeline. The Notation task utilizes the Notation CLI to execute these operations, ensuring that the artifacts are signed by a trusted entity and have not been tampered since their creation. The article walks you through creating an Azure pipeline that builds a container image, pushes it to ACR, and adds signatures using Notation and the Azu",2024-04-29T22:59:00.000Z,how-to,deployment,0.65,True,"Shows how to use the Notation Azure DevOps task in pipelines; expected to include task YAML schema, input parameters, and pipeline-specific constraints that are product-specific deployment details.",unchanged
