url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/azure-monitor-connector,Overview,Azure Impact Reporting: Azure Monitor Alert Connector,Integrate Azure Monitor alerts with Impact Reporting,Learn how to seamlessly report impact through Azure Monitor alerts.,"Important Azure Impact Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, seeSupplemental Terms of Use for Microsoft Azure Previews. When you use the impact connector for Azure Monitor alerts, you can seamlessly report the impact from an alert into Microsoft AI operations for change event correlation.",2025-10-20T22:03:00.000Z,overview,integrations,0.75,True,Describes the Azure Monitor impact connector for alerts and how alerts are transformed into impact reports. Likely includes connector configuration fields and mapping behavior unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/connectors-faq,FAQ for impact connectors,Azure Impact Reporting Connectors for Azure Monitor: FAQ,,Frequently asked questions about Azure Monitor connectors.,"Important Azure Impact Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, seeSupplemental Terms of Use for Microsoft Azure Previews. Here are answers to common questions about Azure Impact Reporting connectors.",2025-10-20T22:03:00.000Z,faq,,0.4,False,"FAQ for connectors; summary does not indicate detailed error codes, config tables, or numeric limits. Likely conceptual Q&A rather than deep technical reference.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/connectors-troubleshooting-guide,Troubleshoot impact connectors for Azure Monitor,Azure Impact Reporting: Connectors Troubleshooting Guide,Troubleshoot Azure Impact Reporting connectors,Azure Impact Reporting Connectors Troubleshooting Guide,"Important Azure Impact Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, seeSupplemental Terms of Use for Microsoft Azure Previews. This article outlines solutions to common errors that you might encounter when you create an Azure Impact Reporting connector. For issues not covered here, contact theImpact Reporting connectors team.",2025-10-20T22:03:00.000Z,overview,troubleshooting,0.85,True,"Explicit troubleshooting guide for connectors; likely organized by specific error messages/codes and their resolutions, which are product-specific diagnostic mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/create-azure-monitor-connector,Create an impact connector for Azure Monitor alerts,Azure Impact Reporting: Create an Azure Monitor Alert Connector,Create Azure Impact Reporting connectors for alerts,Learn how to create an Azure Impact Reporting connector for Azure Monitor alerts.,"Important Azure Impact Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, seeSupplemental Terms of Use for Microsoft Azure Previews. You can create impact connectors throughAzCLI,Azure PowerShell, or the Azure portal. This article outlines the connector creation process and requirements.",2025-10-20T22:03:00.000Z,overview,configuration,0.7,True,"Details creating impact connectors via Azure CLI, PowerShell, or portal. This typically includes resource properties, required parameters, and configuration options specific to the connector resource.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/creating-logic-app,Report impacts by using a logic app,Azure Impact Reporting: Create a Logic App,Use Logic Apps to send Azure impact reports,Learn how to onboard your workload to Azure Impact Reporting by using a logic app.,"Important Azure Impact Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, seeSupplemental Terms of Use for Microsoft Azure Previews. To learn more about available impact management actions, see theAPI docs. Use a logic app as a REST client for impact reporting.",2025-10-20T22:03:00.000Z,how-to,integrations,0.7,True,"Explains using a Logic App as a REST client for impact reporting. This typically includes connector/action configuration, request body schema, and product-specific integration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/faq,FAQ for Azure Impact Reporting,Azure Impact Reporting: FAQ,,Azure Impact Reporting frequently asked questions.,"Important Azure Impact Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, seeSupplemental Terms of Use for Microsoft Azure Previews. Here are answers to common questions about Azure Impact Reporting.",2025-10-20T22:03:00.000Z,faq,,0.4,False,"Azure Impact Reporting FAQ; likely general questions and answers without structured troubleshooting, configuration parameter tables, or numeric limits.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/guest-health-faq,FAQ for Guest Health Reporting,Azure HPC Guest Health Reporting - FAQ,Troubleshoot Azure HPC Guest Health Reporting issues,Frequently asked questions for Guest Health Reporting.,"Here are answers to common questions about Guest Health Reporting. Important Guest Health Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, see theSupplemental Terms of Use for Microsoft Azure Previews.",2026-04-14T22:03:00.000Z,faq,troubleshooting,0.68,True,"FAQ for a niche preview feature likely includes product-specific behaviors, constraints, and answers to concrete operational questions that aren't general knowledge, fitting a troubleshooting/diagnostic pattern rather than conceptual overview.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/guest-health-impact-categories,Impact categories,Azure HPC Guest Health Reporting - Impact Categories,Use valid HPC Guest Health impact categories,View Guest Health Reporting impact categories.,"To properly report issues to Guest Health Reporting, you must use an impact category that starts withResource.HPC. There are three main types of impact categories for high-performance computing (HPC): Important Guest Health Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, see theSupplemental Terms of Use for Microsoft Azure Previews.",2025-09-26T22:02:00.000Z,overview,configuration,0.8,True,"Specifies that impact categories must start with 'Resource.HPC' and mentions three main types. This is concrete, product-specific configuration data about allowed category values.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/guest-health-impact-report,Report node health,Azure HPC Guest Health Reporting - Report Node Health,,Share the health status of a supercomputing virtual machine with Azure.,"This article shows how to use Guest Health Reporting to share the health status of a supercomputing virtual machine (VM) with Azure. Before you begin, follow the instructions for onboarding and access management in thefeature overview. Important Guest Health Reporting is currently in preview. For legal terms that apply to Azure features that are in beta, in preview, or otherwise not yet released into general availability, see theSupplemental Terms of Use for Microsoft Azure Previews.",2026-04-09T11:11:00.000Z,overview,,0.2,False,"From the summary, the page appears to be a how-to/tutorial style description of using Guest Health Reporting for Azure HPC VMs, without clear evidence of numeric limits, detailed configuration parameter tables, error-code-based troubleshooting, or decision matrices. It likely explains usage rather than providing the kind of product-specific limits, configuration catalogs, or troubleshooting mappings required for expert-knowledge classification.",unchanged
https://learn.microsoft.com/en-us/azure/azure-impact-reporting/guest-health-log-upload,Log Upload for Guest Health Reporting,Azure HPC Guest Health Reporting - Provide Log File,Provide diagnostic log files for Guest Health Reporting,Provide a log file along with guest health report.,"Providing a log file helps make more precise repair actions. A log file should be uploaded prior to making the guest health report (GHR), with the GHR request containing aLogUrlfield inside theadditionalPropertiessection of the request body. TheLogUrlpoints to the uploaded log file from one of the supported platform-specific diagnostic tools (for example NVidia bug report).",2026-04-14T22:03:00.000Z,overview,integrations,0.7,True,"Describes a specific request body schema (LogUrl in additionalProperties) and how to integrate platform-specific diagnostic tools with Guest Health Reporting, which is product-specific API/configuration knowledge beyond generic tutorials.",unchanged
