url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/private-link/availability,Availability,Azure Private Link availability,Check Azure Private Link service availability by resource,"In this article, learn about which Azure services support Private Link.","Azure Private Link enables you to access Azure PaaS Services (for example, Azure Storage and SQL Database) and Azure hosted customer-owned/partner services over aprivate endpointin your virtual network. Important Azure Private Link is now generally available. Both Private Endpoint and Private Link service (service behind standard load balancer) are generally available. For known limitations, seePrivate EndpointandPrivate Link Service. Note The feature Private Link Service Direct Connect, which a",2026-03-30T08:00:00.000Z,concept-article,limits-quotas,0.7,True,"Describes which Azure services support Private Link; typically implemented as a service support/availability matrix, which is product-specific reference data not inferable from training.",unchanged
https://learn.microsoft.com/en-us/azure/private-link/configure-asg-private-endpoint,Configure an application security group,Configure an application security group with a private endpoint - Azure Private Link,,Learn how to create a private endpoint with an application security group (ASG) or apply an ASG to an existing private endpoint.,Azure Private Link private endpoints support application security groups (ASGs) for network security. You can associate private endpoints with an existing ASG in your current infrastructure alongside virtual machines and other network resources.,2026-03-30T08:00:00.000Z,how-to,,0.35,False,Shows how to associate private endpoints with application security groups; likely a how-to without detailed configuration parameter tables or security role definitions.,unchanged
https://learn.microsoft.com/en-us/azure/private-link/configure-private-link-service-direct-connect,Configure Private Link service Direct Connect,Configure Private Link service Direct Connect - Azure Private Link,Configure Private Link service Direct Connect destinations,Learn about Azure Private Link service Direct Connect.,Customers can now connect a Private Link service to any privately routable destination IP address. Azure Private Link service allows service providers to make their applications available to their customers privately and securely by placing them behind a standard load balancer. Private Link service Direct Connect expands on this capability and allows customers to directly connect a private link service to any privately routable destination IP address. This configuration is particularly useful fo,2025-12-12T05:44:00.000Z,how-to,configuration,0.65,True,Describes how to connect a Private Link service to arbitrary private IPs; likely includes specific configuration properties and constraints unique to this feature.,unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-network-security-perimeter-bicep,Create a network security perimeter - Bicep,Quickstart - Create a network security perimeter - Bicep - Azure Private Link,,Learn how to create a network security perimeter for an Azure resource using Bicep. This example demonstrates the creation of a network security perimeter for an Azure Key Vault.,"Get started with network security perimeter by creating a network security perimeter for an Azure Key Vault using Bicep. Anetwork security perimeterallowsAzure Platform as a Service (PaaS)resources to communicate within an explicit trusted boundary. You create and update a PaaS resource's association in a network security perimeter profile. Then you create and update network security perimeter access rules. When you're finished, you delete all resources created in this quickstart. Bicepis a doma",2025-08-05T16:10:00.000Z,quickstart,,0.35,False,"Bicep quickstart; one example deployment, not a configuration catalog or decision guide.",unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-network-security-perimeter-cli,Azure CLI,Quickstart - Create a network security perimeter - Azure CLI - Azure Private Link,Create and manage network security perimeters with Azure CLI,Learn how to create a network security perimeter for an Azure resource using Azure CLI. This example demonstrates the creation of a network security perimeter for an Azure Key Vault.,"Get started with network security perimeter by creating a network security perimeter for an Azure Key Vault using Azure CLI. Anetwork security perimeterallowsAzure PaaS (PaaS)resources to communicate within an explicit trusted boundary. Next, You create and update a PaaS resources association in a network security perimeter profile. Then you create and update network security perimeter access rules. When you're finished, you delete all resources created in this quickstart. Important Network secu",2025-10-08T22:11:00.000Z,quickstart,configuration,0.65,True,"Quickstart for creating a network security perimeter and configuring associations and access rules via Azure CLI. Involves specific resource types and CLI parameters for network security perimeter profiles and rules, which are product-specific configuration details rather than generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-network-security-perimeter-cli,Create a network security perimeter - Azure CLI,Quickstart - Create a network security perimeter - Azure CLI - Azure Private Link,,Learn how to create a network security perimeter for an Azure resource using Azure CLI. This example demonstrates the creation of a network security perimeter for an Azure Key Vault.,"Get started with network security perimeter by creating a network security perimeter for an Azure Key Vault using Azure CLI. Anetwork security perimeterallowsAzure PaaS (PaaS)resources to communicate within an explicit trusted boundary. Next, You create and update a PaaS resources association in a network security perimeter profile. Then you create and update network security perimeter access rules. When you're finished, you delete all resources created in this quickstart. Important Network secu",2025-10-08T22:11:00.000Z,quickstart,,0.25,False,CLI quickstart for network security perimeter; tutorial-style content without expert-level configuration matrices or limits.,unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-network-security-perimeter-portal,Create a network security perimeter - Azure portal,Quickstart - Create a network security perimeter - Azure portal - Azure Private Link,,Learn how to create a network security perimeter for an Azure resource using the Azure portal. This example demonstrates the creation of a network security perimeter for an Azure Key Vault.,"Get started with network security perimeter by creating a network security perimeter for an Azure Key Vault using the Azure portal. Anetwork security perimeterallowsAzure PaaS (PaaS)resources to communicate within an explicit trusted boundary. Next, You create and update a PaaS resources association in a network security perimeter profile. Then you create and update network security perimeter access rules. When you're finished, you delete all resources created in this quickstart. Important Netwo",2025-10-08T22:11:00.000Z,quickstart,,0.25,False,"Portal quickstart for creating a network security perimeter; procedural steps without detailed RBAC role lists, config parameter tables, or numeric limits.",unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-network-security-perimeter-powershell,Create a network security perimeter - PowerShell,Quickstart - Create a network security perimeter - Azure PowerShell - Azure Private Link,,Learn how to create a network security perimeter for an Azure resource using Azure PowerShell. This example demonstrates the creation of a network security perimeter for an Azure Key Vault.,"Get started with network security perimeter by creating a network security perimeter for an Azure Key Vault using Azure PowerShell. Anetwork security perimeterallowsAzure Platform as a Service (PaaS)resources to communicate within an explicit trusted boundary. You create and update a PaaS resource's association in a network security perimeter profile. Then you create and update network security perimeter access rules. When you're finished, you delete all resources created in this quickstart. Imp",2025-10-08T22:11:00.000Z,quickstart,,0.25,False,PowerShell quickstart for network security perimeter; focuses on example commands rather than exhaustive configuration or security role references.,unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-network-security-perimeter-template,Create a network security perimeter - ARM template,Quickstart - Create a network security perimeter - ARM Template,,Learn how to create a network security perimeter for an Azure resource using the Azure Resource Manager template. This example demonstrates the creation of a network security perimeter for an Azure Ke,"Get started with network security perimeter by creating a network security perimeter for an Azure key vault using Azure Resource Manager (ARM) template. Anetwork security perimeterallowsAzure Platform as a Service (PaaS)resources to communicate within an explicit trusted boundary. You create and update a PaaS resource's association in a network security perimeter profile. Then you create and update network security perimeter access rules. When you're finished, you delete all resources created in",2025-08-01T08:00:00.000Z,quickstart,,0.35,False,"ARM template quickstart; example-focused, not a detailed reference of parameters or limits.",unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-private-endpoint-bicep,Create a private endpoint - Bicep,Quickstart: Create a private endpoint - Bicep,,"In this quickstart, you'll learn how to create a private endpoint using Bicep.","In this quickstart, you'll use Bicep to create a private endpoint. Bicepis a domain-specific language (DSL) that uses declarative syntax to deploy Azure resources. It provides concise syntax, reliable type safety, and support for code reuse. Bicep offers the best authoring experience for your infrastructure-as-code solutions in Azure. You can also create a private endpoint by using theAzure portal,Azure PowerShell, theAzure CLI, or anAzure Resource Manager Template.",2025-03-25T08:00:00.000Z,quickstart,,0.3,False,"Bicep quickstart; shows one deployment example, not a full configuration matrix or limits/quotas.",unchanged
https://learn.microsoft.com/en-us/azure/private-link/create-private-endpoint-cli,Create a private endpoint - Azure CLI,Quickstart: Create a private endpoint - Azure CLI,,"In this quickstart, you learn how to create a private endpoint using the Azure CLI.","Get started with Azure Private Link by creating and using a private endpoint to connect securely to an Azure web app. In this quickstart, create a private endpoint for an Azure App Services web app and then create and deploy a virtual machine (VM) to test the private connection. You can create private endpoints for various Azure services, such as Azure SQL and Azure Storage.",2026-02-20T08:00:00.000Z,quickstart,,0.3,False,CLI quickstart; focuses on basic creation steps rather than exhaustive configuration options or expert-only constraints.,unchanged
