url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-functions/add-bindings-existing-function,How to connect to services,Connect functions to other Azure services,Add Azure service bindings to existing functions,Learn how to add bindings that connect to other Azure services to an existing function in your Azure Functions project.,"When you create a function, language-specific trigger code is added in your project from a set of trigger templates. If you want to connect your function to other services by using input or output bindings, you have to add specific binding definitions in your function. To learn more about bindings, seeAzure Functions triggers and bindings concepts.",2026-06-03T05:14:00.000Z,how-to,integrations,0.7,True,"Explains how to define input/output bindings for various Azure services in function metadata (function.json or attributes), including binding types and configuration fields, which are concrete integration patterns and parameters unique to Azure Functions.",unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/analyze-telemetry-data,Analyze telemetry data,Analyze Azure Functions telemetry in Application Insights,,Learn how to view and query for Azure Functions telemetry data collected by and stored in Azure Application Insights.,"Azure Functions integrates with Application Insights to better enable you to monitor your function apps. Application Insights collects telemetry data generated by your function app, including information your app writes to logs. Application Insights integration is typically enabled when your function app is created. If your function app doesn't have the instrumentation key set, you must firstenable Application Insights integration. By default, the data collected from your function app is stored ",2023-01-09T18:04:00.000Z,how-to,,0.45,False,Focuses on viewing and querying telemetry in Application Insights; primarily usage of analytics rather than Functions-specific configuration or troubleshooting mappings.,unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/bring-dependency-to-functions,Bring dependencies to function apps,Bring dependencies and third-party libraries to Azure Functions,,Learn how to bring files or third party library,"In this article, you learn to bring in third-party dependencies into your functions apps. Examples of third-party dependencies are json files, binary files and machine learning models. In this article, you learn how to:",2022-03-24T11:04:00.000Z,article,,0.4,False,High-level guidance on bringing third-party dependencies; summary suggests generic patterns rather than detailed configuration parameters or quotas.,unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/concept-file-access-options,Choose a file access strategy,Choose a file access strategy for Azure Functions,Choose Azure Functions file access strategy,"Compare storage bindings, external databases, and Azure Files storage mounts to choose the right file access approach for your function app.","This article compares three ways to access files from Azure Functions: storage bindings, external databases, and Azure Files storage mounts. You learn the trade-offs between each approach, see when mounts are the right choice, and find patterns for real-world scenarios. Storage bindings and external databases work on all hosting plans. Storage mounts are Linux only and aren't supported on theConsumptionplan. If you want to jump straight to working code, see theTutorial: Durable text analysis wit",2026-03-25T11:19:00.000Z,concept-article,decision-making,0.7,True,"Compares storage bindings, external databases, and Azure Files mounts with trade-offs and guidance on when to use each; includes plan support constraints (Linux only, not supported on Consumption) and scenario-based recommendations, fitting decision-making criteria.",unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/configure-encrypt-at-rest-using-cmk,Encrypt site data,Encrypt your application source at rest,Encrypt Azure Functions application source at rest,Encrypt your application data in Azure Storage and deploy it as a package file.,Encrypting your function app's application data at rest requires an Azure Storage Account and an Azure Key Vault. These services are used when you run your app from a deployment package.,2022-03-24T11:04:00.000Z,article,security,0.7,True,"Describes using Azure Storage and Key Vault to encrypt application data when running from a deployment package, which is a product-specific security configuration scenario.",unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/configure-monitoring,Configure monitoring,Configure monitoring for Azure Functions,Configure Application Insights monitoring for Azure Functions,Learn how to connect your function app to Application Insights for monitoring and how to configure data collection.,"Azure Functions integrates with Application Insights to better enable you to monitor your function apps. Application Insights, a feature of Azure Monitor, is an extensible Application Performance Management (APM) service that collects data generated by your function app, including information your app writes to logs. Application Insights integration is typically enabled when your function app is created. If your app doesn't have the instrumentation key set, you must firstenable Application Insig",2025-05-19T08:00:00.000Z,how-to,configuration,0.75,True,"Shows how to connect a function app to Application Insights and configure data collection, including instrumentation key settings and related parameters, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/configure-networking-how-to,Networking,How to use a secured storage account with Azure Functions,Use secured storage accounts with Azure Functions,Learn how to use a secured storage account in a virtual network as the default storage account for a function app in Azure Functions.,"Azure Functions requires an Azure Storage account when you create a function app instance. This default storage account is used by the Functions runtime to maintain the health of your function app. For more information, seeStorage considerations for Azure Functions. This article shows you how to use a secured storage account as the default storage account. For an in-depth tutorial on how to create your function app with inbound and outbound access restrictions, see theIntegrate with a virtual ne",2025-05-12T22:03:00.000Z,how-to,security,0.75,True,"Details how to configure a function app to use a secured storage account in a virtual network as its default storage, involving product-specific security and networking settings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/consumption-plan,Consumption plan (legacy),Azure Functions Consumption plan hosting (legacy),Plan migration from legacy Azure Functions Consumption plan,"Learn about Azure Functions Consumption plan hosting, a legacy serverless hosting option. We recommend the Flex Consumption plan for new serverless function apps.","Important Function apps still running theend-of-life v3 runtimeon Linux in a Consumption plan stop running after September 30, 2026. To avoid service disruption,migrate your app to the v4 runtime. The option to host function apps on Linux in a Consumption plan is retiring on 30 September 2028. The Linux Consumption plan isn't getting any new features orlanguage versions. Apps running on Windows in a Consumption plan aren't currently affected.Migrate your apps to the Flex Consumption planbefore t",2026-04-17T22:08:00.000Z,concept-article,decision-making,0.65,True,"Includes specific end-of-life dates, platform-specific retirement details, and explicit recommendations to migrate to Flex Consumption, providing concrete guidance for hosting-plan and migration decisions.",unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/container-concepts,Containerized functions,Linux container support in Azure Functions,Run Azure Functions in Linux containers,Describes the options for and benefits of running your function code in Linux containers in Azure.,"When you plan and develop your individual functions to run in Azure Functions, you're typically focused on the code itself. Azure Functions makes it easy to deploy just your code project to a function app in Azure. When you deploy your project to a Linux function app, your code runs in a container that is created for you automatically and seamlessly integrates with Functions management tools. Functions also supports containerized function app deployments. In a containerized deployment, you creat",2025-07-30T22:07:00.000Z,concept-article,architecture-patterns,0.65,True,Describes container-based deployment options and patterns specific to Azure Functions (built-in vs custom containers) and when to use each; product-specific architecture guidance.,unchanged
https://learn.microsoft.com/en-us/azure/azure-functions/create-first-function-azure-developer-cli,Scalable web API,Build a scalable web API using Azure Functions,,Learn how to use the Azure Developer CLI (azd) to create resources and deploy a scalable web API project to a Flex Consumption plan on Azure.,"In this quickstart, you use Azure Developer command-line tools to build a scalable web API with function endpoints that respond to HTTP requests. After testing the code locally, you deploy it to a new serverless function app you create running in a Flex Consumption plan in Azure Functions. The project source uses the Azure Developer CLI (azd) to simplify deploying your code to Azure. This deployment follows current best practices for secure and scalable Azure Functions deployments. By default, t",2025-12-03T23:21:00.000Z,quickstart,,0.4,False,Quickstart for building a web API with azd; mostly step-by-step tutorial without detailed config matrices or limits.,unchanged
