url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/bot-service/abs-quickstart?view=azure-bot-service-4.0,Create an Azure Bot resource,Create an Azure Bot resource in the Azure portal - Bot Service,,"Learn how to use the Azure portal to create a bot resource for the Azure AI Bot Service, an integrated, dedicated bot development environment.","APPLIES TO:SDK v4 TheAzure Botresource (bot resource) allows you to register your bot with Azure AI Bot Service and to connect your bot to channels. You can build, connect, and manage bots to interact with your users wherever they are, from your app or website to Teams, Messenger and many other channels. This article describes how to create a bot resource through the Azure portal.",2024-12-19T01:00:00.000Z,quickstart,,0.25,False,Portal-based quickstart for creating an Azure Bot resource; likely procedural without detailed configuration parameter tables or tier matrices.,unchanged
https://learn.microsoft.com/en-us/azure/bot-service/adaptive-dialog/adaptive-dialog-prebuilt-actions?view=azure-bot-service-4.0,Actions,Prebuilt actions for adaptive dialogs - Bot Service,Configure prebuilt adaptive dialog actions in Bot Framework,"Learn about the adaptive dialog prebuilt actions, grouped by their general purpose.","APPLIES TO:SDK v4 This article lists the actions defined in the Bot Framework SDK, grouped by their general purpose.",2024-10-09T08:00:00.000Z,reference,configuration,0.7,True,"Catalog of prebuilt actions grouped by purpose, with action names and key properties. This is a reference of configuration primitives unique to the SDK.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/adaptive-dialog/adaptive-dialog-prebuilt-inputs?view=azure-bot-service-4.0,Inputs,Inputs in adaptive dialogs in Bot Framework SDK - Bot Service,Use prebuilt input dialogs for collecting user data,Learn about adaptive dialogs prebuilt inputs for collecting and validating user input.,APPLIES TO:SDK v4 The Bot Framework SDK defines various input dialogs for collecting and validating user input.,2024-10-09T08:00:00.000Z,reference,configuration,0.7,True,"Lists input dialog types and validation options, including property names and behaviors. These are specific configuration constructs for adaptive dialogs.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/adaptive-dialog/adaptive-dialog-prebuilt-memory-states?view=azure-bot-service-4.0,Memory scopes,Managing state in adaptive dialogs - reference guide - Bot Service,Reference memory scopes and paths in adaptive dialogs,Describing memory scopes in adaptive dialogs,"APPLIES TO:SDK v4 This article provides technical details that will help you work with memory scopes in adaptive dialogs. For an introduction to memory scopes and managing state in adaptive dialogs, see theConversation flow and memoryComposer concept article. Tip All property paths are case-insensitive. For example,user.nameis the same asuser.Name. Also, if you don't have a property nameduser.nameand you create a property nameduser.name.firsttheuser.nameobject will automatically be created for y",2024-10-09T08:00:00.000Z,concept-article,configuration,0.8,True,"Technical reference for memory scopes, property paths, and behaviors (case-insensitivity, auto-creation). These are detailed state configuration semantics unique to adaptive dialogs.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/adaptive-dialog/adaptive-dialog-prebuilt-recognizers?view=azure-bot-service-4.0,Recognizers,Prebuilt recognizers for adaptive dialogs - Bot Service,Configure built-in recognizers for adaptive dialogs,Adaptive dialogs and language recognizers work together to interpret user intent and to react fluidly to user input. This article describes builtin recognizers in the Bot Framework SDK.,"APPLIES TO:SDK v4 Language recognizers let your bot interpret user input. Adaptive dialogs and language recognizers work together to interpret user intent and to react fluidly to user input. This article describes the builtin recognizers in the Bot Framework SDK and some of their key properties. For information about how recognizer are used, seeLanguage understandingin the Bot Framework Composer documentation.",2024-10-09T08:00:00.000Z,reference,configuration,0.7,True,"Describes builtin recognizer types and key properties, which are specific configuration options for language understanding in Bot Framework.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/adaptive-dialog/adaptive-dialog-prebuilt-triggers?view=azure-bot-service-4.0,Events and triggers,Events and triggers for adaptive dialogs - Bot Service,Use prebuilt adaptive dialog triggers in Bot Framework,Describes the adaptive dialog prebuilt triggers. Triggers handle dialog specific events that are related to the lifecycle of the dialog.,"APPLIES TO:SDK v4 For an introduction to this topic, see theTriggersconcept article in the Composer documentation.",2024-10-09T08:00:00.000Z,reference,configuration,0.65,True,"Lists prebuilt triggers and their conditions/properties. These are product-specific configuration elements (trigger names, event mappings) not generally known.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/adaptive-expressions/adaptive-expressions-api-reference?view=azure-bot-service-4.0,API reference,API reference for Adaptive expressions - Bot Service,Adaptive expressions API reference for Bot Framework,API reference for Adaptive expressions,APPLIES TO:SDK v4,2024-10-09T08:00:00.000Z,reference,configuration,0.8,True,"API reference for adaptive expressions, including function signatures, parameters, and behaviors—detailed configuration/expression semantics.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/adaptive-expressions/adaptive-expressions-prebuilt-functions?view=azure-bot-service-4.0,Prebuilt functions,Adaptive expressions prebuilt functions in Bot Framework SDK - Bot Service,Use prebuilt adaptive expression functions in bots,Learn about the available prebuilt functions in adaptive expressions ordered by their general purpose.,"APPLIES TO:SDK v4 This article lists the available prebuilt functions ordered by their general purpose. For information about operators used in prebuilt functions and expression syntax, seeOperators. Prebuilt expressions are divided into the following function types: You can also view the list inalphabetical order.",2024-10-09T08:00:00.000Z,reference,configuration,0.8,True,"Lists all prebuilt functions by category, with names and likely signatures. This is a configuration/reference catalog of expression functions specific to the SDK.",unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bf-cli-overview?view=azure-bot-service-4.0,Bot Framework CLI tool,Azure Bot Framework CLI tool - Bot Service,,About the Bot Framework Command-Line Interface (CLI) tool.,APPLIES TO:SDK v4 You can use the Bot Framework CLI to manage Bot Framework bots and related services. The CLI aggregates a collection of cross-platform tools into one cohesive and consistent interface.,2024-10-09T08:00:00.000Z,reference,,0.3,False,Overview of Bot Framework CLI; likely describes capabilities at a high level without exhaustive command/parameter reference in this page.,unchanged
https://learn.microsoft.com/en-us/azure/bot-service/bot-activity-handler-concept?view=azure-bot-service-4.0,Event-driven conversations,Event-driven conversations and activity handlers - Bot Service,,Become familiar with the bot activity handler. Learn about managing bot reasoning based on the type of activity received from a user.,"APPLIES TO:SDK v4 Anactivity handleris an event-driven way to organize the conversational logic for your bot.
Each different type or subtype of activity represents a different type of conversational event.
Under the covers, the bot'sturn handlercalls the individual activity handler for whatever type of activity it received. For example, if the bot receives a message activity, the turn handler would see that incoming activity and send it to theon message activityactivity handler. When building yo",2024-10-09T08:00:00.000Z,article,,0.3,False,Describes activity handlers and event-driven conversations conceptually; no evidence of configuration tables or product-specific limits.,unchanged
