url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/foundry-local/concepts/foundry-local-architecture,Foundry Local Architecture,Foundry Local architecture overview - Foundry Local,,Learn how Foundry Local delivers end-to-end local AI inference directly inside your application as a native library.,"Foundry Local is an end-to-end local AI solution that ships as a single native library inside your application. Rather than connecting to a separate service or daemon, your code loads the Foundry Local Core API in-process and calls it through language-specific software development kits (SDKs) for C#, JavaScript, Python, and Rust. The result is a self-contained application that runs small language models on local hardware with no external dependencies. This article explains the components that ma",2026-06-15T08:00:00.000Z,concept-article,,0.2,False,"Architecture overview article; conceptual explanation of components, not a decision matrix or pattern guide with thresholds.",updated
https://learn.microsoft.com/en-us/azure/foundry-local/get-started,Get Started,Get started with Foundry Local - Foundry Local,,Build your first on-device AI application with the Foundry Local SDK.,"In this quickstart, you create a console application that downloads a local AI model, generates a streaming chat response, and unloads the model. Everything runs on your device with no cloud dependency or Azure subscription.",2026-06-15T08:00:00.000Z,quickstart,,0.3,False,"Quickstart tutorial showing basic usage; no configuration tables, limits, or product-specific troubleshooting.",updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-compile-hugging-face-models,Compile Hugging Face models to run on Foundry Local,Compile Hugging Face models and run on Foundry Local - Foundry Local,Compile Hugging Face models for Foundry Local with Olive,Learn how to compile and run Hugging Face models with Foundry Local.,"Foundry Local runs ONNX models on your device. UseOliveto convert and optimize models from Hugging Face (SafetensorsorPyTorch) into ONNX so you can run them with Foundry Local. Important The Olive CLI and optimization settings change over time, and a single command line example might not work for every model, device, or execution provider. For the most reliable, up-to-date examples, start with theOlive Recipes repository. It provides a set of targeted recipes for various models, optimized for di",2026-06-15T08:00:00.000Z,how-to,configuration,0.7,True,Covers Olive CLI and optimization settings for converting models; likely includes command-line flags and configuration options specific to Foundry Local model compilation.,updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-generate-embeddings,Generate text embeddings,Generate text embeddings - Foundry Local,Generate text embeddings with Foundry Local SDK,Learn how to generate text embeddings with the Foundry Local SDK using an on-device embedding model.,"The Foundry Local SDK provides an embedding API that converts text into numerical vectors on-device. Use these vectors for similarity search, classification, clustering, and retrieval-augmented generation (RAG). The SDK supports both single-input and batch embedding generation through a dedicated embedding client.",2026-06-15T08:00:00.000Z,how-to,integrations,0.65,True,"Describes Foundry Local embedding API; expected to list API methods and parameters specific to this product, matching integrations criteria.",updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-integrate-with-inference-sdks,Use chat completions via REST server,Integrate with inference SDKs - Foundry Local,Integrate Foundry Local with OpenAI-style inference SDKs,This article provides instructions on how to integrate Foundry Local with common Inferencing SDKs.,Foundry Local integrates with OpenAI-compatible SDKs and HTTP clients through a local REST server. This article shows you how to connect your app to local AI models by using popular SDKs.,2026-06-15T08:00:00.000Z,how-to,integrations,0.8,True,Explicitly about integrating with OpenAI-compatible SDKs and HTTP clients; likely includes endpoint formats and config parameters unique to Foundry Local’s local REST server.,updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-live-transcribe-audio,Live transcribe audio (speech-to-text) from a microphone,Live transcribe audio from a microphone - Foundry Local,Live microphone transcription with Foundry Local,Use the Foundry Local live audio transcription API to transcribe microphone audio in real time.,"Use Foundry Local's live audio transcription API to stream microphone audio and receive transcription results in real time. In this article, you create a console application that captures audio from your microphone, streams it to a local speech model, and prints transcription output as you speak.",2026-06-15T08:00:00.000Z,how-to,integrations,0.65,True,Uses live audio transcription API; likely includes streaming parameters and API usage unique to this product.,updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-transcribe-audio,Transcribe audio (speech-to-text),Transcribe audio files with Foundry Local - Foundry Local,Transcribe audio using Foundry Local transcription API,This article provides instructions on how to transcribe audio using Foundry Local with C# and JavaScript.,"Use Foundry Local's native audio transcription API and convert a local audio file into text. In this article, you create a console application that downloads a Whisper model, loads it, and streams transcription output.",2026-06-15T08:00:00.000Z,how-to,integrations,0.65,True,Shows use of native audio transcription API; expected to contain API calls and parameters specific to Foundry Local.,updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-foundry-local-cli,Use the Foundry Local CLI (preview),Use the Foundry Local CLI (preview) - Foundry Local,Use Foundry Local CLI to manage local models,"Learn how to use the Foundry Local command-line interface to browse models, run interactive chat sessions, and manage your local model cache.","Important The Foundry Local command-line interface (CLI) lets you browse the model catalog, run models interactively, and manage your local cache directly from the terminal. The CLI is useful for exploring available models, testing prompts, and preparing your environment before writing application code. Note The CLI is a companion tool for exploration and management. For building applications, use theFoundry Local SDK, which embeds the runtime directly in your app.",2026-06-15T08:00:00.000Z,how-to,configuration,0.7,True,"CLI how-to for browsing models and managing cache; likely includes specific commands, flags, and options that qualify as configuration details.",updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-langchain-with-foundry-local,Integrate with LangChain,Build a translation app with LangChain - Foundry Local,Build a LangChain translation app with Foundry Local,Learn how to build a LangChain application using Foundry Local,This article shows you how to build a translation app by using the Foundry Local SDK andLangChain. Use a local model to translate text between languages.,2026-06-15T08:00:00.000Z,how-to,integrations,0.7,True,"Integration-focused article combining LangChain and Foundry Local; expected to show adapter classes, configuration, and parameter usage specific to this integration.",updated
https://learn.microsoft.com/en-us/azure/foundry-local/how-to/how-to-use-native-chat-completions,Use native chat completions API,Use native chat completions - Foundry Local,Use Foundry Local native chat completions API,This article provides instructions on how to use native chat completions API in Foundry Local.,"The native chat completions API enables you to run chat completions directly in-process, without starting a REST web server. In this article, you create a console app that downloads a local model, generates a streaming chat response, and then unloads the model. This article explains how to use the native chat completions API in the Foundry Local SDK.",2026-06-15T08:00:00.000Z,how-to,integrations,0.65,True,"How-to for a specific API surface; likely includes method/parameter names and usage patterns unique to Foundry Local’s native chat completions, fitting integrations & coding patterns.",updated
