url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/virtual-network/accelerated-networking-how-it-works,Linux and FreeBSD VMs,How Accelerated Networking works in Linux and FreeBSD VMs,Understand Azure Accelerated Networking internals on Linux,Learn how Accelerated Networking works in Linux and FreeBSD VMs.,"When a virtual machine (VM) is created in Azure, a synthetic network interface is created for each virtual NIC in its configuration. The synthetic interface is a VMbus device and uses the netvsc driver. Network packets that use this synthetic interface flow through the virtual switch in the Azure host and onto the datacenter's physical network. If the VM is configured with Accelerated Networking, a second network interface is created for each virtual NIC that's configured. The second interface i",2023-06-23T22:28:00.000Z,how-to,best-practices,0.65,True,"Deep dive into how Accelerated Networking works (synthetic vs VF interfaces, driver behavior). Contains product-specific implementation details and behavior patterns that guide correct configuration and usage beyond generic networking knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-network/accelerated-networking-mana-existing-sizes,MANA support for existing VM sizes,Microsoft Azure Network Adapter (MANA) support for existing VM Sizes,,Update for Microsoft Azure Network Adapter (MANA) support for existing VM Sizes,"The following content is for customers running existing Virtual Machine (VM) Sizes using Accelerated Networking. Important For timelines pertaining to VM series running on MANA-capable hardware, see theannouncement. Existing VM series are supported onMicrosoft Azure Network Adapter (MANA)capable hardware. However, since these VM series were introduced before MANA was released, they may not fully benefit from all performance, reliability, and resiliency improvements. Newer VM series are built and",2026-05-06T22:13:00.000Z,how-to,,0.3,False,"Describes support status for existing VM sizes on MANA-capable hardware; summary suggests an announcement/update style page without numeric limits, configuration parameters, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-network/accelerated-networking-mana-linux,Linux VMs,Linux VMs with the Microsoft Azure Network Adapter,Configure MANA for Linux Azure virtual machines,Learn how the Microsoft Azure Network Adapter can improve the networking performance of Linux VMs in Azure.,"Learn how to use the Microsoft Azure Network Adapter (MANA) to improve the performance and availability of Linux virtual machines (VMs) in Azure. For Windows support, seeWindows VMs with the Microsoft Azure Network Adapter. For more info about MANA, seeMicrosoft Azure Network Adapter overview.",2026-06-02T20:30:00.000Z,how-to,configuration,0.65,True,"Describes how to enable and configure Microsoft Azure Network Adapter (MANA) on Linux VMs, including product-specific settings and steps. These are detailed configuration instructions for a specific Azure networking feature, beyond generic VM networking concepts.",updated
https://learn.microsoft.com/en-us/azure/virtual-network/accelerated-networking-mana-network-virtual-appliance-opt-out,MANA on Network Virtual Appliances (NVAs) for existing VM sizes,MANA support for Network Virtual Appliances (NVAs) - Microsoft Azure Network Adapter,Manage MANA support for NVAs on existing VM series,"Learn about MANA support for Network Virtual Appliances (NVAs) using existing VM sizes, including how to use Azure Policy to manage MANA deployments and ensure optimal performance.","As Azure expandsMicrosoft Azure Network Adapter (MANA)support toexisting VM series, Network Virtual Appliances (NVAs) running on those VM series may be placed on MANA-capable hardware. Existing VM series are supported on Microsoft Azure Network Adapter (MANA) capable hardware. However, since these VM series were introduced before MANA was released, they may not fully benefit from all performance, reliability, and resiliency improvements. Newer VM series are built and optimized with MANA in mind ",2026-06-02T22:37:00.000Z,faq,configuration,0.7,True,"Covers how to opt NVAs in/out of MANA on existing VM sizes and how to use Azure Policy to manage these deployments. This involves specific configuration controls and policy settings unique to MANA and NVA scenarios, which qualify as expert, product-specific configuration knowledge.",updated
https://learn.microsoft.com/en-us/azure/virtual-network/accelerated-networking-mana-overview,Overview,Microsoft Azure Network Adapter (MANA) overview,,Learn how the Microsoft Azure Network Adapter can improve the networking performance of Azure VMs.,Learn how to use the Microsoft Azure Network Adapter (MANA) component of Azure Boost to improve the performance and availability of virtual machines (VMs) in Azure. MANA is a next-generation network interface that provides stable forward-compatible device drivers for Windows and Linux operating systems. MANA hardware and software are engineered by Microsoft and take advantage of the latest advancements in cloud networking technology. Important For timelines pertaining to VM families running on M,2026-05-05T17:29:00.000Z,how-to,,0.3,False,"High-level overview of MANA benefits and behavior; summary does not indicate concrete limits, configuration tables, error codes, or decision matrices. Likely conceptual performance/availability description rather than detailed expert parameters.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-network/accelerated-networking-mana-windows,Windows VMs,Windows VMs with the Microsoft Azure Network Adapter,,Learn how the Microsoft Azure Network Adapter can improve the networking performance of Windows VMs in Azure.,"Learn how to use the Microsoft Azure Network Adapter (MANA) to improve the performance and availability of Windows virtual machines (VMs) in Azure. For Linux support, seeLinux VMs with the Microsoft Azure Network Adapter. For more info about MANA, seeMicrosoft Azure Network Adapter overview.",2026-02-03T18:20:00.000Z,how-to,,0.45,False,"Windows-specific MANA usage article; similar to Linux article, focused on enablement steps rather than deep configuration or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-network/accelerated-networking-overview,Accelerated Networking,Azure Accelerated Networking Overview and Benefits,Decide when to use Azure Accelerated Networking,"Discover how Azure Accelerated Networking enhances VM performance by reducing latency and CPU usage. Learn benefits, limitations, and supported configurations for high-demand applications.","Azure Accelerated Networking significantly improves virtual machine networking performance by reducing latency and CPU utilization. This article describes the benefits, constraints, and supported configurations of Accelerated Networking. Accelerated Networking enablessingle root I/O virtualization (SR-IOV)on supported virtual machine (VM) types, greatly improving networking performance.
This high-performance data path bypasses the host, which reduces latency, jitter, and CPU utilization for the ",2026-02-05T18:11:00.000Z,how-to,decision-making,0.6,True,"Describes benefits, constraints, and supported configurations; used to decide when to enable Accelerated Networking for specific VM types and workloads.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-network/advertised-gateway-prefixes-overview,Advertised gateway prefixes,Advertised gateway prefixes in Azure virtual networks - Azure Virtual Network,,"Learn about advertised gateway prefixes (summarizedGatewayPrefixes), which let Azure VPN Gateway and ExpressRoute gateways advertise summarized CIDR prefixes to on-premises networks.",Advertised gateway prefixes let you specify summarized (aggregated) CIDR prefixes that Azure hybrid gateways advertise to on-premises networks instead of advertising all individual virtual network and spoke CIDRs. This feature helps reduce the number of advertised routes in large hub-and-spoke designs. Azure virtual networks support a property namedsummarizedGatewayPrefixesthat you use to provide a list of CIDR prefixes to advertise in place of the default advertisement behavior. This feature mi,2026-05-20T05:21:00.000Z,concept-article,,0.35,False,"Describes the advertised gateway prefixes (summarizedGatewayPrefixes) feature conceptually. The summary suggests high-level behavior (summarizing CIDR prefixes) without exposing detailed configuration tables, numeric thresholds, or troubleshooting mappings that would qualify as expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-network/application-security-groups,Application security groups,Azure Application Security Groups Overview,,Learn how application security groups enable you to configure network security policies and group virtual machines.,"Application security groups in Azure Virtual Network enable you to configure network security as a natural extension of an application's structure, allowing you to group virtual machines and define network security policies based on those groups. You can reuse your security policy at scale without manual maintenance of explicit IP addresses. The platform handles the complexity of explicit IP addresses and multiple rule sets, allowing you to focus on your business logic. To better understand appl",2025-07-25T08:00:00.000Z,concept-article,,0.4,False,Conceptual overview of application security groups; no clear indication of detailed configuration tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-network/concepts-and-best-practices,Concepts and best practices,Azure Virtual Network Concepts and Best Practices,Apply Azure Virtual Network design best practices,"Learn Azure Virtual Network concepts and best practices to design secure, scalable cloud infrastructure. Discover address spaces, subnets, regions, and security guidelines for optimal network architec","Azure Virtual Network is a fundamental building block for your private network in Azure. It enables Azure resources to securely communicate with each other, the internet, and on-premises networks. A virtual network is similar to a traditional network that you'd operate in your own data center. However, it brings extra benefits of Azure's infrastructure such as scale, availability, and isolation. Understanding virtual network concepts and following best practices helps you design robust, secure, ",2025-12-11T18:27:00.000Z,concept-article,best-practices,0.7,True,"Explicitly includes best practices for address spaces, subnets, regions, and security; product-specific design recommendations.",unchanged
