url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-sql/azure-sql-decision-tree?view=azuresql,Azure SQL decision tree,Azure SQL Decision Tree - Azure SQL,Use Azure SQL decision tree to choose service,"Explore a decision tree of different options within the Azure SQL family of services: Azure SQL Database, Azure SQL Managed Instance, and SQL Server on Azure VM.",Applies to:Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure VM The Azure portal includes a decision tree in theAzure SQL hub at aka.ms/azuresqlhubto help youFind the right optionfor your application architecture in Azure SQL.,2026-03-18T11:48:00.000Z,article,decision-making,0.7,True,"Describes a decision tree in the Azure SQL hub specifically for selecting between Azure SQL Database, Managed Instance, and SQL Server on VM. This is explicit technology selection guidance and decision support, fitting the decision-making category even though the full tree content is hosted in the portal.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/azure-sql-iaas-vs-paas-what-is-overview?view=azuresql,What is Azure SQL?,What Is Azure SQL? - Azure SQL,,"Learn about the different options within the Azure SQL family of services: Azure SQL Database, Azure SQL Managed Instance, and SQL Server on Azure VM.","Applies to:Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure VM Azure SQL is a family of managed, secure, and intelligent products that use the SQL Server database engine in the Azure cloud. Azure SQL is built upon the familiar SQL Server engine, so you can migrate applications with ease and continue to use the tools, languages, and resources you're familiar with. Your skills and experience transfer to the cloud, so you can do even more with what you already have. If you're new to ",2026-03-11T08:00:00.000Z,overview,,0.1,False,"High-level overview of Azure SQL family (Database, Managed Instance, SQL Server on VM) without specific limits, configuration parameters, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/capacity-errors-troubleshoot?view=azuresql,Capacity errors during deployment,Resolve Capacity Errors with Azure SQL Resources - Azure SQL,Resolve capacity errors when deploying Azure SQL resources,Learn how to resolve possible capacity errors when attempting to deploy or scale Azure SQL Database or Azure SQL Managed Instance resources.,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance In this article, learn how to resolve capacity errors when deploying Azure SQL Database or Azure SQL Managed Instance resources.",2025-06-16T17:33:00.000Z,how-to,troubleshooting,0.8,True,Guides diagnosis and resolution of capacity errors with specific error messages and recommended actions for SQL Database and Managed Instance.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/connect-query-portal-classic?view=azuresql,Connect to the Query editor (Classic),Quickstart: Azure portal query editor (Classic experience) - Azure SQL Database,,Learn how to connect to the Classic experience of the Azure portal query editor for Azure SQL Database.,"Applies to:Azure SQL Database In this quickstart, connect to an Azure SQL database in the Azure portal and use the query editor (Classic experience) to run Transact-SQL (T-SQL) queries. Important For the new Azure portal SQL query editor experience, seeQuickstart: Use the Azure portal query editor to query Azure SQL Database.",2026-03-18T11:48:00.000Z,quickstart,,0.2,False,"Quickstart tutorial for connecting to Azure SQL Database using the classic portal query editor. It is step-by-step guidance without product-specific limits, configuration matrices, or troubleshooting mappings that would qualify as expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/connectivity-architecture?view=azuresql,Gateway IP address updates,Connectivity Architecture - Azure SQL Database and SQL database in Fabric,Understand connectivity architecture for Azure SQL Database,"This article explains the connectivity architecture for database connections from within Azure or from outside of Azure for Azure SQL Database, SQL database in Fabric","Applies to:Azure SQL DatabaseSQL database in Fabric This article explains the architecture of various components that direct network traffic to a server in Azure SQL Database and SQL database in Microsoft Fabric. It covers different connection policies and how they affect clients connecting from within Azure and clients connecting from outside of Azure. For connection strings to Azure SQL Database, seeConnect and query to Azure SQL Database. For settings that control connectivity to thelogical s",2026-02-26T23:41:00.000Z,concept-article,architecture-patterns,0.7,True,"Connectivity architecture for Azure SQL Database and SQL database in Fabric typically includes product-specific connection policies (default/proxy/redirect), behavior differences for clients inside vs. outside Azure, and how traffic is routed through gateways and load balancers. These are concrete, service-specific architectural patterns and decision points (for example, when to use each connection policy) that go beyond generic networking concepts and are unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/database-import-export-hang?view=azuresql,Troubleshoot Import/Export service,Import and Export of a Database Takes a Long Time - Azure SQL Database & Azure SQL Managed Instance,Fix slow database import and export in Azure SQL,Azure SQL Database and Azure SQL Managed Instance Import/Export service takes a long time to import or export a database,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance When you use the Import/Export service, the process might take longer than expected. This article describes the potential causes for this delay and alternative workaround methods.",2026-01-26T08:00:00.000Z,troubleshooting,troubleshooting,0.9,True,"Focused on the symptom 'Import/Export takes a long time' and describes potential causes plus alternative workarounds. This is a direct symptom→cause→solution mapping for Azure SQL Database and Managed Instance, which is product-specific troubleshooting knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/doc-changes-updates-release-notes-whats-new-archive?view=azuresql,Azure SQL Database,What's New? (Archive) - Azure SQL Database,,Learn about the features and documentation improvements for Azure SQL Database made in previous years. (Archive),"Applies to:Azure SQL Database This article summarizes older documentation changes associated with new features and improvements in the releases ofAzure SQL Database. To learn more about Azure SQL Database, seeWhat is Azure SQL Database? Return toWhat's new in Azure SQL Database?",2026-03-03T18:40:00.000Z,whats-new,,0.1,False,"Archive of 'what's new' documentation changes; primarily historical release-note navigation without detailed limits, configs, troubleshooting mappings, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/dtu-benchmark?view=azuresql,DTU benchmark,DTU Benchmark - Azure SQL Database,Understand DTU benchmark characteristics for Azure SQL,Learn about the benchmark for the DTU-based purchasing model for Azure SQL Database.,"Applies to:Azure SQL Database A database transaction unit (DTU) is a unit of measure representing a blended measure of CPU, memory, reads, and writes. Physical characteristics (CPU, memory, IO) associated with each DTU measure are calibrated using a benchmark that simulates real-world database workload. This article summarizes the DTU benchmark and shares information about the schema, transaction types used, workload mix, users and pacing, scaling rules, and metrics associated with the benchmark",2025-06-13T08:00:00.000Z,concept-article,limits-quotas,0.7,True,"DTU benchmark article details workload mix, scaling rules, and metrics with specific quantitative characteristics that are not generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/monitoring-sql-database-azure-monitor-reference?view=azuresql,Azure SQL Database,Monitoring data reference for Azure SQL Database - Azure SQL Database,Reference for Azure SQL Database monitoring metrics and logs,This article contains important reference material you need when you monitor Azure SQL Database.,This article contains all the monitoring reference information for this service. SeeMonitor Azure SQL Databasefor details on the data you can collect for SQL Database and how to use it.,2024-07-31T17:33:00.000Z,reference,configuration,0.7,True,"Monitoring reference enumerates specific metric names, dimensions, and log categories used for Azure Monitor integration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/planned-maintenance?view=azuresql,Periodic maintenance events,Plan for Azure Maintenance Events - Azure SQL Database & Azure SQL Managed Instance,Prepare for planned maintenance in Azure SQL,Learn how to prepare for planned maintenance events in Azure SQL Database and Azure SQL Managed Instance.,Applies to:Azure SQL DatabaseAzure SQL Managed Instance Learn how to prepare for planned maintenance events on your database in Azure SQL Database and Azure SQL Managed Instance.,2025-02-17T18:35:00.000Z,concept-article,best-practices,0.65,True,"Guidance on planning for Azure SQL Database and Azure SQL Managed Instance maintenance events generally includes concrete, product-specific recommendations such as how to configure failover groups, retry logic, maintenance windows, and application patterns to minimize downtime. These are actionable DO/DON'T style recommendations tied to this service’s maintenance behavior, which qualifies as product-specific best practices rather than just conceptual overview.",unchanged
