url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/logic-apps/add-agent-action-create-run-workflow,Add agent actions in Foundry backed by workflows,Run Automated Workflows from Foundry Agents - Azure Logic Apps,,"Run integration workflows in Azure Logic Apps from Foundry agents to automate business tasks with 1,400+ connectors.","Applies to:Azure Logic Apps (Consumption) Note This feature is in preview, might incur charges, and is subject to theSupplemental Terms of Use for Microsoft Azure Previews. Agents often need to work with external systems, such as calling APIs, updating systems, or coordinating multiple steps. However, if you mix agent and integration logic, or if you directly embed integration logic in agent code, your solutions become harder to maintain, test, update, and evolve. Agents can adeptly choose actio",2026-04-03T06:12:00.000Z,how-to,,0.2,False,"Preview feature how-to for calling Azure Logic Apps from Foundry agents; summary indicates scenario guidance and conceptual separation of agent vs integration logic, but no evidence of numeric limits, config parameter tables, error-code troubleshooting, or decision matrices. Appears to be a tutorial-style integration scenario rather than a reference of expert-only details.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/add-agent-tools-connector-actions,Add agent tools in Foundry backed by connectors,Add Agent Tools Backed by Connector Actions - Azure Logic Apps,Add Logic Apps connector tools to Foundry agents,Learn to add tools for agents in Microsoft Foundry powered by connector actions in Azure Logic Apps by creating Model Context Protocol (MCP) servers.,"Applies to:Azure Logic Apps (Standard) Note This capability is in preview, might incur charges, and is subject to theSupplemental Terms of Use for Microsoft Azure Previews. This guide shows how to add tools powered by Azure Logic Apps to your agents in Microsoft Foundry. These tools use connector actions that run in Azure Logic Apps and let you integrate agents with specific Microsoft and non-Microsoft services, systems, apps, and data sources so you don't have to write any code. Tools include s",2025-12-12T23:21:00.000Z,how-to,integrations,0.7,True,Explains how to expose Logic Apps connector actions as tools for agents via MCP servers. This is a product-specific integration pattern between Logic Apps and Microsoft Foundry with concrete configuration concepts.,unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/add-run-csharp-scripts,Add and run C# scripts,Add and Run C# Scripts in Standard Workflows - Azure Logic Apps,Run inline C# scripts in Logic Apps Standard workflows,Learn to write and run C# scripts to complete custom integration tasks with Standard workflows using Inline Code operations in Azure Logic Apps.,"Applies to:Azure Logic Apps (Standard) To perform custom integration tasks inline with your Standard workflow in Azure Logic Apps, you can directly add and run C# scripts from within your workflow. For this task, use theInline Codeaction namedExecute CSharp Script Code. This action returns the results from your script so that you can use this output in your workflow's subsequent actions. This capability provides the following benefits: Write your own scripts within the workflow designer so that ",2025-11-19T08:00:00.000Z,how-to,integrations,0.65,True,"Describes using the Execute CSharp Script Code inline action, including how to embed and run C# within workflows. This is a product-specific coding/integration pattern with specific action names and behavior, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/add-run-javascript,Add and run JavaScript snippets,Run JavaScript in Workflows - Azure Logic Apps,Use inline JavaScript with Logic Apps limits,Learn to run JavaScript code snippets in workflows for custom integration tasks by using Inline Code operations in Azure Logic Apps.,"Applies to:Azure Logic Apps (Consumption + Standard) To perform custom integration tasks inline with your workflow in Azure Logic Apps, you can directly add and run simple JavaScript code snippets from your workflow in the Azure portal. For this task, use theInline Codeaction namedExecute JavaScript Code. This action returns the result from the code snippet so you can use that output in your workflow's subsequent actions. This action also hasdifferent limits, based on whether you have aConsumpti",2025-10-09T08:00:00.000Z,how-to,limits-quotas,0.75,True,Describes Execute JavaScript Code inline action and explicitly notes different limits based on Consumption vs Standard; this typically includes timeout and size limits that are tier-specific and numeric.,unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/add-run-powershell-scripts,Add and run PowerShell scripts,Add and Run PowerShell Scripts in Standard Workflows - Azure Logic Apps,Execute inline PowerShell in Standard Logic Apps,Learn to write and run PowerShell scripts to complete custom integration tasks with Standard workflows using Inline Code operations in Azure Logic Apps.,"Applies to:Azure Logic Apps (Standard) To perform custom integration tasks inline with your Standard workflow in Azure Logic Apps, you can directly add and run PowerShell code from within your workflow. For this task, use theInline Codeaction namedExecute PowerShell Code. This action returns the results from your PowerShell code so that you can use this output in your workflow's subsequent actions. This capability provides the following benefits: Write your own scripts within the workflow design",2025-11-18T08:00:00.000Z,how-to,configuration,0.7,True,"Describes the Execute PowerShell Code action and how to configure and use it within workflows, which is product-specific configuration.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/add-trigger-action-workflow,Add a trigger or action to a workflow,Add a Trigger or Action to a Workflow - Azure Logic Apps,,Add a trigger or action to build an automated integration workflow in Azure Logic Apps.,"Applies to:Azure Logic Apps (Consumption + Standard) To start any workflow in Azure Logic Apps, always add atriggeras the first step. You then continue the workflow by adding anaction. The trigger specifies either the schedule to use or a condition to meet for your workflow to run. Following the trigger, you have to add one or more subsequent actions so that your workflow performs the tasks that you want. The trigger and actions work together to define your workflow's logic and structure. This g",2026-03-02T08:00:00.000Z,how-to,,0.2,False,"The page is a how-to guide on adding triggers and actions in Azure Logic Apps workflows. From the summary, it focuses on basic workflow construction concepts (trigger first, then actions) without exposing specific limits, configuration parameter tables, error codes, or product-specific best-practice gotchas. It reads as general usage/tutorial content rather than expert reference material.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/agent-workflows-concepts,Agentic workflows,Workflows with AI Agents and Models - Azure Logic Apps,,Learn how workflows benefit from using AI agents with models to complete tasks in Azure Logic Apps.,"Applies to:Azure Logic Apps (Consumption + Standard) Important Consumption agentic workflows capability is in preview and is subject to theSupplemental Terms of Use for Microsoft Azure Previews. Azure Logic Apps supports workflows that complete tasks by usingagent loopswithlarge language models(LLMs). An agent loop uses an iterative process to solve complex, multi-step problems. An LLM is a trained program that recognizes patterns and performs jobs without human interaction, for example: You can",2026-02-19T06:12:00.000Z,concept-article,,0.35,False,"Conceptual description of agentic workflows and LLM usage; no clear evidence of numeric thresholds, config tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/ai-resources,AI playbook and solution development,"AI Playbook, Examples, and Samples - Azure Logic Apps",,"Learn about AI integration examples, samples, and other resources for Standard and Consumption workflows in Azure Logic Apps.","Applies to:Azure Logic Apps (Consumption + Standard) AI capabilities play a fast and growing role in applications and other software by performing useful, time-saving, or novel tasks like chat interactions. These capabilities can also work with other services, systems, apps, and data sources to help build integration workloads for enterprises and organizations. This guide provides building blocks, examples, and other resources that show how to use Foundry Tools like Azure OpenAI, Microsoft Found",2026-02-18T08:00:00.000Z,concept-article,,0.35,False,Resource index and examples for AI integration; summary does not show concrete config tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/authenticate-with-managed-identity,Authenticate with managed identities,Authenticate Connections with Managed Identities - Azure Logic Apps,Configure managed identity authentication for Logic Apps,"Secure workflow connections to protected Azure resources by using a managed identity in Azure Logic Apps. Avoid managing credentials, secrets, or tokens.","Applies to:Azure Logic Apps (Consumption + Standard) Set up amanaged identitywhen you want to authenticate connections from logic app workflows to Microsoft Entra-protected Azure resources. This identity accesses protected resources on your logic app's behalf and removes the need to store and manage credentials, secrets, or access tokens. Due to this behavior, a managed identity is recommended for authentication. Azure manages this identity to help keep your authentication details secure. In Azu",2026-03-18T11:13:00.000Z,how-to,security,0.74,True,"The page provides product-specific security configuration details for using managed identities with Azure Logic Apps (Consumption and Standard). It includes concrete guidance on how to set up and use system-assigned/user-assigned managed identities to authenticate to Microsoft Entra-protected resources, including specific property names and configuration steps unique to Logic Apps. This is implementation-focused security guidance rather than a generic conceptual overview.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/automate-build-deployment-standard,Automate DevOps build and deployment,Automate Build and Deployment for Standard Workflows - Azure Logic Apps,Automate build and release for Standard Logic Apps with Azure DevOps,Learn how to automate build and deployment for Standard logic apps with Azure DevOps using Visual Studio Code.,"For Standard logic app workflows that run in single-tenant Azure Logic Apps, you can use Visual Studio Code with the Azure Logic Apps (Standard) extension to locally develop, test, and store your logic app project using any source control system. To get the full benefits of easily and consistently deploying your workflows across different environments and platforms, automate your build and deployment process. The Azure Logic Apps (Standard) extension provides tools to create and maintain automat",2026-01-13T18:33:00.000Z,how-to,deployment,0.8,True,Shows how to create and maintain automated build and deployment pipelines for Standard Logic Apps using the VS Code extension and Azure DevOps—detailed CI/CD configuration.,unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/automation/compare-automation-services,Compare automation services,Compare Automation Services - Azure Logic Apps Automation,Choose between Logic Apps Automation and other platforms,"Learn the differences between Azure Logic Apps Automation, Azure Logic Apps Standard and Consumption, Microsoft Copilot Studio, and non-Microsoft automation platforms. Choose the best option to automa","Note This preview capability is subject to theSupplemental Terms of Use for Microsoft Azure Previews. Azure Logic Apps Automation helps you build dynamic, unpredictable, AI-driven workflows that adapt at runtime, rather than follow fixed paths or branches. This article compares Azure Logic Apps Automation with Azure Logic Apps, Microsoft Copilot Studio, and other automation platforms so you can choose the best option for your business needs.",2026-06-12T17:29:00.000Z,conceptual,decision-making,0.7,True,"Explicitly compares Azure Logic Apps Automation with Azure Logic Apps Standard/Consumption, Microsoft Copilot Studio, and other platforms to help choose the right service; this is product-specific selection guidance that fits the decision-making category even though the summary does not expose the full comparison tables.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/automation/dynamic-workflow-automation-introduction,About Azure Logic Apps Automation,Overview - Azure Logic Apps Automation,,"This service automates unpredictable AI-driven workflows that run dynamically, reason with context, choose actions, and adapt at runtime. Reduce work for ambiguous, high-churn, high-effort, and evolvi","Note This preview capability is subject to theSupplemental Terms of Use for Microsoft Azure Previews. Whether you're new or experienced with business process automation, some processes don't follow fixed paths and resist traditional, prescriptive automation. These processes pose the following challenges: When you hardcode every path, you end up with brittle workflows that break when conditions change. You also spend hours setting up connections, writing glue code, and managing infrastructure bef",2026-06-12T17:29:00.000Z,overview,,0.2,False,"Overview/marketing-style introduction to Azure Logic Apps Automation with no concrete limits, configuration tables, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/logic-apps/automation/quickstart-create-dynamic-automation-applications,2 - Create applications,Create Applications for Dynamic Automation - Azure Logic Apps Automation,,"Create applications in Azure Logic Apps Automation to build and organize dynamic, AI-driven workflows.","Note This preview capability is subject to theSupplemental Terms of Use for Microsoft Azure Previews. After you create an automation project, you need a way to package related workflows, connections, parameters, analytics, and settings so they deploy and scale together. Without this boundary, automations for different business processes can get disorganized, making them harder to  independently test, monitor, and update. In Azure Logic Apps Automation, anapplicationprovides this deployable and s",2026-06-03T05:14:00.000Z,quickstart,,0.2,False,"Quickstart for creating applications; focuses on conceptual packaging and deployment boundaries, not on numeric limits, config tables, or error-resolution content.",unchanged
