url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/iot-dps/about-iot-dps,What is IoT Hub Device Provisioning Service?,Overview of Azure IoT Hub Device Provisioning Service - Azure IoT Hub Device Provisioning Service,,Describes production scale device provisioning in Azure with the Device Provisioning Service (DPS) and IoT Hub,"The IoT Hub Device Provisioning Service (DPS) is a helper service for IoT Hub that enables zero-touch, just-in-time provisioning to the right IoT hub without requiring human intervention. In a cloud-based solution, DPS enables the provisioning of millions of devices in a secure and scalable manner. Many of the manual steps traditionally involved in provisioning are automated with DPS to reduce the time to deploy IoT devices and lower the risk of manual error.",2026-01-22T19:36:00.000Z,overview,,0.1,False,"High-level overview of Azure IoT Hub Device Provisioning Service describing purpose and benefits without specific limits, configuration parameters, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-control-access-dps,Overview,Access control and security for Azure DPS - Azure IoT Hub Device Provisioning Service,,"Overview on controlling access to Azure IoT Hub Device Provisioning Service, links to articles on Microsoft Entra integration and SAS options.",This article describes the available options for securing your Azure IoT Hub Device Provisioning Service (DPS). The provisioning service usesauthenticationandpermissionsto grant access to each endpoint. Permissions allow the authentication process to limit access to a service instance based on functionality. There are two different ways for controlling access to DPS:,2023-10-11T22:21:00.000Z,concept-article,,0.35,False,"High-level overview of access control options; detailed token or RBAC specifics are in linked articles, not here.",unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-control-access-dps-azure-ad,Control access to DPS with Microsoft Entra ID (preview),Access control and security for DPS with Microsoft Entra ID - Azure IoT Hub Device Provisioning Service,Secure DPS APIs using Microsoft Entra ID and RBAC,Control access to Azure IoT Hub Device Provisioning Service (DPS) for back-end apps. Includes information about Microsoft Entra ID and RBAC.,"You can use Microsoft Entra ID to authenticate requests to Azure IoT Hub Device Provisioning Service (DPS) APIs, like create device identity and invoke direct method. You can also use Azure role-based access control (Azure RBAC) to authorize those same service APIs. By using these technologies together, you can grant permissions to access Azure IoT Hub Device Provisioning Service (DPS) APIs to a Microsoft Entra security principal. This security principal could be a user, group, or application se",2023-10-11T22:21:00.000Z,concept-article,security,0.75,True,"Covers using Entra ID and Azure RBAC with DPS APIs, including specific role-based access patterns and scopes unique to DPS.",unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-custom-allocation,Custom allocation policies,Using custom allocation policies with Azure DPS - Azure IoT Hub Device Provisioning Service,,Understand how custom allocation policies enable provisioning to multiple IoT hubs with the Azure IoT Hub Device Provisioning Service (DPS),"Custom allocation policies give you more control over how devices are assigned to your IoT hubs. By using custom allocation policies, you can define your own allocation policies when the built-in policies provided by the Device Provisioning Service (DPS) don't meet the requirements of your scenario. For example, maybe you want to examine the certificate a device is using during provisioning and assign the device to an IoT hub based on a certificate property. Or, maybe you have information stored",2025-08-08T08:00:00.000Z,concept-article,,0.3,False,Explains custom allocation policies conceptually; lacks decision matrices with thresholds or detailed integration parameter tables.,unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-deploy-at-scale,Best practices for large-scale IoT device deployments,Best practices for large-scale IoT deployments - Azure IoT Hub Device Provisioning Service,Apply DPS best practices for large-scale IoT deployments,"Best practices, patterns, and sample code you can use to help with large-scale deployments of Azure IoT Hub and Device Provisioning Service.","Scaling an IoT solution to millions of devices can be challenging. Large-scale solutions often need to be designed in accordance with service and subscription limits. When customers use Azure IoT Device Provisioning Service, they use it in combination with other Azure IoT platform services and components, such as IoT Hub and Azure IoT device SDKs. This article describes best practices, patterns, and sample code you can incorporate in your design to take advantage of these services and allow your",2026-01-15T23:11:00.000Z,concept-article,best-practices,0.8,True,"Explicitly a best-practices article with DPS- and IoT Hub–specific patterns and sample code for scaling to millions of devices, tied to service and subscription limits.",unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-device-oem-security-practices,Security practices for device manufacturers,Security practices for manufacturers - Azure IoT Device Provisioning Service - Azure IoT Hub Device Provisioning Service,Implement OEM security practices for DPS-enabled devices,Overviews common security practices for OEMs and device manufactures who prepare devices to enroll in Azure IoT Device Provisioning Service (DPS).,"As more manufacturers release IoT devices, it's helpful to identify guidance around common practices. This article summarizes recommended security practices to consider when you manufacture devices for use with Azure IoT Device Provisioning Service (DPS).",2025-01-10T08:00:00.000Z,conceptual,best-practices,0.7,True,Summarizes recommended security practices for manufacturers preparing devices for DPS; product-specific security best-practices guidance.,unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-device-reprovision,Reprovisioning,Device lifecycle and reprovisioning concepts - Azure IoT Hub Device Provisioning Service,Plan DPS device lifecycle and reprovisioning policies,Describes device reprovisioning concepts and policies for the Azure IoT Hub Device Provisioning Service (DPS),"During the lifecycle of an IoT solution, it's common to move devices between IoT hubs. The reasons for this move might include the following scenarios: Geolocation / GeoLatency: As a device moves between locations, network latency is improved by having the device migrated to a closer IoT hub. Multi-tenancy: A device could be used within the same IoT solution and reassigned to a new customer, or customer site. This new customer might be serviced using a different IoT hub. Solution change: A devic",2025-11-03T22:11:00.000Z,concept-article,architecture-patterns,0.6,True,"Covers reprovisioning concepts and policies (geo-latency, multi-tenancy, solution change) as part of solution design; this is DPS-specific lifecycle architecture guidance.",unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-roles-operations,Roles and operations,Roles and operations for Azure DPS - Azure IoT Hub Device Provisioning Service,,Conceptual overview of the roles and operations involved when developing and IoT solution using the IoT Device Provisioning Service (DPS).,"The phases of developing an IoT solution can span weeks or months, due to production realities like manufacturing time, shipping, customs process, etc. In addition, they can span activities across multiple roles given the various entities involved. This article takes a deeper look at the various roles and operations related to each phase, then illustrates the flow in a sequence diagram. Provisioning also places requirements on the device manufacturer, specific to enabling theattestation mechanis",2025-11-03T22:11:00.000Z,concept-article,,0.3,False,"Describes roles and operations conceptually; no detailed security roles, limits, or configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-service,DPS terminology,Terminology and glossary for Azure DPS - Azure IoT Hub Device Provisioning Service,,This article describes common terminology used with the Device Provisioning Service (DPS) and IoT Hub.,"IoT Hub Device Provisioning Service (DPS) is a helper service for IoT Hub that enables zero-touch device provisioning to IoT hubs. With the Device Provisioning Service, you can provision millions of devices in a secure and scalable manner. Device provisioning is a two part process. Once both steps are completed, the device is fullyprovisioned. Device Provisioning Service automates both steps to provide a seamless provisioning experience for the device. This article gives an overview of the provi",2025-08-07T08:00:00.000Z,concept-article,,0.05,False,Terminology and glossary; conceptual definitions only.,unchanged
https://learn.microsoft.com/en-us/azure/iot-dps/concepts-symmetric-key-attestation,Symmetric key attestation,Symmetric key attestation with Azure DPS - Azure IoT Hub Device Provisioning Service,,This article provides a conceptual overview of symmetric key attestation using IoT Device Provisioning Service (DPS).,"This article describes the identity attestation process when using symmetric keys with the Device Provisioning Service. Symmetric key attestation is a simple approach to authenticating a device with a Device Provisioning Service instance. This attestation method represents a ""Hello world"" experience for developers who are new to device provisioning, or don't have strict security requirements. Device attestation using aTPMor anX.509 certificateis more secure, and should be used for more stringent",2025-08-07T08:00:00.000Z,concept-article,,0.05,False,"Conceptual overview of symmetric key attestation; no numeric limits, config tables, or security role details.",unchanged
