url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/payment-hsm/access-payshield-manager,Using VPN,Use your browser to access the payShield manager for your Azure Payment HSM,Configure browser access to payShield Manager for Payment HSM,Use your browser to access the payShield manager for your Azure Payment HSM,"After youCreate an Azure Payment HSM, you can connect to its payShield manager through your browser. To connect to payShield manager, you need to have an on-premises, standard PC with a supported web-browser, together with the USB connected payShield Manager Reader and payShield Manager smart cards. Users connect to the payShield 10K via HTTP(s) using a configured management NIC IP address. You need a minimum of five smart cards (three cards for a CTA set, a Left Key Card and a Right Key Card) a",2025-04-14T08:00:00.000Z,quickstart,configuration,0.7,True,"Specifies requirements like minimum number of smart cards, management NIC IP usage, and browser/USB reader setup; these are concrete, product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/access-payshield-manager-ssh,Using SSH,Use SSH to access the payShield manager for your payment HSM,Configure SSH access to Azure Payment HSM payShield manager,Learn how to use SSH to access the payShield manager for your Azure Payment HSM.,"After youcreate an Azure Payment HSM, you can create a virtual machine on the same virtual network and use it to access the Thales payShield manager. In this tutorial, you learn how to: To complete this tutorial, you need:",2026-03-27T06:02:00.000Z,tutorial,security,0.65,True,"Tutorial for SSH access to payShield manager on a VM in the same VNet is likely to include product-specific network/identity/security configuration details (ports, protocols, access patterns) that are unique to Azure Payment HSM and not generic SSH knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/certification-compliance,Certification and compliance,Azure Payment HSM certification and compliance,Understand Payment HSM compliance certifications and scope,Information on Azure Payment HSM certification and compliance,"Azure maintains the largest compliance portfolio in the industry. For details, seeMicrosoft Azure Compliance Offerings. Each offering description provides an up to-date-scope statement and links to useful downloadable resources. Azure payment HSM meets following compliance standards: To download latest certification and attestation reports, go toService Trust Portal Home Page(microsoft.com). For example, the latest PCI certification reports and shared responsibility matrices are available from t",2026-01-15T23:07:00.000Z,article,security,0.7,True,Details specific compliance standards and references to PCI reports and shared responsibility matrices; these are product-specific security/compliance requirements.,unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/change-performance-level,Change payShield performance level,How to change the performance level of an Azure Payment HSM,Select and change Azure Payment HSM performance SKUs,How to change the performance level of an Azure Payment HSM,"Azure Payment HSM supports several SKUs; for a list, seeAzure Payment HSM overview: supported SKUs. The SKU you specify during the creation process initially determines the performance license level of your payment HSM. You can change performance level of an existing payment HSM by changing its SKU. There is no interruption in your production payment HSMs while performance level is being updated. The SKU of a payment HSM can be updated through ARMClient and PowerShell.",2025-04-14T08:00:00.000Z,overview,decision-making,0.65,True,"Discusses supported SKUs, performance levels, and non-disruptive updates; this is SKU/performance selection guidance that informs capacity and tier decisions.",unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/create-different-ip-addresses,Host and management port with IP addresses in different VNets,Create an Azure Payment HSM with host and management port with IP addresses in different virtual networks using ARM template,Configure Payment HSM IPs in different VNets via ARM,Create an Azure Payment HSM with host and management port with IP addresses in different virtual networks using ARM template,"Azure Payment HSM is a ""BareMetal"" service delivered usingThales payShield 10K payment hardware security modules (HSM)to provide cryptographic key operations for real-time, critical payment transactions in the Azure cloud. Azure Payment HSM is designed specifically to help a service provider and an individual financial institution accelerate their payment system's digital transformation strategy and adopt the public cloud. For more information, seeAzure Payment HSM: Overview. This tutorial descr",2025-04-14T08:00:00.000Z,tutorial,configuration,0.65,True,"Focuses on IP address placement for host and management ports in different VNets; likely includes specific ARM properties, subnet names, and constraints that are product-specific.",unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/create-different-vnet,Host and management ports in different VNets,Create an Azure Payment HSM with host and management port in different VNets using CLI or PowerShell,Configure Azure Payment HSM across separate VNets,Create an Azure Payment HSM with host and management port in different VNets using CLI or PowerShell,"Azure Payment HSM is a ""BareMetal"" service delivered usingThales payShield 10K payment hardware security modules (HSM)to provide cryptographic key operations for real-time, critical payment transactions in the Azure cloud. Azure Payment HSM is designed specifically to help a service provider and an individual financial institution accelerate their payment system's digital transformation strategy and adopt the public cloud. For more information, seeAzure Payment HSM: Overview. This tutorial descr",2025-04-14T08:00:00.000Z,tutorial,configuration,0.65,True,"Describes creating host and management ports in different VNets using CLI/PowerShell; this typically involves specific parameter names, subnet/delegation requirements, and allowed settings unique to Payment HSM networking.",unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/create-different-vnet-template,Host and management ports in different VNets (template),Create an Azure Payment HSM with host and management port in different VNets using ARM template,Deploy Payment HSM with split VNets via ARM template,Create an Azure Payment HSM with host and management port in different VNets using ARM template,"Azure Payment HSM is a ""BareMetal"" service delivered usingThales payShield 10K payment hardware security modules (HSM)to provide cryptographic key operations for real-time, critical payment transactions in the Azure cloud. Azure Payment HSM is designed specifically to help a service provider and an individual financial institution accelerate their payment system's digital transformation strategy and adopt the public cloud. For more information, seeAzure Payment HSM: Overview. This tutorial descr",2025-04-14T08:00:00.000Z,tutorial,configuration,0.65,True,ARM template scenario for host and management ports in different VNets; implies detailed template parameters and constraints specific to Payment HSM networking configuration.,unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/create-payment-hsm,Host and management ports in same VNet,Create an Azure Payment HSM with Azure Payment HSM,,Create an Azure Payment HSM with Azure Payment HSM,"Azure Payment HSM is a ""BareMetal"" service delivered usingThales payShield 10K payment hardware security modules (HSM)to provide cryptographic key operations for real-time, critical payment transactions in the Azure cloud. Azure Payment HSM is designed specifically to help a service provider and an individual financial institution accelerate their payment system's digital transformation strategy and adopt the public cloud. For more information, seeAzure Payment HSM: Overview. This tutorial descr",2025-04-14T08:00:00.000Z,tutorial,,0.4,False,Tutorial for creating a Payment HSM; likely basic provisioning steps without configuration matrices or product-specific best practices.,unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/deployment-scenarios,High availability & disaster recovery,Azure Payment HSM deployment scenarios,Design high availability and DR for Azure Payment HSM,Azure HSM deployment scenarios for high availability deployment and disaster recovery deployment,"Microsoft deploys payment hardware security modules (HSM) in stamps within a region and multi-region to enable high availability (HA) and disaster recovery. In a region, HSMs are deployed across two availability zones, and customers must provision two devices in a region from two separate stamps in order to achieve high availability. For disaster recovery, customer must provision HSM devices in an alternative region. Thales doesn't provide PayShield SDK to customers, which supports HA over a clu",2025-05-27T22:02:00.000Z,article,architecture-patterns,0.7,True,"Describes deployment stamps, cross-AZ requirements, and multi-region provisioning for HA/DR; these are product-specific architectural patterns and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/payment-hsm/faq,Frequently asked questions,Frequently asked questions - Azure Payment HSM,,"Find answers to common questions about Azure Payment Hardware Security Module, such as basic information, getting started, and support.",Find answers to common questions about Microsoft Azure Payment HSM.,2026-06-12T22:35:00.000Z,faq,,0.2,False,"FAQ page appears to be high-level Q&A about Azure Payment HSM (basic info, getting started, support). The description and summary do not indicate presence of numeric limits, configuration parameter tables, error-code-based troubleshooting, or detailed security role/permission mappings. Without evidence of such specifics, it is likely conceptual/overview FAQ rather than expert-knowledge content as defined.",unchanged
