url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/frontdoor/apex-domain,Apex domains,Apex domains in Azure Front Door,Design and configure apex domains with Azure Front Door,Learn about apex domains when using Azure Front Door.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium Apex domains, also calledroot domains, ornaked domains, are at the root of a Domain Name System (DNS) zone and don't contain subdomains. For example,contoso.comis an apex domain. Azure Front Door supports apex domains, but requires special considerations. This article describes how apex domains work in Azure Front Door. To add a root or apex domain to your Azure Front Door profile, seeOnboard a root or apex domain on your Azure Front Door p",2024-03-31T08:00:00.000Z,concept-article,architecture-patterns,0.6,True,Describes special considerations and patterns for using apex domains with Front Door; product-specific DNS/architecture behavior.,unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/best-practices,Front Door best practices,Best Practices - Azure Front Door,Apply Azure Front Door configuration best practices,"Learn best practices for configuring and using Azure Front Door, including TLS security, domain management, WAF, health probes, and traffic routing optimization.",This article summarizes best practices for using Azure Front Door.,2026-03-28T06:12:00.000Z,concept-article,best-practices,0.8,True,"Explicit best-practices article for Azure Front Door covering TLS, domains, WAF, health probes, and routing. These are product-specific DO/DON'T recommendations and gotchas, not just generic theory.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/billing,Understanding billing,Understand Azure Front Door billing,Understand Azure Front Door billing components and usage,Learn how you're billed when you use Azure Front Door.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium Azure Front Door provides a rich set of features for your internet-facing workloads. Front Door helps you to accelerate your application's performance, improves your security, and provides you with tools to inspect and modify your HTTP traffic. Front Door's billing model includes several components. Front Door charges a base fee for each profile that you deploy. You're also charged for requests and data transfer based on your usage.Billing ",2023-12-28T08:00:00.000Z,concept-article,decision-making,0.7,True,"Billing reference for a specific service usually includes itemized charge categories, units, and sometimes usage-based thresholds, helping users reason about cost trade-offs between usage patterns; this is concrete decision-support information.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/blue-green-deployment,Blue/Green deployment with Front Door,Blue/Green deployments using Azure Front Door,Implement blue/green deployments using Front Door,Learn how to use Azure Front Door to implement a blue/green deployment strategy for your web applications.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium ✔️ Front Door (classic) Blue/Green deploymentis a software release strategy that gradually introduces application updates to a small group of users. If the updates are successful, the number of users accessing the new deployment is gradually increased until all users are on the new version. If issues arise, traffic can be redirected to the old version, ensuring minimal disruption. This approach is safer than deploying updates to all users a",2024-11-19T18:02:00.000Z,how-to,architecture-patterns,0.69,True,Describes how to realize blue/green deployment strategy with Front Door routing; includes product-specific traffic-splitting pattern.,unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/classic-overview,What is Azure Front Door (classic)?,Azure Front Door (classic) overview,,This article provides an overview of the Azure Front Door (classic) service.,"Applies to:✔️ Front Door (classic) Important Azure Front Door (classic) doesn't support profile creation, new domain onboarding, or managed certificates and retires onMarch 31, 2027. To avoid service disruption, ⁠migrate to Azure Front Door Standard or Premium. For more information, see ⁠Azure Front Door (classic) retirement. Azure Front Door (classic) is a global, scalable entry point that uses the Microsoft global edge network to deliver fast, secure, and highly scalable web applications. It e",2026-05-05T11:09:00.000Z,overview,,0.1,False,"Described as an overview of Azure Front Door (classic); overviews are conceptual and marketing-oriented and generally lack detailed limits, configuration tables, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/classic-retirement-faq,Front Door (classic) retirement FAQ,Azure Front Door (classic) retirement FAQ,,Common questions about the retirement of Azure Front Door (classic).,"Applies to:✔️ Front Door (classic) Azure Front Door introduced two new tiers named Standard and Premium on March 29, 2022. These tiers offer improvements over the current product offerings of Azure Front Door (Classic), incorporating capabilities such as Azure Private Link integration, Bot management, advanced Web Application Firewall (WAF) enhancements with DRS 2.1, anomaly scoring-based detection and bot management, out-of-the-box reports and enhanced diagnostic logs, a simplified pricing mode",2026-05-05T11:09:00.000Z,faq,,0.2,False,"Retirement FAQ content is primarily conceptual and lifecycle/marketing oriented (dates, high-level feature differences, migration encouragement). It does not focus on detailed configuration parameters, limits, or error-resolution mappings that would qualify as expert knowledge under the defined categories.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/compare-cdn-front-door-price,CDN and Front Door price comparison,Compare the pricing of Azure CDN Standard Microsoft and Azure Front Door,Compare pricing of Azure CDN Standard and Front Door,This article compares the pricing of Azure CDN Standard Microsoft (classic) and Azure Front Door.,"Applies to:✔️ CDN Standard from Microsoft (classic) Important Azure CDN Standard from Microsoft (Classic) doesn't support profile creation, new domain onboarding, or managed certificates and retires onSeptember 30, 2027. To avoid service disruption, ⁠migrate to Azure Front Door Standard or Premium. For more information, see ⁠Azure CDN Standard from Microsoft (classic) retirement. Note The prices presented in this article serve as examples and are intended solely for illustration purposes. For re",2026-05-05T11:09:00.000Z,concept-article,decision-making,0.7,True,"Pricing comparison content between Azure CDN Standard Microsoft (classic) and Azure Front Door typically includes SKU- and region-specific rate tables and cost drivers, which are concrete, product-specific decision criteria not reliably known from training. This helps choose between services based on quantified cost trade-offs, fitting the decision-making category.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/create-front-door-bicep,Create a Front Door - Bicep,Quickstart: Create an Azure Front Door using Bicep,Deploy Azure Front Door using Bicep templates,This quickstart describes how to create an Azure Front Door using Bicep.,"This quickstart guides you through using Bicep to create an Azure Front Door with a Web App as the origin. Note For web workloads, we highly recommend utilizingAzure DDoS protectionand aweb application firewallto safeguard against emerging DDoS attacks. Another option is to employAzure Front Dooralong with a web application firewall. Azure Front Door offersplatform-level protectionagainst network-level DDoS attacks. For more information, seesecurity baseline for Azure services. Bicepis a domain-",2024-11-19T18:02:00.000Z,quickstart,deployment,0.6,True,Bicep-based provisioning of Front Door; includes resource definitions and properties specific to Front Door deployment via IaC.,unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/create-front-door-cli,Create a Front Door - CLI,Quickstart: Create an Azure Front Door using Azure CLI,Create Azure Front Door profiles using Azure CLI,Learn how to create an Azure Front Door using Azure CLI. Use Azure Front Door to deliver content to your global user base and protect your web apps against vulnerabilities.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium In this quickstart, you learn how to create an Azure Front Door using Azure CLI. You set up a profile with two Azure Web Apps as origins and add a WAF security policy. Finally, you verify connectivity to your Web Apps using the Azure Front Door endpoint hostname. Note For web workloads, we highly recommend utilizingAzure DDoS protectionand aweb application firewallto safeguard against emerging DDoS attacks. Another option is to employAzure ",2024-11-19T18:02:00.000Z,quickstart,integrations,0.65,True,"Quickstart using Azure CLI; contains specific CLI commands and parameters for Front Door and WAF policy creation, which are product-specific API/SDK usage details.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/create-front-door-portal,Create a Front Door - Portal,Quickstart: Create an Azure Front Door using the Azure portal,,This quickstart shows how to use Azure Front Door service for your highly available and high-performance global web application by using the Azure portal.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium This quickstart shows you how to create an Azure Front Door profile by using the Azure portal. You can create an Azure Front Door profile by using either Quick create or Custom create. The Quick create option helps you configure the basic settings of your profile, while the Custom create option enables you to customize your profile with more advanced settings. In this quickstart, use the Custom create option to create an Azure Front Door pr",2026-04-30T08:00:00.000Z,quickstart,,0.1,False,"Quickstart tutorial for creating a Front Door profile; step-by-step portal usage, not a reference of configuration options or limits.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/create-front-door-powershell,Create a Front Door - PowerShell,Quickstart: Create an Azure Front Door using Azure PowerShell,,Learn how to create an Azure Front Door using Azure PowerShell. Use Azure Front Door to deliver content to your global user base and protect your web apps against vulnerabilities.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium In this quickstart, you learn how to create an Azure Front Door profile using Azure PowerShell. You use two Web Apps as your origin and verify connectivity through the Azure Front Door endpoint hostname. Note For web workloads, we highly recommend that you useAzure DDoS Protectionand aweb application firewallto safeguard against emerging DDoS attacks. Another option is to employAzure Front Dooralong with a web application firewall. Azure Fr",2025-10-08T05:12:00.000Z,quickstart,,0.2,False,"Quickstart tutorial for creating a Front Door profile with PowerShell; primarily step-by-step instructions without configuration matrices, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/frontdoor/create-front-door-template,Create a Front Door - ARM template,Quickstart: Create an Azure Front Door using an ARM template,Deploy Azure Front Door using ARM templates,This quickstart describes how to create an Azure Front Door using Azure Resource Manager template (ARM template).,Applies to:✔️ Front Door Standard ✔️ Front Door Premium This quickstart shows you how to use an Azure Resource Manager (ARM) template to create an Azure Front Door with an Azure Web App as the origin. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructure and configuration for your project. The template uses declarative syntax. You describe your intended deployment without writing the sequence of programming commands to create the deployment.,2025-05-12T22:03:00.000Z,quickstart,deployment,0.6,True,"ARM template quickstart; contains resource schema and property names for Front Door deployment, which are product-specific deployment configuration details.",unchanged
