url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/iot/howto-connect-on-premises-sap-to-azure,Connect on-premises SAP system to Azure,Connect an on-premises SAP system to Azure - Azure IoT,Connect on-premises SAP ERP to Azure industrial IoT,Step by step guide that shows how to connect an on-premises SAP Enterprise Resource Planning system to Azure.,"Many manufacturers use on-premises SAP Enterprise Resource Planning (ERP) systems. Often, manufacturers connect SAP systems to Industrial IoT solutions, and use the connected system to retrieve data for manufacturing processes, customer orders, and inventory status. This article describes how to connect these SAP-based ERP systems. This solution usesIEC 62541. Open Platform Communications (OPC) Unified Architecture (UA)for all operational technology data. The following diagram shows an overview ",2024-12-13T18:02:00.000Z,how-to,integrations,0.7,True,Step-by-step integration of SAP ERP via OPC UA and Azure; product-specific integration architecture and configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/iot/howto-iot-industrial-dataspaces,Enable industrial dataspace in Azure,Enable an industrial dataspace on Azure - Azure IoT,Enable industrial dataspace architectures on Azure,Step by step guide that shows how to enable an industrial dataspace on Azure based on open-source reference implementations.,"Many manufacturers need to provide data about their manufactured products to their customers in digital and machine-readable from. Sometimes a law such as the European Commission'sDigital Product Passportlegislation mandates this requirement. To provide this data, manufacturers often create an industrial dataspace between their enterprise systems and their customer's systems. The dataspace provides a secure, point-to-point communication channel for digital product data between the manufacturer a",2025-02-05T18:02:00.000Z,how-to,architecture-patterns,0.6,True,Describes how to build an industrial dataspace using Azure and open-source implementations; architecture-specific guidance for secure data exchange.,unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-device-registry-namespace-guidance,Best practices for namespaces,Best practices for Azure Device Registry namespaces - Azure Device Registry,Design and choose Azure Device Registry namespaces,"Learn how to design Azure Device Registry namespaces for your IoT solution, including when to create new namespaces and when to reuse existing ones.","Azure Device Registryusesnamespacesto organize devices and assets. Because namespaces act as long-lived organizational boundaries, it's important to plan them before you deploy. This article helps you decide:",2026-04-21T17:17:00.000Z,best-practice,decision-making,0.72,True,"The article is explicitly about how to design namespaces and decide when to create new ones versus reuse existing ones. This is service-specific decision guidance about organizational boundaries and solution design, not just conceptual overview. It helps users choose between options for namespace layout in real deployments, which aligns with the decision-making sub-skill. While the summary doesn't show numeric thresholds, the focus on concrete 'when to' guidance for this specific service indicates expert, product-specific decision criteria.",new
https://learn.microsoft.com/en-us/azure/iot/iot-device-registry-schema-registry-guidance,Best practices for schema registries,Best practices for Azure Device Registry schema registries - Azure Device Registry,Plan Azure Device Registry schema registries for IoT,"Learn how to design Azure Device Registry schema registries for your Azure IoT Operations solution, including when to create new registries and when to reuse existing ones.","Theschema registry, a feature ofAzure Device Registry, is a synchronized repository that's accessible both in the cloud and at the edge. It stores definitions of messages coming from edge assets and exposes an API to access those schemas from either location. This article helps you decide:",2026-04-21T17:17:00.000Z,best-practice,decision-making,0.7,True,"The page focuses on how to design schema registries and decide when to create or reuse them in an Azure IoT Operations solution. This is product-specific guidance on organizing schemas across cloud and edge, helping users choose between alternative designs. That fits the decision-making category, as it provides concrete 'when to choose which registry strategy' advice rather than just describing what a schema registry is.",new
https://learn.microsoft.com/en-us/azure/iot/iot-glossary,IoT glossary,Azure IoT glossary of terms - Azure IoT,,Developer guide - a glossary explaining some of the common terms used in the Azure IoT articles.,This article lists some of the common terms used in the IoT articles.,2026-03-09T08:00:00.000Z,conceptual,,0.0,False,"Glossary of IoT terms is conceptual reference, not expert configuration, limits, troubleshooting, or decision-making content.",unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-introduction,What is Azure IoT?,Introduction to Azure IoT - Azure IoT,,"Introduction explaining Azure IoT on Azure, including how IoT Hub and Azure IoT Operations are part of the Azure IoT portfolio and the adaptive cloud approach.","Azure IoTis Microsoft's portfolio of services for connecting, managing, and deriving intelligence from IoT devices and industrial equipment at scale. It uses a collection of cloud services, edge components, and SDKs, and applies theadaptive cloud approachto unify cloud-connected devices and on-premises operational technology (OT) environments under a common management, data, and AI model. Raw sensor telemetry flows through a consistent pipeline and ultimately becomes actionable intelligence for ",2026-04-15T11:11:00.000Z,overview,,0.1,False,"High-level introduction to Azure IoT portfolio and concepts without specific limits, configuration parameters, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-overview-device-development,IoT device development,IoT device development - Azure IoT,,"An overview of Azure IoT device development including an introduction to the device SDKs, modeling, IoT Edge modules, and a survey of the available tools.","This overview introduces the key concepts around developing devices that connect to typical Azure IoT solutions. Each section includes links to content that provides further detail and guidance. In a cloud-connected solution, devices connect directly to cloud-connected services such as IoT Hub, while in an edge-connected solution devices connect to edge-connected services in your environment such as Azure IoT Operations. The following diagram shows a high-level view of the components in a typica",2026-04-15T11:11:00.000Z,overview,,0.1,False,"Overview of IoT device development concepts and components; does not expose concrete configuration tables, quotas, error mappings, or product-specific best-practice details.",unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-overview-security,Secure your solution,Secure your IoT solutions - Azure IoT,,"Learn how to secure IoT solutions, with best practices for cloud-based and edge-based solutions. Includes recommendations for assets, devices, data, and infrastructure","IoT solutions let you connect, monitor, and control your IoT devices and assets at scale. In a cloud-based solution, devices and assets connect directly to the cloud. In an edge-based solution, devices and assets connect to an edge runtime environment. You must secure your physical assets and devices, edge infrastructure, and cloud services to protect your IoT solution from threats. You must also secure the data that flows through your IoT solution, whether it's at the edge or in the cloud. This",2025-06-18T11:21:00.000Z,conceptual,,0.3,False,"Security overview and best practices at a high level; summary does not indicate specific RBAC roles, config values, or compliance settings.",unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-services-and-technologies,Choose an Azure IoT service,Choose an Azure IoT service - Azure IoT,,Describes the collection of services and technologies you can use to build Azure IoT cloud-based and edge-based solutions.,Azure IoT services and technologies provide you with options to create a wide variety of IoT solutions that enable digital transformation for your organization. This article describes Azure IoT services and technologies such as:,2025-03-28T22:03:00.000Z,product-comparison,,0.2,False,Describes available Azure IoT services; appears as catalog/overview without detailed decision matrices or quantified comparisons.,unchanged
https://learn.microsoft.com/en-us/azure/iot/iot-support-help,Support and help options,Azure IoT support and help options - Azure IoT,,How to obtain help and support for questions or problems when you create solutions using Azure IoT Services.,Here are suggestions for where you can get help when developing your Azure IoT solutions.,2025-03-20T17:02:00.000Z,concept-article,,0.1,False,"Support and help options; meta-information, not technical configuration or troubleshooting content.",unchanged
