url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/operator-service-manager/azure-operator-service-manager-overview,What is Azure Operator Service Manager?,What Is Azure Operator Service Manager?,,"Learn about Azure Operator Service Manager, an Azure orchestration service for managing network services in large-scale operator environments.","Azure Operator Service Manager is a cloud orchestration service designed to automate lifecycle management of complex mobility workloads hosted on Azure Operator Nexus. Azure Operator Service Manager caters to unique telecommunication industry requirements, taking inspiration from standards defining organizations (SDOs) such as 3GPP, ETSI, ONAP, and TMF, fusing these efforts with our adaptive cloud approach to increase hybrid orchestration: In an industry where pace of mobility service delivery o",2025-11-01T11:12:00.000Z,overview,,0.2,False,"High-level service overview without concrete limits, configs, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/best-practices-onboard-deploy,Onboarding and Deploying Basics,Basic Concepts for Azure Operator Service Manager,Apply onboarding and deployment best practices for AOSM,Understand Azure Operator Service Manager basic concepts behind onboarding and deploying a network function.,"This article captures best practice recommendations to onboard and deploy network functions (NFs) with Azure Operator Service Manager. Following these basic guidelines, vendors, operators, and their partners can optimize network services deployed to Azure Operator Nexus. Consider these concepts at the beginning of any network function onboarding planning process.",2026-03-09T22:17:00.000Z,best-practice,best-practices,0.7,True,"Described as best practice recommendations for onboarding and deploying network functions with Azure Operator Service Manager. While the summary doesn’t show numbers, these product-specific DO/DON'T guidelines for NF onboarding and deployment are likely concrete and implementation-focused, fitting the best-practices sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/concepts-about-azure-operator-service-manager-cli,About the Azure Operator Service Manager CLI extension,About the Azure Operator Service Manager CLI extension,,Learn about the Azure Operator Service Manager CLI extension.,"Azure Operator Service Manager (AOSM) enables publishers of containerized network functions (CNF) and virtualized network functions (VNF) to provide operators with network function definitions (NFDVs) that can be reliably deployed on Azure Arc-connected platforms, including Azure Operator Nexus. NFDVs can be composed into network service designs (NSDVs) that abstract and simplify the configuration surface an operator needs to understand when deploying the workload. AOSM enables these workflows t",2025-10-09T22:11:00.000Z,concept-article,,0.35,False,Conceptual description of the CLI extension and workflows; summary does not show detailed parameter tables or error mappings.,unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/concepts-cli-containerized-network-function-image-upload,Container image onboarding using CLI,Learn how the Azure Operator Service Manager (AOSM) CLI extension discovers container images in source ACRs based on helm chart configuration.,Use AOSM CLI to discover and upload CNF images,Learn how the Azure Operator Service Manager (AOSM) CLI extension discovers container images in source ACRs based on helm chart configuration.,"This document explains how the Azure CLI AOSM extension discovers images in helm charts, pulls them from a container registry, and uploads them to an AOSM Artifact Store. The Azure CLI AOSM extension supports both Azure Container Registry (ACR) and any container registry that supports the Docker API.",2024-05-21T17:56:00.000Z,concept-article,integrations,0.7,True,Explains how the CLI discovers images from Helm charts and uploads to artifact store; likely includes specific parameter handling and registry interaction details.,unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/concepts-expose-parameters-configuration-group-schema,Exposing parameters via CGS using CLI,About parameter exposure using the Azure Operator Service Manager (AOSM) CLI extension.,Map Helm and ARM parameters to AOSM configuration,About parameter exposure using the Azure Operator Service Manager (AOSM) CLI extension.,This document explains how the Azure Operator Service Manager (AOSM) Azure CLI extension translates helm values and parameters in ARM templates into a configuration model exposed to an operator.,2024-06-21T00:28:00.000Z,concept-article,integrations,0.7,True,Details how the CLI translates Helm values and ARM parameters into AOSM configuration models; product-specific parameter mapping logic.,unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/configuration-guide,Workload Configuration Management,Configuration Group Best Practices for Azure Operator Service Manager,Design configuration groups effectively in Azure Operator Service Manager,Learn about best practices for configuration groups when you're using Azure Operator Service Manager.,"This article provides guidelines to best manage network function configuration requirements using Azure Operator Service Manager. This includes designing optimal configuration group schemas (CGSs), configuration group values (CGVs) and networkFunctions (NFs) resource templates. Keep these practices in mind when onboarding and deploying NFs.",2026-03-13T05:18:00.000Z,best-practice,best-practices,0.75,True,"The article is explicitly about best practices for configuration groups, schemas, and templates in AOSM. These are product-specific configuration design recommendations and patterns that go beyond generic advice, so they fit best-practices.",unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/get-started-with-cluster-registry,Get Started with Cluster Registry,Get started with Azure Operator Service Manager cluster registry,Set up AOSM cluster registry for edge resiliency,Azure Operator Service Manager cluster registry provides a locally resilient edge registry service to host Nexus K8s container image artifacts.,Improve resiliency for cloud native network functions with Azure Operator Service Manager (AOSM) cluster registry (CR),2025-09-08T22:37:00.000Z,get-started,configuration,0.6,True,Describes configuring a locally resilient edge registry; likely includes AOSM-specific registry configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/get-started-with-private-link,Get Started with Private Link,Get started with Azure Operator Service Manager Private Link,Configure AOSM Private Link for secure backhaul,Secure backhaul connectivity of on-premises artifact store hosted on Azure Operator Nexus,,2024-09-05T22:06:00.000Z,get-started,security,0.7,True,Private Link setup is security-focused and product-specific; likely includes concrete network/security configuration parameters.,unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/glossary,Glossary,Glossary for Azure Operator Service Manager,,Learn about terminology specific to Azure Operator Service Manager.,The following article contains terms used throughout the Azure Operator Service Manager documentation.,2023-11-01T16:04:00.000Z,glossary,,0.0,False,"Glossary/terminology reference; definitional content rather than expert configuration, limits, troubleshooting, or decision-making guidance.",unchanged
https://learn.microsoft.com/en-us/azure/operator-service-manager/helm-requirements,Helm Package Requirements,Publisher helm best practices for Azure Operator Service Manager,Apply Helm chart best practices for Azure Operator Service Manager,Learn about publisher helm best practices for Azure Operator Service Manager.,"Helm is a package manager for Kubernetes that helps simplify application lifecycle management. Helm packages are calledchartsand consist of YAML configuration and template files. Upon execution of a Helm operation, the charts are rendered into Kubernetes manifest files to trigger the appropriate application lifecycle actions. For the most efficient integration with Azure Operator Service Manager, follow these recommended best practices when developing Helm charts.",2026-07-02T22:11:00.000Z,concept-article,best-practices,0.7,True,"The page focuses on product-specific Helm chart recommendations for integrating with Azure Operator Service Manager. While the summary is high-level, the topic strongly implies detailed, prescriptive guidance (DOs/DON’Ts, chart structure, values, and patterns) tailored to this service rather than generic Helm usage, which qualifies as best-practices type expert knowledge.",updated
