url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/service-fabric/backup-explorer,View and edit a Reliable Collections backup offline,Read and update a Reliable Collections backup locally - Azure Service Fabric,Use Service Fabric Backup Explorer on local backups,Use Backup Explorer in Azure Service Fabric to read and update a local Reliable Collections backup.,"Azure Service Fabric Backup Explorer helps with data correction if data is corrupted in Service Fabric Reliable Collections. The current state of data can be corrupted by any bug that's introduced in an application or by any wrong entries made in a live cluster. With the help of Backup Explorer, you can do the following tasks: Note Service Fabric Backup Explorer currently supports only viewing and editing Reliable Collections in the backup.",2026-03-22T08:00:00.000Z,concept-article,configuration,0.7,True,"How-to for reading/updating Reliable Collections backups; likely includes specific tool options, supported operations, and constraints that are product-specific configuration details beyond generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cloud-services-migration-decision-matrix,Cloud Services migration decision matrix,Azure Cloud Services migration decision matrix - Azure Service Fabric,Choose Azure migration targets for Cloud Services workloads,This article provides a decision matrix to help evaluate migration options for an Azure solution currently built on Cloud Services.,This article provides a decision matrix to help evaluate migration options for an Azure solution currently built on Cloud Services. The matrix compares various Azure platform technologies to help guide your rearchitecting decisions.,2026-03-22T08:00:00.000Z,how-to,decision-making,0.85,True,"Provides a decision matrix comparing Azure platform technologies for Cloud Services migration; includes criteria and guidance for selecting between options, which is explicit decision-making content.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cloud-services-to-service-fabric-migration-guide,Migration guide,Migrate from Azure Cloud Services to Service Fabric - Azure Service Fabric,Best practices to migrate Cloud Services to Service Fabric,This guide provides detailed steps and best practices for migrating applications from Azure Cloud Services to Azure Service Fabric.,"This guide provides detailed steps and best practices for migrating applications from Azure Cloud Services to Azure Service Fabric. Throughout this guide, we recommend usingService Fabric Managed Clustersas they provide simplified cluster management, enhanced security, and automated patching. You should review thedecision matrix for migrating from Cloud Servicesto make sure you're choosing the right Azure services from your architecture.",2026-03-22T08:00:00.000Z,how-to,best-practices,0.7,True,"Step-by-step migration guide with Service-Fabric-specific recommendations (for example, using managed clusters, sequencing migration tasks) that go beyond generic advice.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cluster-resource-manager-subclustering,Subclustering,Balancing of subclustered metrics - Azure Service Fabric,Handle subclustered metrics balancing in Service Fabric,The effect of placement constraints on balancing and how to handle it,,2026-03-22T08:00:00.000Z,concept-article,architecture-patterns,0.65,True,Focuses on effect of placement constraints on balancing and how to handle it; provides nuanced pattern guidance for subcluster scenarios.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cluster-security-certificate-management,Certificate management in Service Fabric,Manage certificates in a Service Fabric cluster - Azure Service Fabric,Manage X.509 certificates for Service Fabric clusters,Learn about managing certificates in a Service Fabric cluster that's secured with X.509 certificates.,This article addresses the management aspects of certificates that are used to secure communication in Azure Service Fabric clusters. It complements the introduction toService Fabric cluster securityand the explainer onX.509 certificate-based authentication in Service Fabric.,2026-03-22T08:00:00.000Z,concept-article,security,0.8,True,Certificate lifecycle management for Service Fabric clusters; includes concrete procedures and configuration details for certificate rotation and management.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/cluster-security-certificates,Certificate-based authentication in Service Fabric,X.509 Certificate-based Authentication in a Service Fabric Cluster - Azure Service Fabric,Configure X.509 certificate authentication in Service Fabric,"Learn about certificate-based authentication in Service Fabric clusters, and how to detect, mitigate and fix certificate-related problems.","This article complements the introduction toService Fabric cluster security, and goes into the details of certificate-based authentication in Service Fabric clusters. We assume the reader is familiar with fundamental security concepts, and also with the controls that Service Fabric exposes to control the security of a cluster. Topics covered under this title:",2026-03-22T08:00:00.000Z,concept-article,security,0.85,True,"Deep dive into certificate-based authentication and related issues; includes product-specific certificate usage, thumbprint handling, and mitigation steps.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/concepts-managed-identity,Managed Identity,Managed identities for Azure - Azure Service Fabric,Use managed identities with Azure Service Fabric,Learn about using Managed identities for Azure with Service Fabric.,A common challenge when building cloud applications is how to securely manage the credentials in your code for authenticating to various services without saving them locally on a developer workstation or in source control.Managed identities for Azuresolve this problem for all your resources in Microsoft Entra ID by providing them with automatically managed identities within Microsoft Entra ID. You can use a service's identity to authenticate to any service that supports Microsoft Entra authentic,2026-03-22T08:00:00.000Z,concept-article,security,0.7,True,"Covers Service Fabric–specific use of managed identities, including how identities are bound and used for authentication to other services—product-specific security configuration patterns.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/configure-container-repository-credentials,Configure container repository credentials,Azure Service Fabric - Configure container repository credentials - Azure Service Fabric,Configure container registry credentials in Service Fabric,Configure repository credentials to download images from container registry,"Configure container registry authentication by addingRepositoryCredentialsto theContainerHostPoliciessection of your application manifest. Add the account and password for your container registry (myregistry.azurecr.ioin the example below), which allows the service to download the container image from the repository. It's recommended that you encrypt the repository password by using an encipherment certificate that's deployed to all nodes of the cluster. When Service Fabric deploys the service p",2026-03-22T08:00:00.000Z,how-to,configuration,0.8,True,"Shows concrete manifest schema (RepositoryCredentials, ContainerHostPolicies) and how to specify account/password and encryption—detailed configuration parameters unique to Service Fabric.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/configure-existing-cluster-enable-managed-identity-token-service,Configure existing cluster with managed identity,Configure managed identity support in an existing Service Fabric cluster - Azure Service Fabric,Enable managed identity token service on existing Service Fabric clusters,Here's how to enable managed identities support in an existing Azure Service Fabric cluster,"To useManaged identities for Azure resourcesin your Service Fabric applications, first enable theManaged Identity Token Serviceon the cluster. This service is responsible for the authentication of Service Fabric applications using their managed identities, and for obtaining access tokens on their behalf. Once the service is enabled, you can see it in Service Fabric Explorer under theSystemsection in the left pane, running under the namefabric:/System/ManagedIdentityTokenService. Note Service Fab",2026-03-22T08:00:00.000Z,how-to,security,0.86,True,"Explains enabling Managed Identity Token Service, its system service name, and cluster configuration steps; highly product-specific security setup.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/configure-new-azure-service-fabric-enable-managed-identity,Configure new Azure Service Fabric cluster with managed identity,Configure managed identity support for a new Service Fabric cluster - Azure Service Fabric,Configure managed identity support for new Service Fabric clusters,Here's how to enable managed identities support in a new Azure Service Fabric cluster,"To useManaged identities for Azure resourcesin your Service Fabric applications, first enable theManaged Identity Token Serviceon the cluster. This service is responsible for the authentication of Service Fabric applications using their managed identities, and for obtaining access tokens on their behalf. Once the service is enabled, you can see it in Service Fabric Explorer under theSystemsection in the left pane, running under the namefabric:/System/ManagedIdentityTokenServicenext to other syst",2026-03-22T08:00:00.000Z,how-to,security,0.86,True,"Shows how to enable Managed Identity Token Service during new cluster creation, including ARM/cluster configuration details unique to Service Fabric.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/container-image-management,Container image management,Azure Service Fabric container image management - Azure Service Fabric,Configure container image management in Service Fabric,How to use container image management in a service fabric cluster.,"The activation path during Service Fabric containers deployment, handles the downloading of the container images to the VM on which the containers are running. Once the containers are removed from the cluster and their application types are unregistered, there's a cleanup cycle that deletes the container images. This container image cleanup works only if the container image was hard coded in the service manifest. For existing Service Fabric runtime versions, the configurations supporting the cle",2026-03-22T08:00:00.000Z,how-to,configuration,0.8,True,Describes image download/cleanup behavior and required runtime configurations; includes specific configuration names and behaviors unique to Service Fabric.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/create-load-balancer-rule,Open a port in the load balancer,Create an Azure Load Balancer rule for a cluster - Azure Service Fabric,Configure Azure Load Balancer rules for Service Fabric clusters,Configure an Azure Load Balancer to open ports for your Azure Service Fabric cluster.,"The load balancer deployed with your Azure Service Fabric cluster directs traffic to your app running on a node. If you change your app to use a different port, you must expose that port (or route a different port) in the Azure Load Balancer. When you deployed your Service Fabric cluster to Azure, a load balancer was automatically created for you. If you do not have a load balancer, seeConfigure an Internet-facing load balancer. Note We recommend that you use the Azure Az PowerShell module to in",2026-03-22T08:00:00.000Z,how-to,configuration,0.7,True,Explains how to expose/route ports via Azure Load Balancer for Service Fabric; likely includes specific port mappings and LB rule parameters tied to Service Fabric cluster topology.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/disable-enable-service,Scale Services to Zero,Scale to Zero - Disable and enable services in Azure Service Fabric - Azure Service Fabric,Disable and enable Service Fabric services (scale to zero),Learn how to disable and enable services in Azure Service Fabric to free cluster resources without deleting service metadata.,"To increase resource utilization in a cluster, scale to zero feature can be used to free resources that are being held by services not currently in use. In this article, you learn how to disable and enable services in an Azure Service Fabric cluster. Disabling a service removes all of its replicas and instances while preserving the service definition. When you enable the service again, Service Fabric rebuilds the replicas without requiring a full re-creation. Both stateful and stateless services",2026-03-20T17:05:00.000Z,concept-article,configuration,0.65,True,"Explains how to disable/enable services to free resources; likely includes specific commands, API calls, or settings for toggling service state that are product-specific.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/faq-managed-cluster,Service Fabric managed clusters FAQ,Service Fabric managed clusters FAQ,,"Frequently asked questions about Service Fabric managed clusters, including capabilities, use cases, and common scenarios.",Here are some frequently asked questions (FAQs) and answers for Service Fabric managed clusters.,2026-03-22T22:03:00Z,faq,,0.4,False,"FAQ for managed clusters; summary suggests high-level Q&A about capabilities and scenarios, not detailed configs, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-deploy-custom-image,Deploy custom image,Custom Image - Azure Service Fabric,Deploy custom Windows images to Service Fabric managed clusters,Learn how to deploy a custom image on Azure Service Fabric clusters (SFMC).,"Custom windows images are like marketplace images, but you create them yourself for each new node type within a cluster. Custom images can be used to bootstrap configurations such as preloading applications, application configurations, and other OS configurations. Once you create a custom windows image, you can then deploy to one or more new node types within a Service Fabric Managed Cluster. Customers can also use a marketplace image. Azure Marketplace images are clones of entire computer syste",2026-03-22T08:00:00.000Z,how-to,deployment,0.7,True,"Explains how to create and use custom images for new node types, including bootstrapping configurations—deployment pattern specific to Service Fabric managed clusters.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-deploy-service-fabric-application-system-assigned-managed-identity,How to deploy application with a system-assigned managed identity,Deploy a Service Fabric app with system-assigned MI - Azure Service Fabric,Deploy Service Fabric applications with system-assigned managed identity,This article shows you how to assign a system-assigned managed identity to an Azure Service Fabric application,"Note Enabling identity for an existing app that was initially deployed using Azure cmdlets isn't supported. In order to access the managed identity feature for Azure Service Fabric applications, you must first enable the Managed Identity Token Service on the cluster. This service is responsible for the authentication of Service Fabric applications using their managed identities, and for obtaining access tokens on their behalf. Once the service is enabled, you can see it in Service Fabric Explore",2026-03-22T08:00:00.000Z,how-to,security,0.86,True,"Covers enabling system-assigned managed identity for apps, prerequisites, and limitations (e.g., not supported for apps deployed via Azure cmdlets); includes Service Fabric–specific identity configuration.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-deploy-service-fabric-application-user-assigned-managed-identity,How to deploy application with a user-assigned managed identity,Deploy app with a user-assigned managed identity - Azure Service Fabric,Deploy Service Fabric apps with user-assigned managed identity,This article shows you how to deploy Service Fabric application with a user-assigned managed identity,"To deploy a Service Fabric application with managed identity, the application needs to be deployed through Azure Resource Manager, typically with an Azure Resource Manager template. For more information on how to deploy Service Fabric application through Azure Resource Manager, seeManage applications and services as Azure Resource Manager resources. Note Applications which are not deployed as an Azure resourcecannothave Managed Identities. Service Fabric application deployment with Managed Ident",2026-03-22T08:00:00.000Z,how-to,deployment,0.7,True,How-to for deploying Service Fabric applications via ARM with user-assigned managed identities; includes product-specific deployment constraints (must be ARM-based Azure resources) and configuration patterns unique to Service Fabric + managed identity.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-grant-access-other-resources,Grant access to other Azure resources,Grant an application access to other Azure resources - Azure Service Fabric,Grant Service Fabric app managed identity access to Azure resources,This article explains how to grant your managed-identity-enabled Service Fabric application access to other Azure resources supporting Microsoft Entra ID-based authentication.,"Before the application can use its managed identity to access other resources, permissions must be granted to that identity on the protected Azure resource being accessed. Granting permissions is typically a management action on the 'control plane' of the Azure service owning the protected resource routed via Azure Resource Manager, which will enforce any applicable role-based access checking. The exact sequence of steps will then depend on the type of Azure resource being accessed, as well as t",2026-03-22T08:00:00.000Z,how-to,security,0.7,True,"Explains granting permissions for Service Fabric managed identities on other Azure resources, involving RBAC roles and control-plane configuration steps that are product- and scenario-specific.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-managed-cluster-app-deployment-template,4- Connect to a managed cluster and deploy an application,Deploy an application to a managed cluster using Azure Resource Manager - Azure Service Fabric,Configure ARM-based app deployment to Service Fabric managed clusters,"Learn how to deploy, upgrade, or delete a Service Fabric application on an Azure Service Fabric managed cluster using Azure Resource Manager","You have multiple options for deploying Azure Service Fabric applications on your Service Fabric managed cluster. We recommend using Azure Resource Manager. If you use Resource Manager, you can describe applications and services in JSON, and then deploy them in the same Resource Manager template as your cluster. Unlike using PowerShell or Azure CLI to deploy and manage applications, if you use Resource Manager, you don't have to wait for the cluster to be ready; application registration, provisi",2026-03-22T08:00:00.000Z,how-to,configuration,0.7,True,"Describes defining applications and services in ARM JSON alongside the cluster; typically includes specific resource types, properties, and allowed values for Service Fabric app deployment.",unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-managed-cluster-application-gateway,Use Azure Application Gateway in a Service Fabric managed cluster,Use Application Gateway in a Service Fabric managed cluster - Azure Service Fabric,Integrate Azure Application Gateway with Service Fabric managed clusters,This article describes how to use Application Gateway in a Service Fabric managed cluster.,Azure Application Gatewayis a web traffic load balancer that enables you to manage traffic to your web applications. There areseveral benefits to using Application Gateway. Service Fabric managed cluster supports Azure Application Gateway and allows you to connect your node types to an Application Gateway. You cancreate an Azure Application Gatewayand pass the resource ID to the service fabric managed cluster ARM template.,2026-03-22T08:00:00.000Z,how-to,configuration,0.7,True,Describes connecting node types to Application Gateway and passing resource IDs in ARM templates—product-specific integration and configuration parameters.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-managed-cluster-application-managed-identity,Deploy an application with managed identity to a managed cluster,Configure and use applications with managed identity on a Service Fabric managed cluster - Azure Service Fabric,Configure Service Fabric applications with managed identity on managed clusters,"Learn how to configure, and use an application with managed identity on an Azure Resource Manager (ARM) template deployed Azure Service Fabric managed cluster.","To deploy a Service Fabric application with managed identity, the application needs to be deployed through Azure Resource Manager, typically with an Azure Resource Manager template. For more information on how to deploy Service Fabric application through Azure Resource Manager, seeDeploy an application to a managed cluster using Azure Resource Manager. Note Applications that aren't deployed as an Azure resourcecannothave Managed Identities. Service Fabric application deployment with Managed Iden",2026-03-22T08:00:00.000Z,how-to,security,0.8,True,Details ARM template configuration for assigning managed identities to applications and constraints (must be Azure resources)—specific security/identity configuration.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-managed-cluster-application-secrets,Deploy application secrets to a managed cluster,Deploy application secrets to a Service Fabric managed cluster - Azure Service Fabric,Manage and deploy application secrets in Service Fabric managed clusters,Learn about Azure Service Fabric application secrets and how to deploy them to a managed cluster,"Secrets can be any sensitive information, such as storage connection strings, passwords, or other values that should not be handled in plain text. We recommend using Azure Key Vault to manage keys and secrets for Service Fabric managed clusters and leverage it for this article. However,usingsecrets in an application is cloud platform-agnostic to allow applications to be deployed to a cluster hosted anywhere. The recommended way to manage service configuration settings is throughservice configura",2026-03-22T08:00:00.000Z,how-to,security,0.75,True,Provides concrete patterns for using Key Vault and Service Fabric service configuration to handle secrets securely—product-specific secret management configuration.,unchanged
https://learn.microsoft.com/en-us/azure/service-fabric/how-to-managed-cluster-autoscale,Configure autoscaling on a managed cluster,Configure autoscaling for Service Fabric managed cluster nodes - Azure Service Fabric,Configure autoscaling policies for Service Fabric managed clusters,Learn how to configure autoscaling policies on Service Fabric managed cluster.,"Autoscalinggives great elasticity and enables addition or reduction of nodes on demand on a secondary node type. This automated and elastic behavior reduces the management overhead and potential business impact by monitoring and optimizing the number of nodes servicing your workload. You configure rules for your workload and let autoscaling handle the rest. When those defined thresholds are met, autoscale rules take action to adjust the capacity of your node type. Autoscaling can be enabled, dis",2026-03-22T08:00:00.000Z,how-to,configuration,0.7,True,"Describes autoscale rules, thresholds, and node-type behavior for managed clusters with concrete policy fields—product-specific configuration parameters.",unchanged
