url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/afds-overview,Web Application Firewall on Azure Front Door,What is Azure Web Application Firewall on Azure Front Door?,,Learn how Azure Web Application Firewall on Azure Front Door protects your web applications from malicious attacks.,Azure Web Application Firewall on Azure Front Door provides centralized protection for your web applications. A web application firewall (WAF) defends your web services against common exploits and vulnerabilities. It keeps your service highly available for your users and helps you meet compliance requirements. Azure Web Application Firewall on Azure Front Door is a global and centralized solution. It's deployed on Azure network edge locations around the globe. WAF-enabled web applications inspec,2026-02-25T08:00:00.000Z,concept-article,,0.1,False,Overview of WAF on Azure Front Door; primarily conceptual description of capabilities and deployment model.,unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/automated-detection-response-with-sentinel,Automated detection and response,Automated detection and response for Azure WAF with Microsoft Sentinel,Automate WAF incident response with Microsoft Sentinel,"Use WAF detection templates in Sentinel, deploy a playbook, and configure the detection and response in Sentinel.","Malicious attackers increasingly target web applications by exploiting commonly known vulnerabilities such as SQL injection and Cross-site scripting. Preventing these attacks in application code poses a challenge, requiring rigorous maintenance, patching, and monitoring at multiple layers of the application topology. A Web Application Firewall (WAF) solution can react to a security threat faster by centrally patching a known vulnerability, instead of securing each individual web application. Azu",2023-09-27T22:04:00.000Z,how-to,integrations,0.75,True,Describes deploying playbooks and detection templates; includes Sentinel rule configurations and automation steps specific to WAF events.,unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/captcha-challenge,CAPTCHA challenge,Azure Front Door Web Application Firewall CAPTCHA,Configure CAPTCHA challenges in Azure Front Door WAF,Learn about the CAPTCHA feature in Azure Front Door Web Application Firewall (WAF) and how it helps protect your web applications from automated attacks.,"Azure Web Application Firewall (WAF) offers a CAPTCHA feature designed to differentiate human users from automated bots. This interactive challenge requires suspected traffic to complete a CAPTCHA test, blocking malicious automated requests while allowing legitimate users to proceed seamlessly. As a result, WAF helps protect applications from bot-driven attacks, including brute-force attempts and account takeover risks. CAPTCHA on Azure WAF is useful in login and sign-up flows where human authen",2025-10-28T22:10:00.000Z,concept-article,configuration,0.7,True,Describes CAPTCHA feature behavior and configuration for login/sign-up flows; includes WAF action settings and usage constraints.,unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/http-ddos-ruleset,HTTP DDoS protection,HTTP DDoS Ruleset (Preview) - Front Door WAF,,Learn about HTTP DDoS ruleset in Azure Front Door Web Application Firewall (WAF).,"Important The Microsoft HTTP DDoS Ruleset in the Azure Front Door Web Application Firewall (WAF) is currently in PREVIEW.
See theSupplemental Terms of Use for Microsoft Azure Previewsfor legal terms that apply to Azure features that are in beta, preview, or otherwise not yet released into general availability. HTTP‑layer floods remain the most frequent driver of application availability incidents, and static controls (IP/geo filters, fixed rate limits) often can’t keep pace with distributed botn",2026-04-27T22:14:00.000Z,concept-article,,0.3,False,"Appears to be a conceptual/feature overview of the HTTP DDoS ruleset in Front Door WAF. The summary emphasizes motivation and preview status; there’s no clear indication of specific numeric thresholds, configuration tables, or detailed rule parameters in the provided text.",updated
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/protect-api-hosted-apim-by-waf,Protect APIs hosted in APIM,Protect APIs hosted in APIM using Azure WAF with Azure Front Door,Protect APIM-hosted APIs with Front Door WAF,This article guides you through a process of creating an API in APIM and protects it from a web application attack using Azure Web Application Firewall integrated with Azure Front Door.,"There are a growing number of enterprises adhering to API-first approach for their internal applications, and the number and complexity of security attacks against web applications is constantly evolving. This situation requires enterprises to adopt a strong security strategy to protect APIs from various web application attacks. Azure Web Application Firewall (WAF)is an Azure Networking product that protects APIs from variousOWASP top 10web attacks, CVE’s, and malicious bot attacks. This article",2024-04-03T17:09:00.000Z,how-to,integrations,0.65,True,"Integration scenario between APIM and Front Door WAF; typically includes configuration steps, headers, and routing patterns specific to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/protect-azure-open-ai,Protect Azure OpenAI,Protect Azure OpenAI using Azure Web Application Firewall on Azure Front Door,Secure Azure OpenAI endpoints using Front Door WAF,Learn how to Protect Azure OpenAI using Azure Web Application Firewall on Azure Front Door,"There are a growing number of enterprises using Azure OpenAI APIs, and the number and complexity of security attacks against web applications is constantly evolving. A strong security strategy is necessary to protect Azure OpenAI APIs from various web application attacks. Azure Web Application Firewall (WAF) is an Azure Networking product that protects web applications and APIs from various OWASP top 10 web attacks, Common Vulnerabilities and Exposures (CVEs), and malicious bot attacks. This art",2024-10-16T22:05:00.000Z,how-to,integrations,0.65,True,"Integration guidance for protecting Azure OpenAI APIs with WAF; likely includes endpoint patterns, headers, and WAF rule configurations unique to this scenario.",unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/waf-faq,FAQ,Azure Web Application Firewall on Azure Front Door - Frequently Asked Questions,Resolve common Azure Front Door WAF questions,This article provides answers to frequently asked questions about Azure Web Application Firewall on Azure Front Door.,This article answers common questions about features and functionality for Azure Web Application Firewall on Azure Front Door.,2025-10-01T22:16:00Z,faq,troubleshooting,0.65,True,"FAQ for WAF on Front Door is likely to contain concrete answers about behavior, configuration nuances, and operational gotchas that help diagnose and resolve issues.",unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/waf-front-door-best-practices,Best practices,Best practices for Azure Web Application Firewall in Azure Front Door,Implement best practices for Front Door WAF,"In this article, you learn about the best practices for using Azure Web Application Firewall in Azure Front Door.",This article summarizes best practices for using Azure Web Application Firewall in Azure Front Door.,2023-10-12T08:00:00.000Z,concept-article,best-practices,0.8,True,Summarizes best practices for WAF on Front Door; includes product-specific recommendations and tuning guidance.,unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/waf-front-door-configure-custom-response-code,Configure custom response code,Configure custom responses for Azure Front Door WAF policy,Configure custom block responses for Front Door WAF,Learn how to configure a custom response code and message when Azure Web Application Firewall blocks a request.,"By default, when Azure Front Door Web Application Firewall (WAF) blocks a request because of a matched rule, it returns a 403 status code with the message ""The request is blocked."" The default message also includes the tracking reference string that's used to link tolog entriesfor the request. In this article, you learn how to configure a custom response status code and a custom message with a reference string for your use case using the Azure portal, PowerShell, or the Azure CLI.",2025-05-08T22:03:00.000Z,how-to,configuration,0.7,True,Shows how to set custom HTTP status codes and messages for blocked requests using portal/CLI/PowerShell; involves specific WAF policy configuration parameters and values.,unchanged
https://learn.microsoft.com/en-us/azure/web-application-firewall/afds/waf-front-door-configure-ip-restriction,Configure IP restrictions,Configure an IP restriction WAF Rule For Azure Front Door,Configure IP restriction rules in Front Door WAF,Learn how to configure an Azure Web Application Firewall rule to restrict IP addresses for an existing Azure Front Door endpoint.,"Applies to:✔️ Front Door Standard ✔️ Front Door Premium This article shows you how to configure IP restriction rules in a web application firewall (WAF) for Azure Front Door by using the Azure portal, the Azure CLI, Azure PowerShell, or an Azure Resource Manager template. An IP address–based access control rule is a custom WAF rule that you use to control access to your web applications. The rule specifies a list of IP addresses or IP address ranges in Classless Inter-Domain Routing (CIDR) forma",2026-04-30T08:00:00.000Z,how-to,security,0.75,True,"Describes how to configure IP-based access control rules in Azure Front Door WAF using portal/CLI/PowerShell/ARM, including CIDR-based IP lists and rule behavior. These are product-specific security configuration steps and patterns, not just generic networking concepts.",updated
