url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/quantum/azure-quantum-common-issues,Troubleshooting Azure Quantum,Troubleshoot Issues with Azure Quantum - Azure Quantum,Diagnose and fix common Azure Quantum issues,This article provides troubleshooting steps for issues that users might experience when they use the Azure Quantum service.,"When you work with the Azure Quantum service, you might experience connection or job-related issues. This article explains how to troubleshoot these issues.",2026-04-13T22:05:00.000Z,troubleshooting-known-issue,troubleshooting,0.8,True,"Explicitly a troubleshooting article for Azure Quantum; such pages typically map specific connection/job symptoms and error messages to causes and resolutions, which are product-specific diagnostic details.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/azure-quantum-job-cost-billing,Billing and job costs in Azure Quantum,FAQ: Understanding Job Costs and Billing - Azure Quantum,,Learn about how to view job cost reports for running quantum programs in Azure Quantum and how to manage your invoices.,This article explains the guidelines to understand the cost of running quantum programs in Azure Quantum and how to manage your invoices.,2026-04-13T22:05:00.000Z,faq,,0.3,False,"Described as guidelines to understand costs and manage invoices; this is typically conceptual billing guidance without numeric service limits, configuration tables, or decision matrices with thresholds.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/azure-quantum-quotas,Azure Quantum quotas,FAQ: Limits & Quotas - Azure Quantum,Review and manage Azure Quantum usage quotas,"This document answers common questions about Azure Quantum quotas, including how to review remaining quotas and how to apply to get more.","In this article, you find answers to questions about limits and quotas for usage of Azure Quantum providers.",2026-04-13T22:05:00.000Z,faq,limits-quotas,0.9,True,"A quotas FAQ for a specific service is very likely to list concrete numeric limits (for example, job counts, shot limits, provider-specific caps) and how to request increases, which are product-specific values not inferable from general training data.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/backend-simulators,Backend simulators,Simulators from Quantum Providers - Azure Quantum,,"Learn how to run your Q# programs on the backend simulators available from quantum providers, such as IonQ, Pasqal, Quantinuum, and Rigetti.","This article describes the backend simulators available from quantum providers. These simulators are available to all Azure Quantum users, and are a great way to test your Q# programs before running them on a real quantum computer.",2026-04-23T15:34:00.000Z,concept-article,,0.2,False,"Describes backend simulators from quantum providers at a conceptual level; no evidence of quotas, config tables, or detailed troubleshooting guidance in the summary.",updated
https://learn.microsoft.com/en-us/azure/quantum/bulk-add-users-to-a-workspace,Add a group to your Azure Quantum workspace,Bulk Add Users to Azure Quantum Workspace - Azure Quantum,Bulk assign Azure Quantum workspace access via CSV,Learn how to bulk add users to your Azure Quantum workspace using a CSV file. This guide simplifies user management for large teams.,"Learn how to grant a group of users access to your Azure Quantum workspace. For example, you may need to grant your team members or students access to your workspace. We recommend using the instructions in this article if you need to grant access to more than 10 users. For a smaller number of users, seeShare access to your Azure Quantum workspace. In this article you'll:",2026-03-13T18:58:00.000Z,how-to,security,0.7,True,"Page describes concrete, product-specific steps to grant access to many users at once for an Azure Quantum workspace, which is an IAM/security operation. It likely includes specific role names or access patterns (e.g., workspace roles or Azure RBAC assignments) and CSV schema details that are not generic knowledge. This fits the security sub-skill as it focuses on configuring access control for the service.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/circuit-diagrams-qdk-overview,The circuit visualizer,Overview of QDK circuit diagrams - Azure Quantum,,The article gives an overview of how to interact with circuit diagram elements in the QDK extension for VS Code,"Quantum algorithms are a mixture of quantum programming and classical programming. The quantum part includes qubits, quantum gates, and probabilistic measurements, while the classical part includes control flow constructs such as conditional logic and loops. Quantum circuit diagrams need to incorporate elements from both quantum and classical programming. The Microsoft Quantum Development Kit (QDK) creates interactive circuit diagrams for Q# and OpenQASM programs that show how classical control ",2026-04-01T16:52:00.000Z,overview,,0.1,False,"High-level overview of QDK circuit diagrams and interaction in VS Code; no numeric limits, configuration tables, error codes, or product-specific decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/concepts-circuits,Quantum circuits conventions,Quantum Circuit Diagram Conventions - Azure Quantum,,Learn how to read a quantum circuit diagram and how to represent quantum operations and measurements in a circuit diagram.,"Sometimes quantum algorithms are easier to understand in a circuit diagram than in the equivalent written matrix representation. This article explains how to read quantum circuit diagrams and their conventions. For more information, seeHow to visualize quantum circuits diagrams.",2025-01-16T08:00:00.000Z,concept-article,,0.2,False,"Explains how to read quantum circuit diagrams and conventions; no product-specific configuration parameters, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/concepts-dirac-notation,Dirac notation,Dirac Notation in Quantum Computing - Azure Quantum,,Learn about Dirac notation and how to use it to represent quantum states and to simulate quantum operations.,"Dirac notationis a concise and powerful way to describe quantum states and operations. It was named after the physicist Paul Dirac, who developed the notation in the 1930s. Dirac notation is used in quantum computing to describe quantum states, quantum operations, and quantum measurements. This article introduces you to Dirac notation and show you how to use it to describe quantum states and operations.",2025-02-13T08:00:00.000Z,concept-article,,0.1,False,"Explains Dirac notation and its use in quantum computing; purely mathematical/conceptual, not product-configuration or troubleshooting focused.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/concepts-entanglement,Quantum entanglement,Entanglement & Correlations - Azure Quantum,,"Learn about entanglement, a fundamental concept in quantum computing that allows qubits to be correlated in ways that classical bits can't.","Entanglement is a fundamental concept in quantum mechanics that describes a quantum correlation between quantum systems. When two or more qubits are entangled, the state of one qubit is dependent on the state of the other qubit, even if they're far apart. This quantum correlation is a unique feature of quantum systems that doesn't have a classical counterpart. This article provides an overview of entanglement, correlations, and explains how to create entanglement using quantum gates.",2024-09-16T08:00:00.000Z,concept-article,,0.1,False,"Conceptual overview of entanglement and correlations; does not provide product-specific settings, limits, or troubleshooting flows.",unchanged
https://learn.microsoft.com/en-us/azure/quantum/concepts-error-correction,Quantum error correction,Quantum Error Correction Codes - Azure Quantum,,"Learn how quantum error correction works, the types of quantum errors and codes, and how to correct errors using the three-qubit code as an example.","This article explains the basics of quantum error correction, the types of quantum errors, and some common quantum error correction codes. It also provides an example of how to correct errors using the three-qubit code.",2024-09-16T08:00:00.000Z,concept-article,,0.2,False,"Explains quantum error correction codes conceptually with an example; lacks Azure/QDK-specific configuration, quotas, or error-code-based troubleshooting.",unchanged
