url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/governance/blueprints/blueprint-retirement,Azure Blueprints retirement,Azure Blueprints retirement - Azure Blueprints,Plan migration off Azure Blueprints with timelines,"Learn when Azure Blueprints is retired, the phased retirement timeline, what changes in each phase, and how to migrate to Azure Deployment Stacks and template specs.","Azure Blueprints (Preview) is being retired. The retirement was originally announced on
September 14, 2023 with a retirement date of July 11, 2026. That timeline has been extended toJanuary 31, 2027, with aphased retirement beginning July 31, 2026. This article explains the phased timeline, what changes at each phase, and how to migrate. For
answers to common questions, see theAzure Blueprints retirement FAQ.",2026-06-26T08:00:00.000Z,concept-article,decision-making,0.7,True,"Retirement article includes specific retirement dates, phased timeline milestones, and migration guidance to Deployment Stacks and template specs, which are concrete decision inputs for when and how to move off the service.",new
https://learn.microsoft.com/en-us/azure/governance/blueprints/blueprint-retirement-faq,Retirement FAQ,Azure Blueprints retirement FAQ - Azure Blueprints,Answer migration questions for Blueprints retirement,"Frequently asked questions about the Azure Blueprints retirement, including what changes at retirement, data retention, deny-assignment impact, and migration to Azure Deployment Stacks and template sp","Azure Blueprints (Preview) is retired onJanuary 31, 2027, with a phased retirement beginning
July 31, 2026. For the phased timeline and migration recommendation, seeAzure Blueprints retirement. This article answers common questions
about the retirement.",2026-06-26T08:00:00.000Z,concept-article,decision-making,0.65,True,"FAQ around retirement contains detailed answers about what changes, data retention, deny-assignment impact, and migration behavior, providing concrete criteria and implications for migration decisions.",new
https://learn.microsoft.com/en-us/azure/governance/blueprints/concepts/deployment-stages,Stages of a blueprint deployment,Stages of a blueprint deployment - Azure Blueprints,Understand security-related stages of Azure Blueprint deployment,Learn the security and artifact-related steps the Azure Blueprints services goes through while creating a blueprint assignment.,"Important On July 11, 2026, Blueprints (Preview) will be deprecated. Migrate your existing blueprint definitions and assignments toTemplate SpecsandDeployment Stacks. Blueprint artifacts are to be converted to ARM JSON templates or Bicep files used to define deployment stacks. To learn how to author an artifact as an ARM resource, see: When a blueprint gets deployed, a series of actions is taken by the Azure Blueprints service to
deploy the resources defined in the blueprint. This article provid",2023-09-15T17:19:00.000Z,conceptual,security,0.6,True,Explains security and artifact-related steps during blueprint assignment; includes product-specific deployment behavior and security implications.,unchanged
https://learn.microsoft.com/en-us/azure/governance/blueprints/concepts/lifecycle,Lifecycle of a blueprint,Understand the lifecycle of a blueprint - Azure Blueprints,,"Learn about the lifecycle that a blueprint definition goes through and details about each stage, including updating and removing blueprint assignments.","Important On July 11, 2026, Blueprints (Preview) will be deprecated. Migrate your existing blueprint definitions and assignments toTemplate SpecsandDeployment Stacks. Blueprint artifacts are to be converted to ARM JSON templates or Bicep files used to define deployment stacks. To learn how to author an artifact as an ARM resource, see: Like many resources within Azure, a blueprint in Azure Blueprints has a typical and natural
lifecycle. They're created, deployed, and finally deleted when no long",2023-09-07T08:00:00.000Z,conceptual,,0.4,False,"Conceptual explanation of blueprint lifecycle stages; does not focus on specific configuration parameters, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/governance/blueprints/concepts/parameters,Dynamic parameters in a blueprint,Use parameters to creating dynamic blueprints - Azure Blueprints,,Learn about static and dynamic parameters and how to use them to create secure and dynamic blueprints.,"Important Azure Blueprints (Preview) will beretired on January 31, 2027, with a phased retirement
beginning July 31, 2026. Migrate your existing blueprint definitions and assignments toDeployment Stacks(recommended)
andTemplate Specs. Blueprint
artifacts are converted to ARM JSON templates or Bicep files used to define deployment stacks.
For the full phased timeline, impact, and FAQ, seeAzure Blueprints retirementorhttps://aka.ms/AzureBlueprintsRetirement. To learn how to author an artifact as a",2026-06-23T05:11:00.000Z,concept-article,,0.5,False,"Conceptual explanation of static and dynamic parameters in blueprints; while product-specific, it is more conceptual than a detailed configuration reference with parameter tables or ranges.",updated
https://learn.microsoft.com/en-us/azure/governance/blueprints/concepts/resource-locking,Resource locking in Azure Blueprints,Understand resource locking - Azure Blueprints,Configure resource locking behavior in Azure Blueprints,Learn about the locking options in Azure Blueprints to protect resources when assigning a blueprint.,"Important On July 11, 2026, Blueprints (Preview) will be deprecated. Migrate your existing blueprint definitions and assignments toTemplate SpecsandDeployment Stacks. Blueprint artifacts are to be converted to ARM JSON templates or Bicep files used to define deployment stacks. To learn how to author an artifact as an ARM resource, see: The creation of consistent environments at scale is only truly valuable if there's a mechanism to
maintain that consistency. This article explains how resource lo",2023-12-05T08:00:00.000Z,concept-article,security,0.7,True,"Details locking options and how they protect resources, including interactions with roles; product-specific security configuration behavior.",unchanged
https://learn.microsoft.com/en-us/azure/governance/blueprints/concepts/sequencing-order,Sequencing order of blueprint deployment,Understand the deployment sequence order - Azure Blueprints,Control Azure Blueprint artifact deployment order,Learn about the default order that blueprint artifacts are deployed in during a blueprint assignment and how to customize the deployment order.,"Important Azure Blueprints (Preview) will beretired on January 31, 2027, with a phased retirement
beginning July 31, 2026. Migrate your existing blueprint definitions and assignments toDeployment Stacks(recommended)
andTemplate Specs. Blueprint
artifacts are converted to ARM JSON templates or Bicep files used to define deployment stacks.
For the full phased timeline, impact, and FAQ, seeAzure Blueprints retirementorhttps://aka.ms/AzureBlueprintsRetirement. To learn how to author an artifact as a",2026-03-25T22:12:00.000Z,concept-article,deployment,0.65,True,"Explains default deployment sequence and how to customize it; this is a product-specific deployment behavior pattern, likely including ordering rules and constraints that are not generic knowledge.",updated
https://learn.microsoft.com/en-us/azure/governance/blueprints/create-blueprint-azurecli,Create a blueprint - Azure CLI,Quickstart: Create a blueprint with the Azure CLI - Azure Blueprints,Create Azure Blueprints using Azure CLI commands,"In this quickstart, you use Azure Blueprints to create, define, and deploy artifacts by using the Azure CLI.","Important On July 11, 2026, Blueprints (Preview) will be deprecated. Migrate your existing blueprint definitions and assignments toTemplate SpecsandDeployment Stacks. Blueprint artifacts are to be converted to ARM JSON templates or Bicep files used to define deployment stacks. To learn how to author an artifact as an ARM resource, see: In this tutorial, you learn to use Azure Blueprints to do some of the common tasks related to creating, publishing, and assigning a blueprint within your organiza",2023-09-15T17:19:00.000Z,quickstart,integrations,0.65,True,"CLI-focused quickstart; expected to show blueprint-related CLI commands and parameters unique to this service, which are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/governance/blueprints/create-blueprint-portal,Create a blueprint - Portal,Quickstart: Create a blueprint in the portal - Azure Blueprints,,"In this quickstart, you use Azure Blueprints to create, define, and deploy artifacts through the Azure portal.","Important On July 11, 2026, Blueprints (Preview) will be deprecated. Migrate your existing blueprint definitions and assignments toTemplate SpecsandDeployment Stacks. Blueprint artifacts are to be converted to ARM JSON templates or Bicep files used to define deployment stacks. To learn how to author an artifact as an ARM resource, see: In this tutorial, you learn to use Azure Blueprints to do some of the common tasks related to creating, publishing, and assigning a blueprint within your organiza",2023-09-07T08:00:00.000Z,quickstart,,0.3,False,"Quickstart tutorial for creating a blueprint in the portal; step-by-step usage but no detailed configuration tables, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/governance/blueprints/create-blueprint-powershell,Create a blueprint - Azure PowerShell,Quickstart: Create a blueprint with PowerShell - Azure Blueprints,,"In this quickstart, you use Azure Blueprints to create, define, and deploy artifacts by using PowerShell.","Important Azure Blueprints (Preview) will beretired on January 31, 2027, with a phased retirement
beginning July 31, 2026. Migrate your existing blueprint definitions and assignments toDeployment Stacks(recommended)
andTemplate Specs. Blueprint
artifacts are converted to ARM JSON templates or Bicep files used to define deployment stacks.
For the full phased timeline, impact, and FAQ, seeAzure Blueprints retirementorhttps://aka.ms/AzureBlueprintsRetirement. To learn how to author an artifact as a",2025-11-26T23:19:00.000Z,quickstart,,0.3,False,"Quickstart for creating a blueprint with PowerShell; primarily procedural tutorial without configuration tables, limits, or detailed deployment constraints.",updated
