url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/vpn-gateway/about-active-active-gateways,About active-active mode gateways,About active-active VPN gateways - Azure VPN Gateway,Design and configure active-active VPN Gateways,"Learn about active-active VPN gateways, including configuration and design.",Azure VPN gateways can be configured as active-standby or active-active. This article explains active-active mode gateway configurations and highlights the benefits of using active-active mode.,2024-11-01T08:00:00.000Z,concept-article,architecture-patterns,0.65,True,"Explains when and how to use active-active mode, including design benefits and trade-offs specific to VPN Gateway.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/about-gateway-skus,About gateway SKUs,About gateway SKUs,Select appropriate Azure VPN Gateway SKU,Learn about VPN Gateway SKUs.,"When you create a VPN Gateway virtual network gateway, you specify the gateway SKU that you want to use. This article describes the factors that you should take into consideration when selecting a gateway SKU. If you're looking for information about ExpressRoute gateway SKUs, seeVirtual network gateways for ExpressRoute. For Virtual WAN gateways, seeVirtual WAN gateway settings. When you configure a virtual network gateway SKU, select the SKU that satisfies your requirements based on the types o",2026-06-11T22:20:00.000Z,concept-article,decision-making,0.7,True,"SKU selection guidance is inherently decision-focused. This article describes factors to consider when choosing a VPN Gateway SKU, likely including comparison of SKUs, capabilities, and trade-offs. Such SKU comparison and selection criteria qualify as decision-making expert knowledge beyond generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/about-site-to-site-tunneling,Forced tunneling,About forced tunneling for site-to-site - Azure VPN Gateway,Implement forced tunneling for S2S VPN connections,Learn about forced tunneling methods for VPN Gateway site-to-site connections.,"This article helps you understand how forced tunneling works for site-to-site (S2S) IPsec connections. By default, Internet-bound traffic from your workloads and VMs within a virtual network is sent directly to the Internet. Forced tunneling lets you redirect or ""force"" all Internet-bound traffic back to your on-premises location via S2S VPN tunnel for inspection and auditing. This is a critical security requirement for most enterprise IT policies. Unauthorized Internet access can potentially le",2025-03-31T08:00:00.000Z,concept-article,security,0.65,True,"Explains forced tunneling behavior and configuration for S2S VPN, a security-related routing pattern specific to VPN Gateway.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/about-vpn-profile-download,Generate VPN client profile configuration files,P2S VPN client profile configuration files - Microsoft Entra authentication - Azure VPN Gateway,Generate P2S VPN client profiles for Entra authentication,Learn how to generate P2S VPN client profile configuration files for Microsoft Entra ID authentication.,This article helps you generate and extract VPN client profile configuration files. Client profile configuration files contain information that's used to configure your VPN client. The sections in this article explain the information needed to configure the Azure VPN Client profile for Azure VPN Gateway point-to-site configurations that use Microsoft Entra ID authentication.,2025-03-31T08:00:00.000Z,how-to,configuration,0.8,True,"Explains contents and fields of client profile configuration files (e.g., URLs, audience, tenant IDs) used by Azure VPN Client for Entra-authenticated P2S connections.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/add-remove-site-to-site-connections,Add or remove a site-to-site connection,Add or remove site-to-site connections - Azure VPN Gateway,Add or remove S2S connections on a VPN Gateway,Learn how to add or remove site-to-site connections from a VPN gateway.,"This article helps you add or remove site-to-site (S2S) connections for a VPN gateway. You can also add S2S connections to a VPN gateway that already has a S2S connection, point-to-site connection, or VNet-to-VNet connection. There are some limitations when adding connections. Check thePrerequisitessection in this article to verify before you start your configuration. About ExpressRoute/site-to-site coexisting connections",2024-07-08T08:00:00.000Z,how-to,configuration,0.65,True,"Describes how to manage multiple S2S connections, including limitations and prerequisites specific to VPN Gateway.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/azure-vpn-client-linux-retirement,Migrate from Azure VPN Client for Linux,Azure VPN Client for Linux - Retirement Overview and Migration Guide - Azure VPN Gateway,Plan migration from Azure VPN Client for Linux,Learn how to migrate from the Azure VPN Client for Linux to a supported client for Azure VPN Gateway P2S connections.,"The Azure VPN Client for Linux (preview), which is the Microsoft-provided VPN client application used to establish Point-to-Site (P2S) connections from Linux machines to Azure VPN gateways, is being retired on August 31, 2026. The client remained in public preview since its release and doesn't have a path to general availability (GA). As part of Microsoft's ongoing effort to align Azure networking services with current security and reliability standards, we have made the decision to retire this ",2026-05-28T05:20:00.000Z,conceptual,decision-making,0.7,True,"Retirement and migration guide contains concrete retirement date, supported/unsupported paths, and prescriptive guidance on which alternative clients to choose and how to migrate; this is product-specific decision guidance for selecting replacement options and planning migration.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/azure-vpn-client-optional-configurations,Azure VPN Client - optional settings,Configure Azure VPN Client optional settings - Azure VPN Gateway,Configure optional Azure VPN Client settings for P2S,"Learn how to configure optional configuration settings for the Azure VPN Client. Settings include DNS suffixes, custom DNS servers, custom routes, and VPN client forced tunneling.","This article helps you configure optional settings for the Azure VPN Client for VPN Gateway point-to-site (P2S) connections. You can configure DNS suffixes, custom DNS servers, custom routes, and VPN client-side forced tunneling. Note The Azure VPN Client is only supported for OpenVPN® protocol connections.",2025-07-03T05:10:00.000Z,how-to,configuration,0.74,True,"The article describes concrete, product-specific configuration options for the Azure VPN Client (DNS suffixes, custom DNS servers, custom routes, forced tunneling) tied to Azure VPN Gateway P2S connections. It focuses on how to set particular client-side settings and their effects, which are implementation details not generally known from training. This aligns best with the configuration sub-skill, as it is about specific client configuration behavior rather than generic VPN concepts.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/azure-vpn-client-prerequisites-check,Run Prerequisites Test,Azure VPN Client prerequisites check - Azure VPN Gateway,Run Azure VPN Client prerequisites check and fix issues,Learn how run the Azure VPN Client prerequisites check to identify missing prerequisites and mitigate them.,"If you're using the Azure VPN Client for Windows to connect to your point-to-site (P2S) VPN, you can run a prerequisites check to identify missing prerequisites and mitigate them. TheRun Prerequisites Testfeature checks the state of Windows services, background permissions for the client, local setting permissions, internet access, and user device time sync status. You can use this feature to do the following: TheRun Prerequisites Testfeature is available in the Azure VPN Client for Windows, ver",2025-03-14T08:00:00.000Z,how-to,troubleshooting,0.7,True,"Describes the built-in prerequisites test, specific Windows services, permissions, and conditions it checks, and how to remediate failures—symptom-to-fix guidance.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/azure-vpn-client-versions,Azure VPN Client versions,Azure VPN Client versions - Azure VPN Gateway,,This article shows the Azure VPN Client versions.,"This article helps you view each of the versions of the Azure VPN Client. As new client versions become available, they're added to this article. To view the version number of an installed Azure VPN Client, launch the client and selectHelp. For the list of Azure VPN Client instructions, including how to download the Azure VPN Client, see the table inVPN Client configuration requirements.",2026-05-28T05:20:00.000Z,concept-article,,0.2,False,"Page primarily lists client version history; no limits, configuration matrices, error codes, or other expert-only technical details that fit the defined sub-skill types.",unchanged
https://learn.microsoft.com/en-us/azure/vpn-gateway/basic-public-ip-migrate-about,About Basic SKU public IP address migration,About migrating a Basic SKU public IP address to Standard SKU - Azure VPN Gateway,Migrate VPN Gateway Basic public IP to Standard,This article explains the migration process from a Basic SKU public IP address to a Standard SKU public IP address for VPN Gateway deployments that are currently using a Basic SKU public IP address. T,"This article explains the migration process from a Basic SKU public IP address to a Standard SKU public IP address for VPN Gateway deployments. There are separate migration timelines, depending on the VPN Gateway SKU that your gateway is currently configured to use. Important For anticipated migration timelines, see theVPN Gateway - What's newarticle.",2026-07-01T11:42:00.000Z,concept-article,deployment,0.65,True,"Explains a specialized migration path for VPN Gateway deployments using Basic public IP SKUs to Standard SKUs, including SKU-specific timelines and constraints. This is product-specific deployment/migration guidance that helps plan changes between tiers, which fits deployment and contains expert operational details.",updated
