url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/alert-rules-automatic-repairs-service-state,Monitor automatic repairs service state,Use Azure Alert Rules to monitor changes in Automatic Instance Repairs ServiceState - Azure Virtual Machine Scale Sets,Alert on Automatic Instance Repairs ServiceState changes,Learn how to use Azure Alert Rules to get notified of changes to Automatic Instance Repairs ServiceState.,"This article shows you how to useAlert Rules from Azure Monitorto receive custom notifications every time the ServiceState for Automatic Repairs is updated on your scale set. This will help track if Automatic Repairs becomeSuspendeddue to VM instances remaining unhealthy after multiple repair operations. To learn more about Azure Monitor alerts, see thealerts overview. To follow this tutorial, ensure that you have a Virtual Machine scale set withAutomatic Repairsenabled.",2026-05-19T08:00:00.000Z,how-to,configuration,0.7,True,Shows how to configure Azure Monitor alert rules on a specific property (ServiceState) for automatic repairs; product-specific monitoring configuration.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/auto-zone-balance-enable,Enable a scale set with automatic zone balance (Preview),Enable Automatic Zone Balance on Virtual Machine Scale Sets (Preview) - Azure Virtual Machine Scale Sets,Enable Automatic Zone Balance on scale sets,Guide to enable the Automatic Zone Balance feature for your virtual machine scale set.,This guide provides instructions to enable Automatic Zone Balance on your Virtual Machine Scale Sets. Important Automatic Zone Balance for Virtual Machine Scale Sets is currently in preview. Previews are made available to you on the condition that you agree to thesupplemental terms of use. Some aspects of this feature can change before general availability (GA).,2026-05-19T08:00:00.000Z,article,configuration,0.75,True,Step-by-step enabling of a specific feature with required properties/flags; contains concrete configuration details unique to this feature.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/auto-zone-balance-overview,Automatic zone balance (Preview),Automatic zone balance for Virtual Machine Scale Sets (Preview) - Azure Virtual Machine Scale Sets,Use Automatic Zone Balance for VM Scale Sets,Learn about the Automatic Zone Balance feature for virtual machine scale sets.,"Automatic zone balance helps you maintain zone-resilient scale sets that are evenly distributed across availability zones. This feature monitors your scale set and moves VMs to maximize resiliency, reducing the risk of zone imbalances due to capacity constraints or scaling operations. Important Automatic Zone Balance for Virtual Machine Scale Sets is currently in preview. Previews are made available to you on the condition that you agree to thesupplemental terms of use. Some aspects of this feat",2026-05-19T08:00:00.000Z,article,configuration,0.7,True,Describes a preview feature’s behavior and conditions for moving VMs across zones; these are product-specific configuration semantics.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/azure-hybrid-benefit-linux,Hybrid benefit for Uniform Scale Sets,Azure Hybrid Benefit for Linux Virtual Machine Scale Sets - Azure Virtual Machine Scale Sets,Apply Azure Hybrid Benefit to Linux scale sets,Learn how Azure Hybrid Benefit can apply to Virtual Machine Scale Sets and save you money on Linux virtual machines in Azure.,"Azure Hybrid Benefit can reduce the cost of running your Red Hat Enterprise Linux (RHEL) and SUSE Linux Enterprise Server (SLES)Virtual Machine Scale Sets. Azure Hybrid Benefit for Linux Virtual Machine Scale Sets is generally available now. It's available for all RHEL and SLES pay-as-you-go images from Azure Marketplace. When you enable Azure Hybrid Benefit, the only fee that you incur is the cost of your scale set infrastructure. Note This article focuses on Virtual Machine Scale Sets running ",2026-05-19T08:00:00.000Z,concept-article,decision-making,0.65,True,Explains when and how to use Hybrid Benefit for RHEL/SLES scale sets to reduce cost; product-specific licensing and pricing behavior.,unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/disk-encryption-azure-resource-manager,Use Azure Resource Manager templates,Create and encrypt a Virtual Machine Scale Set with Azure Resource Manager templates - Azure Virtual Machine Scale Sets,Create and encrypt VM Scale Sets via ARM,"In this quickstart, you learn how to use Azure Resource Manager templates to create and encrypt a Virtual Machine Scale Set","Important Azure Disk Encryption is scheduled for retirement onSeptember 15, 2028. Until that date, you can continue to use Azure Disk Encryption without disruption. On September 15, 2028, ADE-enabled workloads will continue to run, but encrypted disks will fail to unlock after VM reboots, resulting in service disruption. Useencryption at hostfor new VMs, or considerConfidential VM sizes with OS disk encryptionfor confidential computing workloads. All ADE-enabled VMs (including backups) must migr",2026-05-19T08:00:00.000Z,how-to,security,0.8,True,"Shows how to define ADE for VMSS in ARM templates, including template properties and parameter names; these are security-focused configuration details unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/disk-encryption-cli,Use the Azure CLI,Encrypt disks for Azure scale sets with Azure CLI - Azure Virtual Machine Scale Sets,Encrypt VM Scale Set disks with Azure CLI,Learn how to use Azure CLI to encrypt VM instances and attached disks in a Windows Virtual Machine Scale Set,"Important Azure Disk Encryption is scheduled for retirement onSeptember 15, 2028. Until that date, you can continue to use Azure Disk Encryption without disruption. On September 15, 2028, ADE-enabled workloads will continue to run, but encrypted disks will fail to unlock after VM reboots, resulting in service disruption. Useencryption at hostfor new VMs, or considerConfidential VM sizes with OS disk encryptionfor confidential computing workloads. All ADE-enabled VMs (including backups) must migr",2026-05-19T08:00:00.000Z,tutorial,security,0.85,True,"Similar to index 2 but with Azure CLI; includes ADE-specific commands, parameters, and Key Vault integration, which are detailed security configuration instructions.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/disk-encryption-extension-sequencing,Extension sequencing,Azure Disk Encryption and Azure Virtual Machine Scale Sets extension sequencing - Azure Virtual Machine Scale Sets,Sequence extensions for VMSS disk encryption,"In this article, learn how to enable Microsoft Azure Disk Encryption for Linux IaaS VMs.","Important Azure Disk Encryption is scheduled for retirement onSeptember 15, 2028. Until that date, you can continue to use Azure Disk Encryption without disruption. On September 15, 2028, ADE-enabled workloads will continue to run, but encrypted disks will fail to unlock after VM reboots, resulting in service disruption. Useencryption at hostfor new VMs, or considerConfidential VM sizes with OS disk encryptionfor confidential computing workloads. All ADE-enabled VMs (including backups) must migr",2026-05-19T08:00:00.000Z,how-to,security,0.8,True,"Covers Azure Disk Encryption with extension sequencing for VMSS, including ordering and dependencies of extensions; this is a product-specific security and configuration pattern.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/disk-encryption-key-vault,Key vault for Azure Disk Encryption,Creating and configuring a key vault for Azure Disk Encryption - Azure Virtual Machine Scale Sets,Configure Key Vault for VMSS disk encryption,This article provides steps for creating and configuring a key vault for use with Azure Disk Encryption,"Important Azure Disk Encryption is scheduled for retirement onSeptember 15, 2028. Until that date, you can continue to use Azure Disk Encryption without disruption. On September 15, 2028, ADE-enabled workloads will continue to run, but encrypted disks will fail to unlock after VM reboots, resulting in service disruption. Useencryption at hostfor new VMs, or considerConfidential VM sizes with OS disk encryptionfor confidential computing workloads. All ADE-enabled VMs (including backups) must migr",2026-05-19T08:00:00.000Z,tutorial,security,0.8,True,"Details how to configure Azure Key Vault (access policies, permissions, settings) specifically for ADE with VMSS; includes RBAC/permissions and security configuration parameters.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/disk-encryption-overview,Azure Disk Encryption,Enable Azure Disk Encryption for Virtual Machine Scale Sets - Azure Virtual Machine Scale Sets,Enable Azure Disk Encryption for VM Scale Sets,This article provides instructions on enabling Microsoft Azure Disk Encryption for Virtual Machine Scale Sets,"Important Azure Disk Encryption is scheduled for retirement onSeptember 15, 2028. Until that date, you can continue to use Azure Disk Encryption without disruption. On September 15, 2028, ADE-enabled workloads will continue to run, but encrypted disks will fail to unlock after VM reboots, resulting in service disruption. Useencryption at hostfor new VMs, or considerConfidential VM sizes with OS disk encryptionfor confidential computing workloads. All ADE-enabled VMs (including backups) must migr",2026-05-19T08:00:00.000Z,concept-article,security,0.75,True,"Provides end-to-end instructions for enabling ADE on VMSS, including security-related settings and prerequisites; focused on encryption configuration rather than generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/disk-encryption-powershell,Use PowerShell,Encrypt disks for Azure scale sets with Azure PowerShell - Azure Virtual Machine Scale Sets,Encrypt VM Scale Set disks with PowerShell,Learn how to use Azure PowerShell to encrypt VM instances and attached disks in a Windows Virtual Machine Scale Set,"Important Azure Disk Encryption is scheduled for retirement onSeptember 15, 2028. Until that date, you can continue to use Azure Disk Encryption without disruption. On September 15, 2028, ADE-enabled workloads will continue to run, but encrypted disks will fail to unlock after VM reboots, resulting in service disruption. Useencryption at hostfor new VMs, or considerConfidential VM sizes with OS disk encryptionfor confidential computing workloads. All ADE-enabled VMs (including backups) must migr",2026-05-19T08:00:00.000Z,how-to,security,0.85,True,"Provides Azure Disk Encryption steps for VMSS using PowerShell, including Key Vault usage, parameters, and security-specific configuration; contains product-specific security settings and deprecation details.",unchanged
