url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/automanage/arm-deploy,Enable on VMs through an ARM template,Onboard a machine to Azure Automanage with an ARM template,Onboard VMs to Automanage with ARM templates,Learn how to onboard a machine to Azure Automanage with an Azure Resource Manager template.,"Caution On September 30, 2027, the Azure Automanage Best Practices service will be retired. As a result, attempting to create a new configuration profile or onboarding a new subscription to the service will result in an error. Learn morehereabout how to migrate to Azure Policy before that date. Caution Starting February 1st 2025, Azure Automanage will begin rolling out changes to halt support and enforcement for all services dependent on the deprecated Microsoft Monitoring Agent (MMA). To contin",2025-02-11T23:03:00.000Z,how-to,deployment,0.7,True,"ARM template onboarding includes schema, resource types, and required properties specific to Automanage deployment.",unchanged
https://learn.microsoft.com/en-us/azure/automanage/arm-deploy-arc,Enable on Arc servers through an ARM template,Onboard an Azure Arc-enabled server to Azure Automanage with an ARM template,Onboard Arc-enabled servers to Automanage with ARM templates,Learn how to onboard an Azure Arc-enabled server to Azure Automanage with an Azure Resource Manager template.,Follow the steps to onboard an Azure Arc-enabled server to Automanage Best Practices using an ARM template.,2024-08-02T17:06:00.000Z,how-to,deployment,0.7,True,"Provides ARM template details for Arc-enabled servers, including Automanage-specific resource definitions and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/automanage/automanage-arc,Automanage for Azure Arc-enabled servers,Azure Automanage for Azure Arc-enabled servers,Apply Automanage best practices to Azure Arc-enabled servers,Learn about Azure Automanage for Azure Arc-enabled servers,"Caution On September 30, 2027, the Azure Automanage Best Practices service will be retired. As a result, attempting to create a new configuration profile or onboarding a new subscription to the service will result in an error. Learn morehereabout how to migrate to Azure Policy before that date. Caution Starting February 1st 2025, Azure Automanage will begin rolling out changes to halt support and enforcement for all services dependent on the deprecated Microsoft Monitoring Agent (MMA). To contin",2025-02-11T23:03:00.000Z,concept-article,best-practices,0.6,True,"Covers how Automanage configures Arc-enabled servers with specific services and settings, which are product-specific best practices.",unchanged
https://learn.microsoft.com/en-us/azure/automanage/automanage-linux,Automanage for Linux,Azure Automanage for Linux,Apply Automanage best practices to Linux VMs,Learn about Azure Automanage for virtual machines best practices for services that are automatically onboarded and configured for Linux machines.,"Caution On September 30, 2027, the Azure Automanage Best Practices service will be retired. As a result, attempting to create a new configuration profile or onboarding a new subscription to the service will result in an error. Learn morehereabout how to migrate to Azure Policy before that date. Caution Starting February 1st 2025, Azure Automanage will begin rolling out changes to halt support and enforcement for all services dependent on the deprecated Microsoft Monitoring Agent (MMA). To contin",2025-02-11T23:03:00.000Z,concept-article,best-practices,0.65,True,Describes specific services and configurations Automanage applies to Linux VMs; these are product-specific best-practice settings.,unchanged
https://learn.microsoft.com/en-us/azure/automanage/automanage-smb-over-quic,SMB over QUIC,SMB over QUIC with Azure Automanage machine best practices,Manage SMB over QUIC using Automanage best practices,Overview of managing SMB over QUIC with Azure Automanage machine best practices,"Caution On September 30, 2027, the Azure Automanage Best Practices service will be retired. As a result, attempting to create a new configuration profile or onboarding a new subscription to the service will result in an error. Learn morehereabout how to migrate to Azure Policy before that date. Caution Starting February 1st 2025, Azure Automanage will begin rolling out changes to halt support and enforcement for all services dependent on the deprecated Microsoft Monitoring Agent (MMA). To contin",2025-02-11T23:03:00.000Z,concept-article,best-practices,0.6,True,SMB over QUIC management with Automanage likely includes specific configuration recommendations and constraints unique to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/automanage/automanage-upgrade,Upgrade machines to latest Automanage Version,Upgrade your Azure Automanage machines to the latest Automanage version,Upgrade existing Automanage machines to the latest version,Learn how to upgrade your machines to the latest Azure Automanage version,"Caution On September 30, 2027, the Azure Automanage Best Practices service will be retired. As a result, attempting to create a new configuration profile or onboarding a new subscription to the service will result in an error. Learn morehereabout how to migrate to Azure Policy before that date. Caution Starting February 1st 2025, Azure Automanage will begin rolling out changes to halt support and enforcement for all services dependent on the deprecated Microsoft Monitoring Agent (MMA). To contin",2025-02-11T23:03:00.000Z,how-to,deployment,0.6,True,Upgrade guidance typically includes version-specific requirements and steps unique to Automanage deployment lifecycle.,unchanged
https://learn.microsoft.com/en-us/azure/automanage/automanage-windows-server,Automanage for Windows Server,Azure Automanage for Windows Server,Apply Automanage best practices to Windows Server VMs,Learn about Azure Automanage for virtual machines best practices for services that are automatically onboarded and configured for Windows Server machines.,"Caution On September 30, 2027, the Azure Automanage Best Practices service will be retired. As a result, attempting to create a new configuration profile or onboarding a new subscription to the service will result in an error. Learn morehereabout how to migrate to Azure Policy before that date. Caution Starting February 1st 2025, Azure Automanage will begin rolling out changes to halt support and enforcement for all services dependent on the deprecated Microsoft Monitoring Agent (MMA). To contin",2025-02-11T23:03:00.000Z,concept-article,best-practices,0.65,True,"Lists concrete services and configuration behaviors Automanage enforces on Windows Server, which are product-specific best practices.",unchanged
https://learn.microsoft.com/en-us/azure/automanage/common-errors,Troubleshoot onboarding errors,Troubleshoot common Azure Automanage onboarding errors,Troubleshoot Azure Automanage onboarding failures and errors,Common Automanage onboarding errors and how to troubleshoot them,"Automanage may fail to onboard a machine onto the service. This document explains how to troubleshoot deployment failures, shares some common reasons why deployments may fail, and describes potential next steps on mitigation.",2022-09-11T11:13:00.000Z,concept-article,troubleshooting,0.85,True,"Explicit troubleshooting article for onboarding; will map specific errors and causes to mitigation steps, matching troubleshooting criteria.",unchanged
https://learn.microsoft.com/en-us/azure/automanage/faq,FAQ,Azure Automanage for virtual machines FAQ,,Answers to frequently asked questions about Azure Automanage for virtual machines.,"This article provides answers to some of the most common questions aboutAzure Automanage for virtual machines. If your Azure issue isn't addressed in this article, visit the Azure forums onMicrosoft Q & A and Stack Overflow. You can post your issue in these forums, or post to@AzureSupport on X. You can also submit an Azure support request. To submit a support request, on theAzure support page, selectGet support.",2024-08-02T17:06:00.000Z,faq,,0.2,False,"FAQ page description suggests general Q&A and support guidance without clear indication of numeric limits, configuration tables, error-code mappings, or other product-specific expert details as defined by the sub-skill types.",updated
https://learn.microsoft.com/en-us/azure/automanage/how-to-disable-automanage,Disable Azure Automanage,Disable Azure Automanage for virtual machines,,Learn how to disable Azure Automanage for Automanaged virtual machines.,"Caution On September 30, 2027, the Azure Automanage Best Practices service will be retired. As a result, attempting to create a new configuration profile or onboarding a new subscription to the service will result in an error. Learn morehereabout how to migrate to Azure Policy before that date. Caution Starting February 1st 2025, Azure Automanage will begin rolling out changes to halt support and enforcement for all services dependent on the deprecated Microsoft Monitoring Agent (MMA). To contin",2025-02-11T23:03:00.000Z,how-to,,0.3,False,"How-to disable Automanage; mostly procedural without detailed configuration matrices, limits, or troubleshooting codes.",unchanged
