url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/sre-agent/add-private-marketplace,Add a private marketplace,Add a private marketplace to Azure SRE Agent,,Learn how to register a private GitHub repository as a plugin marketplace in Azure SRE Agent and install plugins to make skills available in your agent.,"In this article, you register a private GitHub repository as a marketplace source, install a plugin from it, and make its skills available in your agent.",2026-06-04T17:12:00.000Z,how-to,,0.3,False,"Tutorial-style description about registering a private GitHub repo as a marketplace; no evidence of detailed config parameters, limits, or error-code-based troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/add-web-page,Add a web page knowledge source,Tutorial: Add a Web Page Knowledge Source in Azure SRE Agent,,Add a web page URL as a knowledge source so your agent can reference external documentation.,"Add a public URL as a knowledge source that your agent references during investigations. You add the URL, verify it appears in the knowledge base, and confirm your agent can use the content. Time: ~5 minutes",2026-04-03T21:52:00.000Z,tutorial,,0.2,False,Simple tutorial to add a web page as a knowledge source; appears to be basic UI steps without configuration tables or advanced patterns.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/add-web-page-knowledge,Add web page knowledge,Add Web Page Knowledge Sources in Azure SRE Agent,,Learn how to add publicly accessible web pages as knowledge sources in Azure SRE Agent.,"Add any publicly accessible web page by URL. Your agent automatically fetches and indexes the content so it can reference external documentation, status pages, and wiki articles during investigations. Tip",2026-04-03T21:52:00.000Z,concept-article,,0.4,False,How to add web pages as knowledge sources; likely a simple how-to without detailed parameter tables or constraints.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/ado-connector,Azure DevOps connector,Azure DevOps connector in Azure SRE Agent,Connect Azure DevOps to Azure SRE Agent for code and work items,"Connect Azure DevOps for source code analysis, work item management, and wiki knowledge with OAuth or managed identity authentication.","Connect Azure DevOps so your agent can search your code, create work items, and index your wiki as a knowledge source. Tip Quick overview",2026-03-27T15:55:00.000Z,conceptual,integrations,0.65,True,Azure DevOps connector with OAuth/managed identity; likely documents specific configuration parameters and auth settings for this integration.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/agent-hooks,Agent hooks,Agent Hooks in Azure SRE Agent,,"Learn how to use agent hooks in Azure SRE Agent to enforce quality gates, audit tool usage, and block dangerous operations with custom scripts or LLM-based validation.","Hooks are custom checkpoints that intercept and control agent behavior at key moments. Use hooks to enforce quality gates on agent responses, audit and control tool usage, block dangerous operations by enforcing policies, and prevent early task completion by validating agent output.",2026-06-04T17:12:00.000Z,concept-article,,0.4,False,"Explains what hooks are and how they conceptually control agent behavior; summary doesn't show product-specific config tables, security roles, or quantified best practices.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/agent-identity,Agent identity,Agent identity in Azure SRE Agent,Understand Azure SRE Agent identities and authentication,Learn how Azure SRE Agent uses managed identities to authenticate to Azure resources and external connectors.,"When you create an agent, Azure automatically provisions identity resources. This article explains what gets created, why two identities exist, and how connectors use them. For information about how your agent gets permissions on Azure resources (RBAC roles, permission levels, on-behalf-of flow), seeAgent permissions.",2026-03-27T15:55:00.000Z,conceptual,security,0.7,True,"Details what identity resources are created, why two identities exist, and how connectors use them; this is specific managed identity and auth behavior.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/agent-playground,Agent playground,Agent Playground in Azure SRE Agent,,Test and refine your agent configurations in real time before deploying changes with the split-screen editor and AI-powered evaluation.,"Test custom agent behavior in real time before deploying changes. Edit instructions, tools, and handoffs with instant feedback in a split-screen layout. Evaluate agent quality with AI-powered scoring and quick fixes.",2026-03-27T15:55:00.000Z,feature-guide,,0.1,False,"Agent Playground page sounds like a feature overview (split-screen editor, AI scoring) without product-specific config tables or limits.",unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/agent-reasoning,Agent reasoning,Agent Reasoning in Azure SRE Agent,,"Learn how your agent processes requests, selects tools, classifies actions, and explains its thinking.","Your agent reasons through problems rather than following scripts. Because it builds Deep Context about your codebase, past incidents, and infrastructure, it reasons aboutyoursystems, not generic ones. It gathers evidence, selects the right tools, classifies actions by risk, and explains its thinking, all visible in the chat interface.",2026-03-27T15:55:00.000Z,concept-article,,0.3,False,Explains reasoning behavior and action classification; appears conceptual without concrete config values or error mappings.,unchanged
https://learn.microsoft.com/en-us/azure/sre-agent/allow-list-key-vault-firewall,Allow list Key Vault firewall,Allow List Outbound IPs for Key Vault in Azure SRE Agent,Allow-list SRE Agent outbound IPs in Key Vault firewall,Learn how to allow list your agent's outbound IP addresses in your Azure Key Vault firewall so certificate-based connectors can retrieve certificates successfully.,"In this article, you add your agent's outbound IP addresses to a Key Vault firewall so certificate-based connectors can retrieve certificates.",2026-06-11T17:23:00.000Z,how-to,security,0.7,True,"The page describes how to add the agent’s outbound IP addresses to Azure Key Vault firewall so certificate-based connectors can retrieve certificates. This is a product-specific security configuration pattern involving firewall rules and outbound IPs, which qualifies as security expert knowledge rather than a generic concept.",new
https://learn.microsoft.com/en-us/azure/sre-agent/api-reference,API reference,API reference for Azure SRE Agent,Use Azure SRE Agent REST APIs securely,"REST API reference for control plane (ARM) and data plane operations, authentication, RBAC roles, and examples.",REST API operations for managing and interacting with Azure SRE Agent programmatically.,2026-05-14T11:14:00.000Z,reference,integrations,0.8,True,"An API reference with control/data plane operations, authentication, RBAC roles, and examples will contain operation names, parameters, and role identifiers that are product-specific. This fits integrations & coding patterns, as it enables programmatic integration with Azure SRE Agent using detailed API contracts.",unchanged
