url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/artifact-signing/concept-certificate-management,Artifact Signing certificate management,Artifact Signing certificate management - Azure,Apply certificate lifecycle practices in Artifact Signing,"Get an introduction to Artifact Signing certificates. Learn about unique certificate attributes, the service's zero-touch certificate lifecycle management process, and effective ways to manage certifi","This article describes Artifact Signing certificates, including their two unique attributes, the service's zero-touch lifecycle management process, the importance of time stamp countersignatures, and Microsoft active threat monitoring and revocation actions. The certificates that are used in the Artifact Signing service follow standard practices for X.509 code signing certificates. To support a healthy ecosystem, the service includes a fully managed experience for X.509 certificates and asymmetr",2026-01-08T18:12:00.000Z,concept-article,best-practices,0.6,True,"Describes unique certificate attributes, zero-touch lifecycle, timestamp countersignatures, and threat monitoring; includes product-specific operational guidance for managing certificates.",unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/concept-resources-roles,Artifact Signing resources and roles,Artifact Signing resources and roles,Understand Artifact Signing resources and RBAC roles,"Learn about the resources and roles that are specific to Artifact Signing, including identity validations, certificate profiles, and the Artifact Signing Identity Verifier role.","Artifact Signing is an Azure-native resource that offers full support for common Azure concepts, such as resources. Like with any other Azure resource, Artifact Signing has its own set of resources and roles that are designed to simplify management of the service. This article introduces you to the resources and roles that are specific to Artifact Signing.",2026-01-08T18:12:00.000Z,concept-article,security,0.65,True,"Introduces Artifact Signing-specific resources and roles, including the Identity Verifier role; contains product-specific role semantics and access patterns.",unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/concept-trust-models,Artifact Signing trust models,Artifact Signing trust models - Azure,,"Learn what a trust model is, understand the two primary trust models in Artifact Signing, and learn about the signing scenarios and security features that each supports.","This article explains the concept of trust models, the primary trust models that Artifact Signing provides, and how to use them in a wide variety of signing scenarios that Artifact Signing supports.",2026-01-08T18:12:00.000Z,concept-article,,0.3,False,"Conceptual explanation of trust models and scenarios; appears architectural/conceptual without quantified thresholds, matrices, or config tables.",unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/faq,Frequently asked questions about Artifact Signing,Artifact Signing FAQ,,Get answers to frequently asked questions about Artifact Signing.,Get answers to common questions about the Artifact Signing service.,2026-05-16T05:17:00.000Z,faq,,0.3,False,"FAQ page likely addresses common questions at a conceptual or usage level. The description does not indicate presence of detailed limits, configuration tables, error codes, or other structured expert knowledge required by the defined sub-skill types.",updated
https://learn.microsoft.com/en-us/azure/artifact-signing/how-to-cert-revocation,Revoke a certificate profile in Artifact Signing,Revoke a certificate profile in Artifact Signing,,Learn how to revoke an Artifact Signing certificate in the Azure portal.,"Revoking a certificate makes a certificate invalid. When a certificate is successfully revoked, all the files that are signed with the revoked certificate become invalid beginning at the revocation date and time you select. If the certificate that's issued to you doesn’t match your intended values or if you suspect any compromise of your account, consider taking the following steps: Revoke the existing certificate. Revoking the certificate ensures that any compromised or incorrect certificates b",2026-01-08T18:12:00.000Z,how-to,,0.45,False,Covers revoking certificate profiles and implications; mainly procedural and conceptual without detailed config tables or error-code-based troubleshooting.,unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/how-to-change-sku,Change the account SKU (pricing tier),Change the account SKU,Choose and change Artifact Signing pricing SKUs,Learn how to change your SKU or pricing tier for an Artifact Signing account.,"Artifact Signing gives you a choice between two pricing tiers: Basic and Premium. Both tiers are tailored to offer the service at an optimal cost and to be suitable for any signing scenario. For more information, seeTrusted Signing pricing.",2026-01-08T18:12:00.000Z,how-to,decision-making,0.6,True,"Discusses changing between Basic and Premium tiers; SKU selection and change behavior are product-specific decision details, even if pricing is external.",unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/how-to-device-guard-signing-service-migration,Device Guard Signing Service Migration,Device Guard Signing Service migration to Artifact Signing,Migrate from DGSSv2 to Azure Artifact Signing,Learn how to migrate from Device Guard Signing Service (DGSSv2) to Artifact Signing for code integrity policy,"Device Guard Signing Service is being deprecated at the beginning of December 2024. All existing DGSSv2 customers who plan to continue using the service must transition to Artifact Signing.
The root that issues the code signing and CI policy signing certificates remains the same between DGSSv2 and Artifact Signing. Since Artifact Signing is an Azure service, you now need to have Azure Tenant ID and Subscription ID to access signing, and a new dedicated EKU for signing. Steps you need to take inc",2026-01-08T18:12:00.000Z,how-to,decision-making,0.7,True,"Migration-focused article with concrete requirements (Azure tenant ID, subscription ID, new EKU) and steps; fits migration/upgrade decision and planning guidance.",unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/how-to-renew-identity-validation,Renew or delete Artifact Signing identity validation,Renew or delete Artifact Signing Identity Validation,Manage Artifact Signing identity validations securely,How-to renew and delete an Artifact Signing Identity Validation.,You can renew or delete your Artifact Signing Identity Validations with an Artifact Signing Identity Verifier role.,2026-01-08T18:12:00.000Z,how-to,security,0.65,True,Describes renewing/deleting identity validations and references the Artifact Signing Identity Verifier role; involves product-specific RBAC and identity management behavior.,unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/how-to-sign-ci-policy,Sign a CI policy by using Artifact Signing,Sign a CI policy by using Artifact Signing,Sign Windows code integrity policies with Artifact Signing,Learn how to sign new CI policies by using Artifact Signing.,This article shows you how to sign new code integrity (CI) policies by using the Artifact Signing service.,2026-03-10T16:12:00.000Z,how-to,security,0.7,True,"The article is a how-to for signing CI (code integrity) policies using Azure Artifact Signing. It contains product-specific security configuration steps and parameters (e.g., how to prepare and submit CI policy files, required signing operations, and service-specific options) that are unique to this service and not just conceptual security guidance, fitting the security sub-skill.",unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/how-to-sign-history,Access signed transactions in Artifact Signing,Access signed transactions in Artifact Signing,Configure diagnostic settings and log routing for Artifact Signing,Learn how to access signed transactions in Artifact Signing in the Azure portal.,"You can use diagnostic settings to route your Artifact Signing account platform metrics, resource logs, and activity log to various destinations. For each Azure resource that you use, you must configure a separate diagnostic setting. Similarly, each Artifact Signing account should have its own settings configured. Currently, you can choose from three log routing options for Artifact Signing in Azure: Azure Storage account: An Azure Storage account houses all your Storage data objects, including ",2026-01-08T18:12:00.000Z,how-to,configuration,0.7,True,"Explains diagnostic settings and routing to Storage, Event Hubs, and Log Analytics; typically includes resource log categories and configuration options specific to Artifact Signing.",unchanged
https://learn.microsoft.com/en-us/azure/artifact-signing/how-to-signing-integrations,Set up signing integrations to use Artifact Signing,Set up signing integrations to use Artifact Signing,Configure supported signing integrations for Artifact Signing,Learn how to set up signing integrations to use Artifact Signing.,Artifact Signing currently supports the following signing integrations: We constantly work to support more signing integrations. We update the supported integration list when more integrations are available. This article explains how to set up each supported Artifact Signing signing integration.,2026-05-16T05:17:00.000Z,how-to,integrations,0.65,True,"How-to article focused on setting up specific signing integrations. Likely includes integration-specific configuration steps, parameter names, and possibly settings unique to Artifact Signing integrations, which qualify as product-specific integration patterns beyond generic tutorials.",updated
