url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/well-architected/ai/,AI,AI Workload Documentation - Microsoft Azure Well-Architected Framework,Apply Well-Architected principles to AI workloads,"This documentation provides guidance on designing AI workloads, focusing on the architectural challenges of non-deterministic functionality, data and application design, and operations. It includes ke","AI workloads use non-deterministic behavior, making them more adaptable to complex situations compared to traditional workloads. They combine code and data into models, creating unique experiences. This guidance focuses on the architectural challenges of designing AI workloads, including non-deterministic functionality, data and application design, and operations.",2026-05-07T17:08:00Z,landing-page,workload-patterns,0.7,True,"This is AI workload–specific architectural guidance, focusing on non-deterministic behavior, data and application design, and operations. It applies WAF thinking to a particular workload domain (AI), which aligns with the workload-patterns type rather than generic WAF content.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/application-design,Application design,Application Design for AI Workloads on Azure - Microsoft Azure Well-Architected Framework,Design AI-enabled applications on Azure using WAF,"Learn about design considerations for creating AI workloads on Azure, including design patterns and architecture considerations.","This article describes common design areas and factors to consider when you make decisions about technology and approach when you create an application that has AI functions. The guidance applies to both traditional machine learning and generative AI workloads. It covers frameworks like TensorFlow, Keras, and PyTorch, along with various serving and hosting options that include batch, stream, and online processing. There are many choices to consider when you design intelligent capabilities into y",2025-10-08T17:03:00.000Z,concept-article,workload-patterns,0.7,True,AI application–specific design patterns and considerations (ML and generative AI) applying WAF concepts to this workload type.,unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/application-platform,Application platform,Application Platform for AI Workloads on Azure - Microsoft Azure Well-Architected Framework,Select application platforms for AI workloads on Azure,"Learn about the Azure resources that you need for running AI workloads. Learn about platforms for EDA, model training and fine-tuning, and inferencing.","You must carefully consider the application hosting platform that your AI workload is deployed on to ensure that you can maximize efficiency, the security of operations, and reliability. This design area covers several types of applications that might be relevant to your AI workload: This article provides guidance for selecting the best platform for each of these functions to meet your business needs. There are also general recommendations that you can apply to all of these functions.",2024-11-18T20:00:00.000Z,concept-article,workload-patterns,0.7,True,"AI workload–specific guidance on choosing hosting platforms for EDA, training, and inference, mapped to WAF concerns.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/architecture-pattern,Architecture pattern,Architecture pattern for AI workloads on Azure - Microsoft Azure Well-Architected Framework,Use reference architecture patterns for Azure AI workloads,"Learn how to design, deploy, and govern AI workloads on Azure with architectural patterns, baseline references, and best practices for secure, scalable systems.","This article provides architectural patterns and baseline reference architectures to help you design, deploy, and govern AI workloads on Azure. It covers the core components, interactions, and best practices for building secure, scalable, and well-governed AI systems. Use this architecture pattern as a baseline when designing AI workloads. Start with the core components and interactions shown in the pattern, then adapt them to match your business goals, technical constraints, and risk posture. F",2026-05-07T17:08:00.000Z,concept-article,workload-patterns,0.7,True,"The article provides architectural patterns and baseline reference architectures specifically for AI workloads on Azure, describing core components, interactions, and best practices for secure and scalable AI systems. This is domain-specific (AI workloads) application of WAF guidance, matching workload-patterns rather than generic service docs or single-pillar guidance.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/assessment,Assessment,AI workload assessment - Microsoft Azure Well-Architected Framework,Use AI workload assessment for WAF alignment,See how to use the AI workload assessment to evaluate your workload's alignment with the best practices of the Azure Well-Architected Framework pillars.,"TheAzure Well-Architected Framework AI workload assessmentis a review tool that you can use to self-assess the readiness of your AI workload in production. Running an AI workload on Azure can be a complex process. The assessment is organized so that you can methodically check your workload's alignment with the best practices of the Well-Architected Framework pillars. For best results, the team that completes the assessment should be well-versed in the architecture of your workload. That team sho",2026-04-01T22:06:00.000Z,concept-article,assessments,0.78,True,"Describes a structured AI workload assessment aligned to Well-Architected pillars, providing concrete self-assessment guidance and question-driven evaluation of an AI workload’s readiness. This matches the assessments category: it is a review tool to evaluate architecture against WAF best practices, organized by pillars, and focused on assessing current state rather than giving only conceptual guidance.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/data-platform,Data platform,Data Platform for AI Workloads on Azure - Microsoft Azure Well-Architected Framework,Select and design data platforms for Azure AI,Learn about functional and nonfunctional data source considerations for your data platform for AI workloads on Azure.,"Choosing a data platform involves understanding the unique data challenges that these solutions bring. GenAI solutions, especially those built with foundation models, depend on diverse, high-quality data, fast access to scalable data stores that supports vector search. The goal is to meet these needs without adding unnecessary complexity to your architecture. Understanding the principles of effective data pipeline design is essential before evaluating platform options. When evaluating platform c",2025-11-20T23:08:00.000Z,concept-article,workload-patterns,0.65,True,"Gives AI-specific data platform selection and pipeline design considerations (vector search, diverse data, complexity tradeoffs) for GenAI workloads, which is domain-specific workload guidance.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/design-methodology,Design methodology,Design Methodology for AI Workloads on Azure - Microsoft Azure Well-Architected Framework,Use a structured design methodology for AI workloads,Learn how to implement a structured approach when you make architectural design decisions and create processes for AI workloads on Azure.,"When you design AI workloads, the code and data that you integrate replaces deterministic behavior. This shift facilitates tasks like prediction, classification, and other functional goals. AI workload architecture can often be complex and must align with business constraints. The Azure Well-Architected Framework provides a solid foundation for architectural excellence, but you should also consider AI-specific design principles. This article presents a design methodology based on AI principles. ",2025-01-09T22:59:00.000Z,concept-article,workload-patterns,0.7,True,"AI-domain-specific design methodology and processes, extending WAF with AI-specific principles and decisions.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/design-principles,Design principles,Design Principles for AI Workloads on Azure - Microsoft Azure Well-Architected Framework,Apply WAF design principles to AI workloads,Review the design principles of the Azure Well-Architected Framework. Learn how to apply these principles to an AI workload.,"This article outlines the core principles for AI workloads on Azure, with a focus on the AI aspects of an architecture. It's essential to consider all Azure Well-Architected Framework pillars collectively, including their trade-offs. Apply each pillar to the functional and nonfunctional requirements of the workload.",2025-01-09T22:59:00.000Z,concept-article,design-principles,0.85,True,"Defines AI-specific design principles, explains why they matter, and ties them to WAF pillars and trade-offs.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/get-started,Get started,AI workloads on Azure - Microsoft Azure Well-Architected Framework,Apply Well-Architected principles to Azure AI workloads,"Learn about architectural considerations, including common challenges and key design areas, for building and operating AI workloads on Azure.","This article addresses architectural challenges of designing AI workloads. It focuses on nondeterministic functionality, data and application design, and operations. The recommendations are based on Azure Well-Architected Framework principles and include insights from successful Azure implementations. These articles are meant forworkload ownersandtechnical stakeholderslike architects, development leads, and IT leaders. Specialized AI and data roles, such as data scientists, should also be aware ",2026-05-07T17:08:00.000Z,concept-article,workload-patterns,0.68,True,"The page targets AI workloads specifically and applies Well-Architected considerations (challenges, key design areas, operations) to that domain, which aligns with workload-patterns. It goes beyond generic AI concepts by giving Azure- and WAF-specific architectural considerations for AI systems, which are not purely conceptual marketing. It is not a checklist, recommendations doc tied to RE/SE IDs, or a service-specific guide.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/grounding-data-design,Grounding data design,Grounding Data Design for AI Workloads on Azure - Microsoft Azure Well-Architected Framework,Design grounding data for Azure AI applications,"Learn about data layout considerations and best practices for running AI workloads efficiently, which ensures optimal performance and scalability.","For AI applications, the Well-Architected Framework approach to data design must address nonfunctional requirements like operability, cost, and security and adhere to the core principles ofAzure Well-Architected Framework pillars. It should also consider functional requirements such as data ingestion, preparation, and validation. The AI model that you choose affects subsequent data design decisions. This article discusses key architectural considerations for foundation models that need augmentat",2025-05-28T08:00:00.000Z,concept-article,workload-patterns,0.7,True,"Covers foundation-model-specific grounding data layout, performance, and scalability considerations for AI workloads, tied to WAF pillars. This is AI workload–specific architecture guidance, not a generic data article.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/mlops-genaiops,MLOps and GenAIOps,MLOps and GenAIOps for AI Workloads on Azure - Microsoft Azure Well-Architected Framework,Implement MLOps and GenAIOps for Azure AI workloads,Use MLOps and GenAIOps for AI workloads on Azure. Learn design strategies for operations and get tool recommendations.,"AI workload operations are centered on curation of data and consumption of that data. Operations ensure efficiency in achieving and maintaining the quality, reliability, security, ethics, and other standards that you prioritize for the workload. The workload tasks can be categorized into three main areas: application development, data handling, and AI model management. Each category should adopt industry-proven operational methodologies, likeDevOps, DataOps, MLOps, and GenAIOps. DevOps activitie",2024-11-18T20:00:00.000Z,concept-article,workload-patterns,0.65,True,"Provides AI workload–specific operational methodologies and tooling guidance (DevOps, DataOps, MLOps, GenAIOps) with concrete practices, beyond generic ops concepts.",unchanged
https://learn.microsoft.com/en-us/azure/well-architected/ai/operations,Operations,AI Workload Operations on Azure - Microsoft Azure Well-Architected Framework,Operate production AI workloads on Azure,Learn about AI workload operations on Azure and how to build operational mechanisms and practices to better support AI workloads.,"When you build and transition your AI workloads to production, it's important that your operations teams are fully equipped to support these workloads like they would any other production workload. Because your operations teams might have limited experience with AI technologies, it's essential to train them on these technologies and integrate the AI workloads into their workflows early in the process. Bring operations and data teams together early in the development of the AI workload to foster ",2024-11-18T20:00:00.000Z,concept-article,workload-patterns,0.6,True,"Details operational mechanisms, team enablement, and process integration specific to AI workloads, going beyond high-level concepts into practical workload operations guidance.",unchanged
