url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/event-grid/add-identity-roles,Grant managed identity the access to Event Grid destination,Add managed identity to a role on Azure Event Grid destination - Azure Event Grid,Assign Event Grid managed identities to Azure roles on destinations,This article describes how to add managed identity to Azure roles on destinations such as Azure Service Bus and Azure Event Hubs.,"This section describes how to add the identity for your system topic, custom topic, or domain to an Azure role.",2024-01-31T23:11:00.000Z,how-to,security,0.8,True,"Contains concrete RBAC role assignments for identities on Service Bus, Event Hubs, Storage, including specific role names and scopes.",unchanged
https://learn.microsoft.com/en-us/azure/event-grid/assign-custom-domain-name,Assign custom domain name to a namespace,Assign custom domain name to Azure Event Grid hostname - Azure Event Grid,Configure custom domains for Event Grid MQTT and HTTP,This article shows how to assign custom domain names to your Event Grid namespace's MQTT and HTTP host names along with the default host names.,"The Event Grid namespace is automatically assigned an HTTP hostname at the time of creation. If MQTT is enabled on the namespace, the MQTT hostname is also assigned to the namespace. Your clients use these host names to communicate with the Event Grid namespace. You can assign your custom domain names to your Event Grid namespace’s MQTT and HTTP host names, along with the default host names. Custom domain configurations not only help you to meet your security and compliance requirements, but als",2024-05-21T15:00:00.000Z,how-to,configuration,0.7,True,Shows concrete steps and settings to bind custom domains to Event Grid namespace hostnames; includes product-specific configuration parameters.,unchanged
https://learn.microsoft.com/en-us/azure/event-grid/auth0-how-to,Subscribe to Auth0 events,How to send events from Auth0 to Azure using Azure Event Grid - Azure Event Grid,Connect Auth0 to Azure via Event Grid partner topics,How to end events from Auth0 to Azure services with Azure Event Grid.,This article describes how to connect your Auth0 and Azure accounts by creating an Event Grid partner topic. Note See theAuth0 event type codesfor a full list of the events that Auth0 supports,2023-03-15T00:00:00.000Z,how-to,integrations,0.7,True,How-to for wiring Auth0 to Event Grid partner topics with product-specific configuration steps and event type references; contains concrete integration patterns beyond generic knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/event-grid/auth0-log-stream-app-insights,Send Auth0 events to Azure Application Insights,Send Auth0 events Azure Monitor Application Insights - Azure Event Grid,Send Auth0 events to Application Insights via Event Grid,This article shows how to send Auth0 events received by Azure Event Grid to Azure Monitor Application Insights.,This article shows how to send Auth0 events received by Azure Event Grid to Azure Monitor Application Insights.,2022-11-10T18:04:00.000Z,how-to,integrations,0.65,True,Shows a concrete pattern for routing Auth0 events through Event Grid into Azure Monitor Application Insights with product-specific configuration steps.,unchanged
https://learn.microsoft.com/en-us/azure/event-grid/auth0-log-stream-blob-storage,Send Auth0 events to Azure Blob Storage,Send Auth0 events to Blob Storage via Azure Event Grid - Azure Event Grid,Stream Auth0 logs to Blob Storage using Event Grid,This article shows how to send Auth0 events received by Azure Event Grid to Azure Blob Storage by using Azure Functions.,This article shows you how to send Auth0 events to Azure Blob Storage via Azure Event Grid by using Azure Functions.,2023-04-23T23:38:00.000Z,how-to,integrations,0.65,True,"End-to-end pattern using Event Grid + Functions to land Auth0 events in Blob Storage, with concrete wiring and configuration details specific to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/event-grid/auth0-overview,Auth0,Auth0 partner topics with Azure Event Grid - Azure Event Grid,,Send events from Auth0 to Azure services with Azure Event Grid.,"Auth0, the identity platform for application builders, provides developers and enterprises with the building blocks they need to secure their applications. The Auth0 partner topic allows you to use events that are emitted by Auth0's system to accomplish many tasks. Engage with users in meaningful ways after the authentication or automate security and infrastructure tasks. The integration allows you to stream your Auth0 log events with high reliability into Azure. There, you can consume the event",2022-04-04T22:13:00.000Z,concept-article,,0.4,False,Auth0 partner topic overview and value proposition; summary does not clearly indicate detailed event schemas or configuration parameter tables.,unchanged
https://learn.microsoft.com/en-us/azure/event-grid/authenticate-with-access-keys-shared-access-signatures,Publish events using access key or shared access signature,Authenticate Azure Event Grid clients using access keys or shared access signatures - Azure Event Grid,Use access keys and SAS to authenticate Event Grid clients,This article describes how to authenticate Azure Event Grid clients using access keys and shared access signatures.,"This article provides information on authenticating clients to Azure Event Grid namespace topics, custom topics, domains, and partner namespaces usingaccess keyorShared Access Signature (SAS)token. Important",2024-05-21T15:00:00.000Z,conceptual,security,0.8,True,"Explains product-specific use of access keys and SAS tokens for various Event Grid resources, including parameter formats and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/event-grid/authenticate-with-entra-id-namespaces,Authenticate publishing clients using Microsoft Entra ID,Authenticate publishing namespace clients using Microsoft Entra ID - Azure Event Grid,Authenticate Event Grid namespace publishers with Entra ID,This article describes how to authenticate Azure Event Grid publishing clients using Microsoft Entra ID that publish events to topics in Event Grid namespaces.,This article describes how to authenticate clients publishing events to Azure Event Grid namespaces using Microsoft Entra ID.,2024-05-10T22:14:00.000Z,conceptual,security,0.82,True,"Authentication article will include specific Entra ID app registrations, roles, scopes, and token/audience configuration for Event Grid namespaces. These are detailed, product-specific security and auth settings.",unchanged
https://learn.microsoft.com/en-us/azure/event-grid/authenticate-with-microsoft-entra-id,Publish events using Microsoft Entra authentication,Authenticate Event Grid publishing clients using Microsoft Entra ID - Azure Event Grid,Configure Microsoft Entra ID auth for Event Grid publishing,This article describes how to authenticate Azure Event Grid publishing client using Microsoft Entra ID.,This article describes how to authenticate Azure Event Grid publishing clients using Microsoft Entra ID.,2023-11-22T23:01:00.000Z,conceptual,security,0.8,True,"Covers detailed steps and parameters for using Entra ID to authenticate publishing clients, including roles/scopes and token usage.",unchanged
https://learn.microsoft.com/en-us/azure/event-grid/authenticate-with-namespaces-using-json-web-tokens,Authenticate with MQTT broker using OAuth 2.0 authentication,Authenticate with namespaces using JSON Web Tokens - Azure Event Grid,Configure JWT authentication for Event Grid namespaces,This article shows you how to authenticate with Azure Event Grid namespace using JSON Web Tokens.,"This article shows how to authenticate with Azure Event Grid namespace using OAuth 2.0 JSON Web Tokens. Azure Event Grid's MQTT broker supports OAuth 2.0 JWT authentication, which enables clients to connect and authenticate with an Event Grid namespace using JSON Web Tokens that are issued by any identity provider, aside from Microsoft Entra ID.",2025-04-30T22:04:00.000Z,how-to,security,0.85,True,"Details OAuth2/JWT parameters, token requirements, and namespace configuration for JWT auth, which are product-specific security settings.",unchanged
