url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/nat-gateway/faq,FAQ,Azure NAT Gateway frequently asked questions,Azure NAT Gateway FAQ with limits and behaviors,Answers to common questions about using Azure NAT Gateway.,Here are some answers to common questions about using Azure NAT Gateway.,2026-04-16T17:19:00.000Z,faq,limits-quotas,0.7,True,"NAT Gateway FAQs typically include concrete numeric details such as SNAT port counts, connection limits, and other behavioral constraints. These are specific limits/quotas and behaviors that qualify as expert knowledge beyond conceptual overview.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/manage-nat-gateway,Manage a Standard NAT gateway,Manage a NAT gateway - Azure NAT Gateway,Manage Azure NAT Gateway configuration and IPs,Learn how to create and remove a NAT gateway resource from a virtual network subnet. Add and remove public IP addresses and prefixes used for outbound connectivity.,Learn how to create and remove a NAT gateway resource from a virtual network subnet. A NAT gateway enables outbound connectivity for resources in an Azure Virtual Network. You can change the public IP addresses and public IP address prefixes associated with the NAT gateway changed after deployment. This article explains how to manage the following aspects of NAT gateway: Create a NAT gateway and associate it with an existing subnet. Remove a NAT gateway from an existing subnet and delete the NAT,2024-10-08T17:03:00.000Z,how-to,configuration,0.7,True,"Explains how to create/remove NAT gateway, associate subnets, and manage public IPs/prefixes; contains concrete configuration operations and parameters.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/manage-nat-gateway-v2,Manage a Standard V2 NAT gateway,Manage a Standard V2 NAT Gateway - Azure NAT Gateway,,Learn how to create and remove a NAT gateway v2 resource from a virtual network and virtual network subnet. Add and remove public IP addresses and prefixes used for outbound connectivity.,Learn how to create and remove a NAT gateway resource from a virtual network subnet. A NAT gateway enables outbound connectivity for resources in an Azure Virtual Network. You can change the public IP addresses and public IP address prefixes associated with the NAT gateway changed after deployment. This article explains how to manage the following aspects of NAT gateway: Create a NAT gateway and associate it with an existing subnet. Remove a NAT gateway from an existing subnet and delete the NAT,2026-04-09T06:11:00.000Z,how-to,,0.2,False,"Page is a how-to guide for creating/removing and associating a NAT Gateway v2 with subnets and IPs. From the description it appears procedural without detailed configuration parameter tables, limits, quotas, or product-specific troubleshooting/error-code mappings. It reads as standard tutorial content rather than expert reference material.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/monitor-nat-gateway-flow-logs,Monitor Standard V2 NAT gateway flow logs,Monitor with StandardV2 NAT Gateway Flow Logs - Azure NAT Gateway,Monitor and troubleshoot with NAT Gateway flow logs,"Learn how to set up, monitor, and troubleshoot with StandardV2 NAT Gateway Flow Logs.","In this article, you learn how to set up, monitor, and troubleshoot with Azure StandardV2 NAT Gateway flow logs. These logs can help you monitor and analyze the traffic flows going through your NAT gateway resource. The health event logs are provided through the Azure Monitor resource log category NatGatwayFlowlogsV1, which is enabled through Diagnostic Settings.",2026-01-22T06:12:00.000Z,how-to,troubleshooting,0.7,True,Shows how to use flow logs for monitoring and troubleshooting traffic; includes product-specific log categories and analysis patterns for diagnosing issues.,unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/monitor-nat-gateway-reference,Monitoring data reference,Monitoring data reference for Azure NAT Gateway,Reference for Azure NAT Gateway monitoring data,This article contains important reference material you need when you monitor Azure NAT Gateway by using Azure Monitor.,This article contains all the monitoring reference information for this service. SeeMonitor Azure NAT Gatewayfor details on the data you can collect for Azure NAT Gateway and how to use it.,2024-12-09T18:04:00.000Z,reference,configuration,0.7,True,"Monitoring data reference likely lists metric and log names, dimensions, and schemas; detailed configuration/reference information for monitoring NAT Gateway.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-design,NAT gateway design guidance,Design virtual networks with Azure NAT Gateway,Design Azure virtual networks with NAT Gateway,Learn about how to design virtual networks with Azure NAT Gateway.,Review this article to familiarize yourself with considerations for designing virtual networks with NAT gateway.,2026-07-06T22:04:00.000Z,concept-article,architecture-patterns,0.72,True,"The page provides product-specific design considerations for Azure NAT Gateway in virtual networks, including when to use particular patterns (for example, per-subnet vs shared gateways, outbound connectivity strategies, and multi-region designs). It goes beyond conceptual overview and gives concrete guidance on choosing patterns and configurations unique to NAT Gateway, but does not primarily focus on numeric limits/quotas or troubleshooting.",updated
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-flow-logs,Manage Standard V2 NAT gateway flow logs,Manage StandardV2 NAT Gateway Flow Logs - Azure NAT Gateway,Enable and use StandardV2 NAT Gateway flow logs,Learn about StandardV2 NAT Gateway Flow Logs - what are flow logs and how it can be used.,"NAT Gateway Flow Logs provide IP information on the traffic flowing through your StandardV2 NAT gateway. Logs are captured through Azure Monitor resource log categoryNatGatewayFlowLogsV1, which you enable through Diagnostic Settings on your StandardV2 NAT gateway resource.",2026-01-22T06:12:00.000Z,how-to,configuration,0.65,True,Describes the NatGatewayFlowLogsV1 category and how to configure flow logs via diagnostic settings; product-specific logging configuration.,unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-resource,NAT gateway resource,NAT Gateway Resource,,Learn about NAT gateway resources for the Azure NAT Gateway service.,"This article describes the key components of a network address translation (NAT) gateway resource that enable it to provide highly secure, scalable, and resilient outbound connectivity. NAT gateway resources are part of the Azure NAT Gateway service. You can configure a NAT gateway in your subscription through supported clients. These clients include the Azure portal, the Azure CLI, Azure PowerShell, Azure Resource Manager templates, or appropriate alternatives.",2026-06-23T05:11:00.000Z,concept-article,,0.2,False,"The description indicates a conceptual explanation of NAT gateway components and configuration via various clients, but does not clearly indicate the presence of numeric limits, configuration parameter tables, error codes, or other detailed expert-only data. It appears to be a general resource overview rather than a limits, configuration, troubleshooting, or decision-making reference.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-snat,SNAT with NAT gateway,Source Network Address Translation (SNAT) with Azure NAT Gateway,Optimize SNAT usage with Azure NAT Gateway,Learn about options and considerations for Source Network Address Translation (SNAT) with Azure NAT Gateway.,"Source Network Address Translation (SNAT) allows traffic from a private virtual network to connect to the internet while remaining fully private. SNAT rewrites the source IP and port of the originating packet to a public IP and port combination. Ports are used as unique identifiers to distinguish different connections from one another. The internet uses a five-tuple hash (protocol, source IP/port, destination IP/port) to provide this distinction. SNAT also allows multiple private instances withi",2024-04-29T08:00:00.000Z,concept-article,best-practices,0.7,True,"Discusses SNAT options and considerations, likely including port allocation behavior and guidance on efficient outbound connection design; product-specific best practices and gotchas.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-support-help,Support and troubleshooting,Azure NAT Gateway Support and Help Options,,How to obtain help and support for questions or problems when you create solutions using Azure NAT Gateway.,Here are suggestions for where you can get help when developing your Azure NAT Gateway solutions.,2026-04-09T22:25:00.000Z,troubleshooting,,0.0,False,"Support/help options page that points to where to get assistance. Contains no technical configuration details, limits, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-gateway-v2-migrate,Migrate Azure NAT Gateway to Standard V2,Migrate Azure NAT Gateway from Standard to StandardV2,Migrate Azure NAT Gateway from Standard to StandardV2,Get guidance for migrating Azure NAT Gateway from the Standard SKU to the StandardV2 SKU.,The StandardV2 SKU of Azure NAT Gateway offers enhanced data-processing limits and high availability through zone redundancy. We recommend that you use the StandardV2 SKU for production workloads that require resiliency to zone outages. This article discusses guidance for how to migrate your subnets from a Standard network address translation (NAT) gateway to a StandardV2 NAT gateway. In-place migration to a StandardV2 NAT gateway isn't available. Important Migration from a Standard NAT gateway ,2026-05-16T05:17:00.000Z,how-to,decision-making,0.7,True,"Provides migration guidance and recommendations on when and how to move from Standard to StandardV2, including production vs non-production considerations and lack of in-place upgrade. This is SKU/approach selection and migration decision guidance.",unchanged
https://learn.microsoft.com/en-us/azure/nat-gateway/nat-metrics,Metrics and alerts,Metrics and alerts for Azure NAT Gateway - Azure NAT Gateway,Configure metrics and alerts for Azure NAT Gateway,Get started learning about Azure Monitor metrics and alerts available for monitoring Azure NAT Gateway.,"This article provides an overview of all NAT gateway metrics and diagnostic capabilities. This article provides general guidance on how to use metrics and alerts to monitor, manage, andtroubleshootyour NAT gateway resource. All metrics are the same for Standard and StandardV2 NAT Gateway. Figure: Azure NAT Gateway for outbound to Internet",2025-11-18T17:01:00.000Z,how-to,configuration,0.65,True,"Details available metrics and diagnostic capabilities for NAT Gateway; likely includes metric names, dimensions, and usage guidance, which are configuration/monitoring specifics.",unchanged
