url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/resiliency/availability-zone-down-drill-define,Define,Define Zone Down Drill in Infrastructure Resiliency Manager (preview),,"Learn how to define and execute a Zone Down Drill in Infrastructure Resiliency Manager (preview). Configure Chaos Workspaces, manage identities, design faults, and verify Service Group readiness.","This article describes how to define a Zone Down Drill (preview) in Infrastructure Resiliency Manager. This capability simulates an Availability Zone failure and validates application resiliency. It also covers configuring Chaos Workspaces, managing identities, designing faults, and verifying Service Group readiness for zonal failures.",2026-06-02T18:53:00.000Z,how-to,,0.4,False,"How-to guide for defining a Zone Down Drill; summary emphasizes procedural steps (configure workspaces, manage identities, design faults) but does not clearly indicate detailed config tables, parameter ranges, or error mappings.",new
https://learn.microsoft.com/en-us/azure/resiliency/availability-zone-down-drill-execute,Execute,Execute Zone Down Drill in Infrastructure Resiliency Manager (preview),,"Learn how to execute a Zone Down Drill in Infrastructure Resiliency Manager (preview). Configure Chaos Workspaces, manage identities, design faults, and verify Service Group readiness.","This article describes how to execute a Zone Down Drill (preview) in Infrastructure Resiliency Manager. This capability simulates an Availability Zone failure and validates application resiliency. It also covers tracking drill execution progress, analyzing resource health, and ending the drill execution process.",2026-06-02T18:53:00.000Z,how-to,,0.4,False,"Execution guide for Zone Down Drill; focuses on running and tracking drills and analyzing health, but summary does not show specific error codes, config parameters, or limits that would qualify as expert knowledge.",new
https://learn.microsoft.com/en-us/azure/resiliency/availability-zone-down-drills-about,Availability Zone Down Drills,About Availability Zone Down Drills in Infrastructure Resiliency Manager,,Learn about Availability Zone Down Drills in Infrastructure Resiliency Manager (preview) and how it helps you assess cross-zone resiliency for your applications.,Infrastructure Resiliency Manager allows you to assess the resiliency of Service Group resources by simulating zone outages on individual resources. You can evaluate the performance of cross-zone resiliency solutions for your applications and identify resources that require Resiliency improvements to support application continuity. The Availability Zone Down Drill templates provide Azure-recommended faults for supported resource types and allow you to override them with custom logic through Azur,2026-06-02T18:53:00.000Z,overview,,0.4,False,"Describes what Availability Zone Down Drills are and their purpose; summary suggests conceptual explanation of drills and templates, not detailed config parameters, limits, or error mappings.",new
https://learn.microsoft.com/en-us/azure/resiliency/availability-zone-down-drills-support-matrix,Availability zone down drills,Availability zone down drills support matrix for Infrastructure Resiliency Manager,Check zone down drill regional and scenario support,"Provides a summary regional availability, supported scenarios, and limitations for availability zone down drills in Infrastructure Resiliency Manager.","This article summarizes the regional availability, supported scenarios, and limitations for Availability Zone Down Drill in Infrastructure Resiliency Manager (preview).",2026-06-02T18:53:00.000Z,reference,deployment,0.7,True,"Support matrix for Availability Zone Down Drills lists regional availability, supported scenarios, and limitations; this is a product-specific support/deployment matrix with detailed constraints by region and scenario.",new
https://learn.microsoft.com/en-us/azure/resiliency/backup-protection-policy,Create,Create protection policy for resources,Create backup and replication protection policies in Resiliency,"In this article, you learn how to create backup and replication policies to protect your resources.","This article describes how to create a backup and replication policy. The policy works for backups with Azure Backup and replication with Azure Site Recovery. A backup policy defines when backups are taken, and how long they're retained.Learn moreon the guidelines when creating a backup policy. Replication policy defines the settings for recovery point retention history and app-consistent snapshot frequency. By default,Site Recoverycreates a new replication policy with default settings of 24 hou",2025-11-19T08:00:00.000Z,how-to,configuration,0.75,True,"Defines backup and replication policies, including default settings (e.g., 24-hour retention, snapshot frequency); contains concrete policy parameters and default values.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/backup-vaults,Create,Create vaults to back up and replicate resources,Configure Recovery Services and Backup vaults in Azure,"In this article, you learn how to create Recovery Services vault (or Backup vault) that stores backups and replication data.","This article describes how to create Recovery Services vault (or Backup vault) that stores backups and replication data. Vault is required to configure protection with Azure Backup and Azure Site Recovery. ARecovery Servicesvault is a management entity that stores recovery points that are created over time, and it provides an interface to perform backup-related and replication related operations. For certain newer workloads, Azure Backup also usesBackup vaultto store recovery points and interfac",2025-11-19T08:00:00.000Z,how-to,configuration,0.7,True,"Describes creating Recovery Services/Backup vaults; such articles typically include vault configuration options (regions, redundancy, settings) that are product-specific configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/goals-recommendations-about,Goals and recommendations,About goals and recommendations in Infrastructure Resiliency Manager,,"Learn about goals and recommendations in Infrastructure Resiliency Manager and how they can help you define, validate, and achieve your applications' resiliency goals in Azure.","Infrastructure Resiliency Manager (preview) is a self-serve experience that helps you define, validate, and achieve your applications' resiliency goals in Azure. With this experience, you can: Note Infrastructure Resiliency Manager is a global (nonregional) service. This service isn’t deployed to a specific Azure region and can manage and operate across resources in any Azure region.",2026-06-02T18:53:00.000Z,overview,,0.3,False,"Conceptual description of goals and recommendations in Infrastructure Resiliency Manager; no indication of numeric thresholds, config tables, or specific RBAC role details in the summary.",new
https://learn.microsoft.com/en-us/azure/resiliency/goals-recommendations-assign-goals-view-posture,Assign goals and view resiliency posture,Assign goals and view resiliency posture in Infrastructure Resiliency Manager,,"Learn how to set up prerequisites, assign resiliency goals, view posture, exclude or attest resources, and rediscover resources in Infrastructure Resiliency Manager (preview).","This article describes how to  assign resiliency goals to a service group, view your resiliency posture, and manage resource evaluation. It covers key concepts, supported scenarios, and how to exclude or manually attest resources to improve the accuracy of your resilience posture and receive more targeted recommendations. Note A usage plan tells Azure which subscription should be billed when pricing takes effect at General Availability (GA).",2026-06-02T18:53:00.000Z,how-to,,0.4,False,"How-to for assigning goals and viewing posture; while it mentions usage plans and resource evaluation, the summary does not indicate detailed configuration tables, numeric thresholds, or RBAC specifics.",new
https://learn.microsoft.com/en-us/azure/resiliency/goals-recommendations-review-recommendations,Review recommendations,Review recommendations in Infrastructure Resiliency Manager,,"Learn how to review and act on resiliency recommendations for your service group resources. Also, view resiliency at scale in Infrastructure Resiliency Manager (preview).","After you assign goals to a service group, Infrastructure Resiliency Manager shows targeted recommendations for resources that don't meet your resiliency goals. You can also view resiliency at scale across all your service groups from a centralized overview.",2026-06-02T18:53:00.000Z,how-to,,0.3,False,"Describes reviewing and acting on recommendations; appears to be workflow guidance without explicit mention of numeric thresholds, config parameters, or error-code-based troubleshooting.",new
https://learn.microsoft.com/en-us/azure/resiliency/goals-recommendations-support-matrix,Goals and recommendations,Infrastructure Resiliency Manager support matrix for goals and recommendations,Apply RBAC and limits for resiliency goals,"Learn about the supported scenarios, limitations, and Azure RBAC roles for goals and recommendations in Infrastructure Resiliency Manager (preview).","This article summarizes the supported scenarios, limitations, and Azure role-based access control (RBAC) roles for goals and recommendations in the Infrastructure Resiliency Manager (preview).",2026-06-02T18:53:00.000Z,reference,security,0.7,True,Support matrix for goals and recommendations explicitly includes Azure RBAC roles alongside supported scenarios and limitations; RBAC role names and scope requirements are product-specific security configuration knowledge.,new
https://learn.microsoft.com/en-us/azure/resiliency/goals-recommendations-use-agent,Use the Resiliency agent,Use the Resiliency agent in Infrastructure Resiliency Manager,,Learn how to use the Resiliency agent to get conversational AI guidance for resiliency improvements in Infrastructure Resiliency Manager (preview).,The Resiliency agent is a conversational AI experience integrated into Azure Copilot that provides guided resiliency improvements for your applications. This article describes how to use Resiliency agent in Infrastructure Resiliency Manager (preview).,2026-06-02T18:53:00.000Z,how-to,,0.3,False,"Explains how to use the Resiliency agent (conversational AI) in a conceptual/UX sense; summary does not indicate detailed configuration, limits, or security settings.",new
https://learn.microsoft.com/en-us/azure/resiliency/manage-protection-policy,Manage,Manage protection policy for resources,Manage backup and replication protection policies in Resiliency,"In this article, you learn how to manage backup and replication policies to protect your resources.","This article describes how to view your protection policies (backup and replication policies), and performs actions related to them using Resiliency in Azure. By using Resiliency, you can centrally manage the lifecycle of your replication and backup protection policies for both Azure Backup or Azure Site Recovery. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection.",2025-11-19T08:00:00.000Z,how-to,configuration,0.7,True,"Describes viewing and managing protection policies; likely includes specific policy fields and options, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/resiliency/manage-vault,Manage,Manage vault lifecycle used for Azure Backup and Azure Site Recovery,Manage lifecycle of Azure Backup and Site Recovery vaults,"In this article, you learn how to manage the lifecycle of the vaults (Recovery Services and Backup vault) used for Azure Backup and/or Azure Site Recovery.","This article guides you on how to view your vaults and perform actions related to them using Resiliency in Azure. By using the Resiliency in Azure, you can centrally manage the lifecycle of your Recovery Services and Backup vaults for both Azure Backup and Azure Site Recovery. Important Azure Business Continuity Center is now Resiliency in Azure, a unified platform for Zone Resiliency, High Availability, Backup & Disaster Recovery, and Ransomware Protection. offers integrated experiences to ensu",2025-11-19T08:00:00.000Z,how-to,configuration,0.7,True,"Guides managing vault lifecycle; likely details specific vault states, operations, and settings that constitute product-specific configuration knowledge.",unchanged
