url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/aks/access-control-managed-azure-ad,Conditional Access for cluster and node access,Control cluster and node access using Conditional Access with Microsoft Entra integration - Azure Kubernetes Service,Apply Conditional Access to AKS clusters and nodes,Learn how to access clusters and nodes using Conditional Access when integrating Microsoft Entra ID in your Azure Kubernetes Service (AKS) clusters.,"When you integrate Microsoft Entra ID with your AKS cluster, you can useConditional Accessto control access to your cluster control plane and cluster nodes. This article shows you how to enable Conditional Access on your AKS clusters for both control plane access and SSH access to nodes. Note Microsoft Entra Conditional Access has Microsoft Entra ID P1, P2, or Governance capabilities requiring a Premium P2 SKU. For more on Microsoft Entra ID licenses and SKUs, seeMicrosoft Entra ID Governance li",2025-12-10T12:02:00.000Z,concept-article,security,0.8,True,"Shows how to use Microsoft Entra Conditional Access with AKS for control plane and node SSH access; this requires specific policy settings, scopes, and integration steps, which are detailed security configuration knowledge.",new
https://learn.microsoft.com/en-us/azure/aks/access-private-cluster,Access a private cluster remotely,Access a Private Azure Kubernetes Service (AKS) Cluster using the Command Invoke or Run Command Feature - Azure Kubernetes Service,Access private AKS clusters using command invoke and Run command,Learn how to access a private Azure Kubernetes Service (AKS) cluster using the Azure CLI command invoke feature or the Azure portal Run command feature.,"Deploy and Explore When you access a private Azure Kubernetes Service (AKS) cluster, you need to connect to the cluster from the cluster virtual network (VNet), a peered network, or a configured private endpoint. These approaches require extra configuration, such as setting up a VPN or Express Route. With the Azure CLI, you can usecommand invoketo access private clusters without the need to configure a VPN or Express Route.command invokeallows you to remotely invoke commands, likekubectlandhelm,",2025-12-17T23:08:00.000Z,how-to,security,0.65,True,Uses Azure CLI command invoke and portal Run command to reach private clusters without VPN/ExpressRoute; involves specific commands and access scopes that are AKS- and Azure-specific secure access patterns.,unchanged
https://learn.microsoft.com/en-us/azure/aks/active-active-solution,Active-active,Recommended active-active high availability solution overview for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,Active-active high availability pattern for AKS,Learn about the recommended active-active high availability solution overview for Azure Kubernetes Service (AKS).,"When you create an application in Azure Kubernetes Service (AKS) and choose an Azure region during resource creation, it's a single-region app. In the event of a disaster that causes the region to become unavailable, your application also becomes unavailable. If you create an identical deployment in a secondary Azure region, your application becomes less susceptible to a single-region disaster, which guarantees business continuity, and any data replication across the regions lets you recover you",2024-08-01T20:29:00.000Z,concept-article,architecture-patterns,0.7,True,"Describes a specific AKS active-active architecture, including when to use it and trade-offs, which is product-specific design guidance.",unchanged
https://learn.microsoft.com/en-us/azure/aks/active-passive-solution,Active-passive,Recommended active-passive disaster recovery solution overview for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,Active-passive disaster recovery pattern for AKS,Learn about an active-passive disaster recovery solution overview for Azure Kubernetes Service (AKS).,"When you create an application in Azure Kubernetes Service (AKS) and choose an Azure region during resource creation, it's a single-region app. When the region becomes unavailable during a disaster, your application also becomes unavailable. If you create an identical deployment in a secondary Azure region, your application becomes less susceptible to a single-region disaster, which guarantees business continuity, and any data replication across the regions lets you recover your last application",2024-08-01T20:29:00.000Z,concept-article,architecture-patterns,0.7,True,"Provides an AKS-focused active-passive DR architecture with scenario-based guidance and trade-offs, beyond generic DR theory.",unchanged
https://learn.microsoft.com/en-us/azure/aks/advanced-aks-concepts,Advanced AKS concepts,Advanced Azure Kubernetes Service (AKS) concepts - Azure Kubernetes Service,,Learn the advanced features of Azure Kubernetes Service (AKS) so you can optimize your containerized applications.,This guide provides resources to help you learn the advanced features ofAzure Kubernetes Service (AKS).,2026-01-21T08:00:00.000Z,get-started,,0.2,False,"Advanced concepts overview that links to deeper docs; lacks concrete limits, configs, or decision matrices in the summary.",unchanged
https://learn.microsoft.com/en-us/azure/aks/advanced-container-networking-services-overview,Overview,Advanced Container Networking Services for Azure Kubernetes Service (AKS) Overview - Azure Kubernetes Service,,"Learn about Advanced Container Networking Services for Azure Kubernetes Service (AKS), including features like Container Network Observability and Container Network Security.","Advanced Container Networking Services is a suite of services designed to enhance the networking capabilities of Azure Kubernetes Service (AKS) clusters. Advanced Container Networking Services offers the following key feature sets:Container Network Observability,Container Network Security, andContainer Network Performance. These features provide deep insights into network traffic, strengthen security measures, and optimize network performance for containerized applications running in AKS.",2026-01-06T06:03:00.000Z,overview,,0.4,False,Overview of Advanced Container Networking Services; marketing/feature description without clear indication of detailed configuration or limits.,unchanged
https://learn.microsoft.com/en-us/azure/aks/advanced-container-networking-services-overview?tabs=cilium,Overview,Advanced Container Networking Services for Azure Kubernetes Service (AKS) Overview - Azure Kubernetes Service,,"Learn about Advanced Container Networking Services for Azure Kubernetes Service (AKS), including features like Container Network Observability and Container Network Security.","Advanced Container Networking Services is a suite of services designed to enhance the networking capabilities of Azure Kubernetes Service (AKS) clusters. Advanced Container Networking Services offers the following key feature sets:Container Network Observability,Container Network Security, andContainer Network Performance. These features provide deep insights into network traffic, strengthen security measures, and optimize network performance for containerized applications running in AKS.",2026-01-06T06:03:00.000Z,overview,,0.3,False,Overview of Advanced Container Networking Services; summary suggests conceptual/feature description without detailed config tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/aks/agentic-cli-for-aks-faq,FAQ,Agentic CLI for AKS Frequently Asked Questions,,Frequently asked questions about the agentic CLI for Azure Kubernetes Service (AKS).,This article provides answers to some of the most common questions about the agentic CLI for Azure Kubernetes Service (AKS).,2026-02-18T06:03:00Z,faq,,0.3,False,"FAQ pages often mix conceptual and policy information; summary does not indicate detailed error codes, configuration tables, or numeric limits. Likely general Q&A rather than deep expert guidance.",unchanged
https://learn.microsoft.com/en-us/azure/aks/agentic-cli-for-aks-install,Install the agentic CLI for AKS,Install and Use the Agentic CLI for Azure Kubernetes Service (AKS) (Preview) - Azure Kubernetes Service,Install and configure Agentic CLI for AKS clusters,"Learn how to install, configure, and use the agentic CLI for AKS to troubleshoot clusters and get intelligent insights by using natural language.","This article shows you how to install, configure, and use the agentic CLI for Azure Kubernetes Service (AKS) inclient modeorcluster modeto get AI-powered troubleshooting and insights for your AKS clusters. For more information, see theAgentic CLI for AKS overview. Important AKS preview features are available on a self-service, opt-in basis. Previews are provided ""as is"" and ""as available,"" and they're excluded from the service-level agreements and limited warranty. AKS previews are partially cov",2026-04-01T17:17:00.000Z,how-to,configuration,0.7,True,"An install/use article for a preview CLI typically includes concrete configuration steps, flags, environment variables, and parameter values specific to the Agentic CLI (for client vs cluster mode). These are product-specific configuration details that go beyond generic CLI usage.",unchanged
https://learn.microsoft.com/en-us/azure/aks/agentic-cli-for-aks-overview,Overview,About the Agentic CLI for Azure Kubernetes Service (AKS) (preview) - Azure Kubernetes Service,,"Learn about the agentic CLI for Azure Kubernetes Service (AKS) and its features, best practices, security considerations, how to get started, and more.","This article provides an overview of the agentic CLI for Azure Kubernetes Service (AKS), an AI-powered troubleshooting and insights tool that brings advanced diagnostics directly to your terminal. This feature is designed to help AKS administrators or developers quickly diagnose, understand, and resolve complex issues without needing deep Kubernetes expertise or memorizing command syntax.",2026-03-28T06:03:00.000Z,overview,,0.3,False,"High-level overview of the Agentic CLI for AKS; likely conceptual description of features, benefits, and usage scenarios without detailed limits, configuration tables, or error mappings.",unchanged
