url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/cost-management,Cost management,Cost management with Azure AI Metrics Advisor - Azure AI services,Plan and manage Azure Metrics Advisor costs and usage,Learn about cost management and pricing for Azure AI Metrics Advisor,"Important Starting on 21 September 2023 you won’t be able to create new Metrics Advisor resources. As of 31 March 2026 the Metrics Advisor portal has been disabled. The Metrics Advisor service is being retired no later than 1 October 2026. We recommend the following alternatives: Azure AI Metrics Advisor monitors the performance of your organization's growth engines, including sales revenue and manufacturing operations. Quickly identify and fix problems through a powerful combination of monitori",2026-01-23T23:20:00.000Z,concept-article,decision-making,0.6,True,"Cost management/pricing page typically includes tiered pricing, metering units, and usage guidance; these quantified trade-offs help decide how to use the service and manage capacity, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/data-feeds-from-different-sources,Connect different data sources,Connect different data sources to Metrics Advisor - Azure AI services,Connect diverse data sources to Metrics Advisor,Add different data feeds to Metrics Advisor,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. Important Microsoft recommends that you use the most secure authentication flow available. Some of the authentication flows described in this article require a very high degree of trust in the application, and carries risks that are not present in other more secure flows. You should only use this flow when other mor",2025-06-12T08:00:00.000Z,how-to,integrations,0.7,True,"Describes connecting different data sources with multiple authentication flows; such pages typically list connection string formats and auth parameters per source, fitting integrations & coding patterns.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/encryption,Use customer-managed keys,Metrics Advisor service encryption - Azure AI services,Configure encryption and authentication for Metrics Advisor,Metrics Advisor service encryption of data at rest.,"Important Azure AI Metrics Advisor has been retired as of 18 May 2026. We recommend the following alternatives: Important Microsoft recommends that you use the most secure authentication flow available. Some of the authentication flows described in this article require a very high degree of trust in the application, and carries risks that are not present in other more secure flows. You should only use this flow when other more secure flows, such as managed identities, aren't viable. Metrics Advi",2026-06-05T22:11:00.000Z,how-to,security,0.7,True,"Security-focused article on service encryption and authentication flows; likely includes product-specific security settings, supported encryption options, and guidance on secure authentication flows, which qualify as expert security configuration knowledge.",updated
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/faq,Metrics Advisor FAQ,Metrics Advisor frequently asked questions - Foundry Tools,Understand Metrics Advisor limits and constraints,Frequently asked questions about the Metrics Advisor service.,,2026-06-05T22:11:00.000Z,faq,limits-quotas,0.78,True,"The FAQ includes concrete, product-specific limits such as maximum number of metrics, series, and alerts per resource, as well as constraints on ingestion frequency and data latency. These are exact numerical limits and quotas that are unlikely to be reliably known from training data and match the limits-quotas criteria.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/glossary,Metrics Advisor key terms,Metrics Advisor glossary - Azure AI services,,Key ideas and concepts for the Metrics Advisor service,Important Azure AI Metrics Advisor has been retired as of 18 May 2026. We recommend the following alternatives: This document explains the technical terms used in Metrics Advisor. Use this article to learn about common concepts and objects you might encounter when using the service.,2026-06-05T22:11:00.000Z,glossary,,0.1,False,"Glossary of terms; defines concepts but does not provide limits, configs, troubleshooting steps, or other expert operational details.",updated
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/alerts,Configure alerts and get notifications using a hook,Configure Metrics Advisor alerts - Azure AI services,,"How to configure your Metrics Advisor alerts using hooks for email, web and Azure DevOps.","Important Azure AI Metrics Advisor has been retired as of 18 May 2026. We recommend the following alternatives: After an anomaly is detected by Metrics Advisor, an alert notification will be triggered based on alert settings, using a hook. An alert setting can be used with multiple detection configurations, various parameters are available to customize your alert rule.",2026-06-05T22:11:00.000Z,how-to,,0.4,False,"Explains configuring alerts and hooks; summary mentions parameters but not specific config tables, limits, or error mappings that meet expert-knowledge criteria.",updated
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/anomaly-feedback,Adjust anomaly detection using feedback,Provide anomaly feedback to the Metrics Advisor service - Azure AI services,,"Learn how to send feedback on anomalies found by your Metrics Advisor instance, and tune the results.","Important Starting on 21 September 2023 you won’t be able to create new Metrics Advisor resources. As of 31 March 2026 the Metrics Advisor portal has been disabled. The Metrics Advisor service is being retired no later than 1 October 2026. We recommend the following alternatives: User feedback is one of the most important methods to discover defects within the anomaly detection system. Here we provide a way for users to mark incorrect detection results directly on a time series, and apply the fe",2025-06-13T05:29:00.000Z,how-to,,0.3,False,"Anomaly feedback tuning article; mainly conceptual and workflow-oriented, without clear indication of numeric limits or configuration matrices.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/configure-metrics,Configure metrics and fine tune detection configuration,Configure your Metrics Advisor instance using the web portal - Azure AI services,Configure Metrics Advisor instance and detection settings,How to configure your Metrics Advisor instance and fine-tune the anomaly detection results.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Metrics Advisor resources. The Metrics Advisor service is being retired on the 1st of October, 2026. Use this article to start configuring your Metrics Advisor instance using the web portal and fine-tune the anomaly detection results.",2025-06-12T08:00:00.000Z,how-to,configuration,0.7,True,"Explicitly about configuring the instance and fine-tuning anomaly detection; such pages usually expose named settings, thresholds, and allowed values, matching configuration.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/credential-entity,Create a credential entity,Create a credential entity - Azure AI services,Create and manage Metrics Advisor credential entities securely,How to create a credential entity to manage your credential in secure.,"Important Starting on 21 September 2023 you won’t be able to create new Metrics Advisor resources. As of 31 March 2026 the Metrics Advisor portal has been disabled. The Metrics Advisor service is being retired no later than 1 October 2026. We recommend the following alternatives: When onboarding a data feed, you should select an authentication type, some authentication types likeAzure SQL Connection StringandService Principalneed a credential entity to store credential-related information, in or",2025-07-13T11:02:00.000Z,how-to,security,0.65,True,"Covers credential entities for Azure SQL connection strings and service principals; likely includes specific authentication types, fields, and secure storage behavior that are product-specific security configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/metrics-advisor/how-tos/diagnose-an-incident,Diagnose an incident,Diagnose an incident using Metrics Advisor - Azure AI services,,"Learn how to diagnose an incident using Metrics Advisor, and get detailed views of anomalies in your data.",Important Starting on 21 September 2023 you won’t be able to create new Metrics Advisor resources. As of 31 March 2026 the Metrics Advisor portal has been disabled. The Metrics Advisor service is being retired no later than 1 October 2026. We recommend the following alternatives:,2025-06-13T05:29:00.000Z,how-to,,0.3,False,"Diagnose incident how-to; focused on using UI views for anomalies, not explicit troubleshooting error-code mappings or config details.",unchanged
