url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/,Confluent,Confluent Cloud with Azure documentation - Azure Native Integrations,,Confluent Cloud integrates with Azure to offer Apache Kafka and Apache Flink as a service.,Use Apache Kafka and Apache Flink as a managed service on Azure,2026-03-17T22:33:00Z,landing-page,,0.2,False,"Landing page for Confluent Cloud with Azure; describes using Kafka/Flink as managed services, but no indication of numeric limits, decision matrices, or detailed configuration tables.",unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/add-confluent-connectors,Create a connector to Blob Storage,Create a Confluent Connector for Azure Blob Storage (Preview) - Azure Native Integrations,,Learn how to use Confluent Connectors in Azure (preview) to connect an instance of Apache Kafka & Apache Flink on Confluent Cloud to Azure Blob Storage.,"Confluent Cloud helps you connect your Confluent clusters to popular data sources and sinks. You can take advantage of this solution on Azure by using the Confluent Connectors feature. In this article, you'll learn how to connect an instance of Apache Kafka & Apache Flink on Confluent Cloud to Azure Blob Storage.",2025-11-05T23:10:00.000Z,how-to,,0.4,False,Tutorial for creating a Blob Storage connector; likely shows steps and some fields but not a full configuration reference with defaults/ranges.,unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/add-connectors,Connect to compute services,Connect a Confluent Organization to Azure Compute Services - Azure Native Integrations,Connect Confluent Cloud to Azure compute with Service Connector,Learn how to connect an instance of Apache Kafka & Apache Flink on Confluent Cloud to Azure compute services by using Service Connector in Azure.,"In this article, you'll learn how to connect an instance of Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service, to Azure compute services by using Service Connector in Azure. Service Connectoris an Azure service that simplifies the process of connecting Azure resources. Service Connector manages your connection's network and authentication settings to simplify connection. Complete the steps in this article to connect an app deployed to Azure App Service, Azure C",2025-09-19T08:00:00.000Z,how-to,integrations,0.65,True,Describes using Service Connector to wire Confluent Cloud to Azure compute services; likely includes product-specific connection settings and authentication/network parameters.,unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/add-cosmos-db-connector,Create a connector to Azure Cosmos DB,Create a Confluent Connector for Azure Cosmos DB (Preview) - Azure Native Integrations,,Learn how to use Confluent Connectors in Azure (preview) to connect an instance of Apache Kafka & Apache Flink on Confluent Cloud to Azure Cosmos DB.,"Confluent Cloud helps you connect your Confluent clusters to popular data sources and sinks. You can take advantage of this solution on Azure by using the Confluent Connectors feature. In this article, you'll learn how to connect an instance of Apache Kafka & Apache Flink on Confluent Cloud to Azure Cosmos DB.",2025-11-05T23:10:00.000Z,how-to,,0.4,False,"Tutorial for creating a Cosmos DB connector; similar to index 26, focused on walkthrough rather than config matrices.",unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/confluent-tools,Confluent resources and developer tools,Confluent Resources and Developer Tools - Azure Native Integrations,,"Learn about resources and developer tools you can use with Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service.","In this article, you learn about resources and tools that you can use with Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service.",2025-12-03T18:18:00.000Z,overview,,0.3,False,Lists developer tools/resources; likely links out rather than providing detailed config tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/create,Create a resource - Azure portal,Create a Confluent Cloud Resource - Azure Portal - Azure Native Integrations,,Learn how to begin using Apache Kafka & Apache Flink on Confluent Cloud by creating an instance in the Azure portal.,"In this quickstart, you use the Azure portal to create a resource in Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service.",2025-09-02T17:11:00.000Z,quickstart,,0.3,False,"Quickstart for creating Confluent resource via portal; step-by-step tutorial, not a comprehensive config reference.",unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/create-cli,Create a resource - Azure CLI,Create a Confluent Cloud Resource - Azure CLI - Azure Native Integrations,,Learn how to begin using Apache Kafka & Apache Flink on Confluent Cloud by creating an instance via the Azure CLI.,"In this quickstart, you use Azure Marketplace and the Azure CLI to create a resource in Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service.",2025-12-03T18:18:00.000Z,quickstart,,0.3,False,"Quickstart for creating Confluent resource via CLI; focuses on basic creation flow, not full configuration matrices.",unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/create-confluent-resources,Create Confluent resources,Create Confluent Resources in Azure (preview) - Azure Native Integrations,,"Learn how to create and manage Confluent environments, clusters, and topics in Azure via the Azure portal.","After you create a Confluent organization, your next step is to create other Confluent constructs, like environments, clusters, and topics. You can create these resources directly in Azure. Create the resources before you create a Confluent connector. Note The feature described in this article is in preview.",2026-01-28T08:00:00.000Z,how-to,,0.4,False,How to create Confluent environments/clusters/topics in Azure; appears procedural without explicit config parameter tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/create-powershell,Create a resource - Azure PowerShell,Create a Confluent Cloud Resource - Azure PowerShell - Azure Native Integrations,,Learn how to begin using Apache Kafka & Apache Flink on Confluent Cloud by creating an instance via Azure PowerShell.,"In this quickstart, you use Azure Marketplace and Azure PowerShell to create a resource in Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service.",2025-12-03T18:18:00.000Z,quickstart,,0.3,False,Quickstart for creating Confluent resource via PowerShell; basic example usage rather than exhaustive config.,unchanged
https://learn.microsoft.com/en-us/azure/partner-solutions/apache-kafka-confluent-cloud/faq,FAQ,Apache Kafka & Apache Flink on Confluent Cloud frequently asked questions - Azure Native Integrations,,"Answers to common questions about using Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service.","This article answers frequently asked questions about Apache Kafka & Apache Flink on Confluent Cloud, an Azure Native Integrations service.",2026-03-17T22:33:00.000Z,faq,,0.2,False,"FAQ for Apache Kafka & Apache Flink on Confluent Cloud via Azure Native Integrations; summary indicates common questions, likely conceptual and commercial rather than detailed limits, config parameters, or troubleshooting mappings.",updated
