url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-agent-silent-installation,Azure File Sync agent silent installation,How to install the Azure File Sync agent silently,Silently install Azure File Sync agent with custom settings,Discusses how to perform a silent installation for a new Azure File Sync agent installation,This article covers how to silently install the Azure File Sync agent using default or custom settings.,2025-04-08T17:07:00.000Z,how-to,configuration,0.75,True,"Silent installation requires specific command-line parameters, transforms, and options unique to the agent installer.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-choose-cloud-tiering-policies,Choose your cloud tiering policies,Choose Azure File Sync cloud tiering policies,Select optimal Azure File Sync cloud tiering policies,Details on what to keep in mind when choosing Azure File Sync cloud tiering policies.,"This article provides guidance on selecting and adjusting cloud tiering policies for Azure File Sync. Before reading this article, ensure that you understand how cloud tiering works. For cloud tiering fundamentals, seeUnderstand Azure File Sync cloud tiering. For an in-depth explanation of cloud tiering policies with examples, seeAzure File Sync cloud tiering policies.",2026-02-23T18:40:00.000Z,concept-article,decision-making,0.75,True,Explicitly about choosing and adjusting policies; provides scenario-based recommendations for policy values and trade-offs.,unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-cloud-tiering-overview,Cloud tiering overview,Understand Azure File Sync Cloud Tiering,,"Understand cloud tiering, an optional Azure File Sync feature. Frequently accessed files are cached locally on the server; others are tiered to Azure Files.","Cloud tiering, an optional feature of Azure File Sync, decreases the amount of local storage required while keeping the performance of an on-premises file server. When you enable this feature, it stores only frequently accessed (hot) files on your local server. Infrequently accessed (cool) files are split into namespace (file and folder structure) and file content. The namespace is stored locally, and the file content is stored in an Azure file share in the cloud. When a user opens a tiered file",2026-04-09T22:25:00.000Z,concept-article,,0.3,False,"Explains the concept of cloud tiering and how it works, but the summary does not show concrete numeric thresholds, configuration parameter tables, or troubleshooting details; appears conceptual rather than expert configuration or limits.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-cloud-tiering-policy,Cloud tiering policies overview,Azure File Sync cloud tiering policies,Configure Azure File Sync cloud tiering date and space policies,How the date policy and volume free space policy work together for different cloud tiering scenarios in Azure File Sync.,"Cloud tiering has two policies that determine which files are tiered to the cloud: thevolume free space policyand thedate policy. Thevolume free space policyensures that a specified percentage of the local volume the server endpoint is located on is always kept free. Thedate policytiers files last accessed x days ago or later. The volume free space policy always takes precedence. When there isn't enough free space on the volume to store as many days worth of files as the date policy specifies, A",2024-06-04T05:50:00.000Z,concept-article,configuration,0.8,True,"Explains how volume free space and date policies work together; likely includes specific policy parameters, precedence rules, and example configurations.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-deployment-guide,Deploy Azure File Sync,Deploy Azure File Sync,,"Learn how to deploy the Azure File Sync storage sync service by using the Azure portal, Azure PowerShell, or the Azure CLI.","Use Azure File Sync to centralize your organization's file shares in Azure Files, while keeping the flexibility, performance, and compatibility of an on-premises file server. Azure File Sync transforms Windows Server into a quick cache of your Azure file share. You can use any protocol that's available on Windows Server to access your data locally, including Server Message Block (SMB), Network File System (NFS), and File Transfer Protocol over SSL/TLS (FTPS). You can have as many caches as you n",2025-10-10T22:10:00.000Z,how-to,,0.4,False,Deployment guide is likely procedural (portal/CLI/PowerShell) without tier matrices or deployment constraints by SKU.,unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-disaster-recovery-best-practices,Disaster recovery best practices,Best practices for disaster recovery with Azure File Sync,Implement disaster recovery best practices for Azure File Sync,"Learn about best practices for disaster recovery with Azure File Sync, including high availability, data protection/backup, and data redundancy.","For Azure File Sync, there are three main areas to consider for disaster recovery: high availability, data protection/backup, and data redundancy. This article covers each area and helps you decide what configuration to use for your own disaster recovery solution. In an Azure File Sync deployment, the cloud endpoint always contains a full copy of your data, while the on-premises server can be viewed as a disposable cache of your data. In the event of a server-side disaster, you can recover by pr",2025-10-06T08:00:00.000Z,how-to,best-practices,0.85,True,"Explicit DR best practices across HA, backup, and redundancy; product-specific recommendations and patterns for using cloud endpoint and caches.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-extend-servers,Extend Windows file servers with Azure File Sync,Extend Windows File Servers with Azure File Sync,,Learn how to extend Windows file servers to the cloud while maintaining fast local access to frequently used data with Azure File Sync.,"The article demonstrates the basic steps for extending the storage capacity of a Windows server by using Azure File Sync. Although this tutorial features Windows Server as an Azure virtual machine (VM), you would typically do this process for your on-premises servers. You can find instructions for deploying Azure File Sync in your own environment in theDeploy Azure File Syncarticle. If you don't have an Azure subscription, create afree accountbefore you begin.",2024-08-08T08:00:00.000Z,tutorial,,0.3,False,"Tutorial-style extension of Windows file servers; likely step-by-step but not focused on config matrices, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-extension,Install Azure File Sync agent extension on Arc-enabled Windows Servers,Install the Azure File Sync Agent on Arc-enabled Windows Servers,Install and manage Azure File Sync agent on Arc servers,Learn how to install the Azure File Sync agent for Windows on Azure Arc-enabled Windows servers.,"This article describes how to install, validate, and uninstall the Azure File Sync agent extension on Azure Arc-enabled Windows servers. TheAzure File Sync Agent for Windowsextension deploys theAzure File Sync Agenton a Windows server connected through Azure Arc, allowing the server to sync files with an Azure file share. The extension is published by Microsoft and can be managed using the Azure portal, Azure PowerShell, or Azure CLI.",2026-02-03T08:00:00.000Z,how-to,configuration,0.7,True,"Describes installing/validating/uninstalling the agent extension; likely includes extension name, parameters, and portal/CLI configuration specifics.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-firewall-and-proxy,Configure File Sync proxy and firewall settings,Azure File Sync on-premises firewall and proxy settings,Configure on-premises firewall and proxy for Azure File Sync,"Understand Azure File Sync on-premises proxy and firewall settings. Review configuration details for ports, networks, and special connections to Azure.","Azure File Sync connects your on-premises servers to Azure Files, enabling multi-site synchronization and cloud tiering features. As such, an on-premises server must be connected to the internet. An IT admin needs to decide the best path for the server to reach into Azure cloud services. This article provides insight into specific requirements and options available to successfully and securely connect your server to Azure File Sync. We recommend readingAzure File Sync networking considerationspr",2024-05-13T08:00:00.000Z,how-to,security,0.8,True,"Details ports, networks, and special Azure connections; product-specific security/network configuration parameters and allowed endpoints.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-how-to-manage-tiered-files,Manage tiered files,How to manage Azure File Sync tiered files,Manage Azure File Sync cloud tiered files via PowerShell,Tips and PowerShell commands to help manage cloud tiering with Azure File Sync.,"This article provides guidance for users who have questions related to managing tiered files. For conceptual questions regarding cloud tiering, seeAzure Files FAQ.",2024-04-11T17:03:00.000Z,how-to,configuration,0.65,True,"Provides tips and PowerShell commands for managing tiered files; likely includes specific cmdlets and parameters, which are product-specific configuration details.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-introduction,What is Azure File Sync?,Introduction to Azure File Sync,,"Get an overview of Azure File Sync, a service that enables you to create and use network file shares in the cloud by using the industry-standard SMB protocol.","Azure File Sync is a service for centralizing an organization's file shares in Azure Files while keeping the flexibility, performance, and compatibility of an on-premises Windows file server. Azure File Sync uses an Azure file share as the central hub for your organization's file data. Each on-premises Windows Server that you register with Azure File Sync syncs its data to and from this Azure file share. Although you can opt to keep a full copy of your data locally, Azure File Sync can transform",2026-04-09T22:25:00.000Z,overview,,0.2,False,"High-level introduction to Azure File Sync; summary indicates conceptual overview of what the service does without specific limits, configuration tables, error codes, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/storage/file-sync/file-sync-managed-identities,Configure managed identities,How to use managed identities with Azure File Sync,Use managed identities to secure Azure File Sync access,Learn how to configure Azure File Sync to use system-assigned managed identities provided by Microsoft Entra ID.,"Managed Identity support eliminates the need for shared keys as a method of authentication by utilizing a system-assigned managed identity provided by Microsoft Entra ID. When you enable this configuration, the system-assigned managed identities will be used for the following scenarios: To learn more about the benefits of using managed identities, seeManaged identities for Azure resources. Important Cross-tenant topologies aren't supported.TheStorage Sync Service, theserver resource(Azure Arc–en",2025-10-10T22:10:00.000Z,concept-article,security,0.85,True,"Describes configuring system-assigned managed identities, supported topologies, and required resource relationships; includes product-specific auth configuration.",unchanged
