url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/network-watcher/azure-monitor-agent-with-connection-monitor,Monitor connectivity using Azure Monitor agent,Monitor Network Connectivity Using Azure Monitor Agent - Azure Network Watcher,Configure Azure Monitor Agent for Connection Monitor,Learn how to use Azure Monitor agent to monitor network connectivity with Network Watcher connection monitor.,"Connection monitor supports the Azure Monitor agent extension, which eliminates any dependency on the legacy Log Analytics agent. Azure Monitor agent consolidates all the features necessary to address connectivity logs and metrics data collection needs across Azure and on-premises machines compared to running various monitoring agents. Azure Monitor agent provides the following benefits: For more information, seeAzure Monitor agent. To start using connection monitor for monitoring, follow these ",2024-12-29T12:12:00.000Z,how-to,configuration,0.7,True,Describes using Azure Monitor Agent with Connection Monitor; likely includes agent-related configuration options and data collection settings specific to this integration.,unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-monitor-connected-machine-agent,Install Azure Connected Machine agent,Install the Azure Connected Machine Agent for Connection Monitor - Azure Network Watcher,,Learn how to install the Azure Connected Machine agent using an installation script to use the Azure Network Watcher connection monitor.,"In this article, you learn how to install the Azure Connected Machine agent. For more information about the agent, seeAzure Connected Machine agent overview. The Connected Machine agent is required to manage your Windows and Linux machines hosted outside of Azure on your corporate network or other cloud providers.",2026-02-25T08:00:00.000Z,how-to,,0.5,False,Agent install script usage; summary does not show detailed parameter tables or product-specific troubleshooting/error mappings.,unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-monitor-create-using-portal,Azure portal,Create a Connection Monitor - Azure Portal - Azure Network Watcher,,Learn how to create a monitor in Azure Network Watcher connection monitor using the Azure portal.,"This article describes how to create a monitor in Connection monitor using the Azure portal. Connection monitor supports hybrid and Azure cloud deployments. Important Connection monitor (classic) is deprecated and no longer available. For more information, seeMigrate from connection monitor (classic)to migrate your connection monitors from connection monitor (classic) to the new connection monitor.",2026-02-25T08:00:00.000Z,how-to,,0.3,False,How-to create a monitor via portal; appears procedural without deep config matrices or limits.,unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-monitor-create-using-powershell,PowerShell,Create a Connection Monitor - PowerShell - Azure Network Watcher,,Learn how to create an Azure Network Watcher connection monitor using Azure PowerShell.,"Important Connection monitor (classic) is deprecated and no longer available. For more information, seeMigrate from connection monitor (classic)to migrate your connection monitors from connection monitor (classic) to the new connection monitor. Learn how to use the Connection Monitor feature of Azure Network Watcher to monitor communication between your resources.",2024-06-12T22:54:00.000Z,how-to,,0.3,False,"PowerShell creation tutorial; likely just command usage, not full configuration reference or troubleshooting mapping.",unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-monitor-install-azure-monitor-agent,Install Azure Monitor agent,Install and Upgrade Azure Monitor Agent on Azure Arc-enabled Servers - Azure Network Watcher,Install and manage Azure Monitor Agent on Arc servers,"Learn how to install, upgrade, and uninstall Azure Monitor Agent on Azure Arc-enabled servers.","Azure Monitor Agent is implemented as an Azure virtual machine (VM) extension. You can install Azure Monitor Agent using any of the methods described inAzure Monitor Agent overview. This article covers installing Azure Monitor Agent on Azure Arc-enabled servers using PowerShell or the Azure CLI. For more information, seeManage Azure Monitor Agent.",2026-02-25T08:00:00.000Z,how-to,configuration,0.7,True,"Covers installing, upgrading, and uninstalling Azure Monitor Agent on Arc-enabled servers; likely includes extension parameters and configuration options specific to this scenario.",unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-monitor-overview,Overview,Connection Monitor Overview - Azure Network Watcher,,Learn about Azure Network Watcher connection monitor and how to use it to monitor network communication in a distributed environment.,"Important Connection monitor (classic) is deprecated and no longer available. For more information, seeMigrate from connection monitor (classic)to migrate your connection monitors from connection monitor (classic) to the new connection monitor. Connection monitor provides unified and continuous network connectivity monitoring, enabling users to detect anomalies, identify the specific network component responsible for issues, and troubleshoot with actionable insights in Azure and hybrid cloud env",2026-02-25T08:00:00.000Z,concept-article,,0.3,False,"Conceptual overview of Connection Monitor; no explicit limits, config tables, or decision matrices in summary.",unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-monitor-schema,Schema,Connection Monitor Schemas - Azure Network Watcher,Understand Connection Monitor Log Analytics data schemas,Learn about the available tests data and path data schemas in Azure Network Watcher connection monitor.,"Connection monitor stores the data it collects in a Log Analytics workspace. There are two types of logs or data ingested into Log Analytics from connection monitor: For certain time durations, test data might continue to update while path data remains unchanged, as they operate independently. In this article, you learn about the fields available in the connection monitor test data and path data schemas.",2026-02-25T08:00:00.000Z,concept-article,configuration,0.8,True,"Describes fields in test and path data schemas; likely includes tables of column names, types, and meanings, which are product-specific configuration/data contract details.",unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-troubleshoot-manage,Troubleshoot outbound connections,Troubleshoot Outbound Connections - Azure Network Watcher,Diagnose outbound connection issues with Network Watcher,Learn how to use the connection troubleshoot feature of Azure Network Watcher to troubleshoot outbound connections.,"In this article, you learn how to use the connection troubleshoot feature of Azure Network Watcher to diagnose and troubleshoot connectivity issues. For more information about connection troubleshoot, seeConnection troubleshoot overview.",2025-11-18T08:00:00.000Z,how-to,troubleshooting,0.78,True,"How-to article for the connection troubleshoot feature; likely includes specific test statuses, result fields, and stepwise diagnosis for failed outbound connections, which are product-specific troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/connection-troubleshoot-overview,Overview,Connection Troubleshoot Overview - Azure Network Watcher,,"Learn about Azure Network Watcher connection troubleshoot tool, the issues it can detect, and the responses it gives.","With the increase of sophisticated and high-performance workloads in Azure, there's a critical need for increased visibility and control over the operational state of complex networks running these workloads. Such complex networks are implemented using network security groups, firewalls, user-defined routes, and resources provided by Azure. Complex configurations make troubleshooting connectivity issues challenging. The connection troubleshoot feature of Azure Network Watcher helps reduce the am",2026-04-08T17:12:00.000Z,concept-article,,0.2,False,"Page is an overview of the Network Watcher connection troubleshoot feature, describing what it does and the kinds of issues it can detect, but not providing specific error codes, diagnostic commands, configuration parameters, or numeric limits. It lacks the concrete symptom→cause→solution mappings or detailed settings required for troubleshooting or configuration classifications.",unchanged
https://learn.microsoft.com/en-us/azure/network-watcher/diagnose-communication-problem-between-networks,Portal,Tutorial: Diagnose Communication Problem between Virtual Networks - Azure Portal - Azure Network Watcher,,"In this tutorial, you learn how to use Azure Network Watcher VPN troubleshoot to diagnose a communication problem between virtual networks connected by VPN gateways.","This tutorial shows you how to use Azure Network WatcherVPN troubleshootcapability to diagnose and troubleshoot a connectivity issue between two virtual networks. The virtual networks are connected via VPN gateways using VNet-to-VNet connections. In this tutorial, you learn how to:",2026-02-25T08:00:00.000Z,tutorial,,0.5,False,Tutorial for diagnosing VNet-to-VNet VPN issues; scenario-based but not a general troubleshooting reference with structured error/solution mappings.,unchanged
