url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-sql/azure-hybrid-benefit?view=azuresql,Azure Hybrid Benefit,Azure Hybrid Benefit - Azure SQL Database & SQL Managed Instance,Decide when to use Azure Hybrid Benefit for Azure SQL,Use existing SQL Server licenses for Azure SQL Database and SQL Managed Instance discounts.,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance Azure Hybrid Benefitgrants you the ability to allocate your SQL Server license to Azure SQL Database and Azure SQL Managed Instance. You can save up to 30 percent or more on SQL Database and SQL Managed Instance by using your Software Assurance-enabled SQL Server licenses on Azure. ThePricing Calculatorallows you to determine Azure Hybrid Benefit savings at a service level. With Azure Hybrid Benefit, you get a discount on the allocation of ",2025-09-02T17:35:00.000Z,concept-article,decision-making,0.7,True,Describes Azure Hybrid Benefit discounts and how to allocate existing licenses; contains product-specific cost decision guidance beyond generic concepts.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/azure-sql-decision-tree?view=azuresql,Azure SQL decision tree,Azure SQL Decision Tree - Azure SQL,Use Azure SQL decision tree to choose service,"Explore a decision tree of different options within the Azure SQL family of services: Azure SQL Database, Azure SQL Managed Instance, and SQL Server on Azure VM.",Applies to:Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure VM The Azure portal includes a decision tree in theAzure SQL hub at aka.ms/azuresqlhubto help youFind the right optionfor your application architecture in Azure SQL.,2026-03-18T11:48:00.000Z,article,decision-making,0.7,True,"Describes a product-specific decision tree in the Azure portal for selecting between Azure SQL Database, Managed Instance, and SQL Server on VM; this is concrete decision guidance unique to the product, even if much of the logic is embedded in the portal tool.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/azure-sql-iaas-vs-paas-what-is-overview?view=azuresql,What is Azure SQL?,What Is Azure SQL? - Azure SQL,,"Learn about the different options within the Azure SQL family of services: Azure SQL Database, Azure SQL Managed Instance, and SQL Server on Azure VM.","Applies to:Azure SQL DatabaseAzure SQL Managed InstanceSQL Server on Azure VM Azure SQL is a family of managed, secure, and intelligent products that use the SQL Server database engine in the Azure cloud. Azure SQL is built upon the familiar SQL Server engine, so you can migrate applications with ease and continue to use the tools, languages, and resources you're familiar with. Your skills and experience transfer to the cloud, so you can do even more with what you already have. If you're new to ",2026-03-11T08:00:00.000Z,overview,,0.1,False,"High-level overview of Azure SQL family options without numeric limits, configuration tables, or concrete decision matrices; primarily conceptual/marketing content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/capacity-errors-troubleshoot?view=azuresql,Capacity errors during deployment,Resolve Capacity Errors with Azure SQL Resources - Azure SQL,Troubleshoot Azure SQL capacity deployment and scaling errors,Learn how to resolve possible capacity errors when attempting to deploy or scale Azure SQL Database or Azure SQL Managed Instance resources.,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance In this article, learn how to resolve capacity errors when deploying Azure SQL Database or Azure SQL Managed Instance resources.",2025-06-16T17:33:00.000Z,how-to,troubleshooting,0.8,True,"Focuses on resolving capacity errors when deploying or scaling Azure SQL resources, likely including specific error messages and recommended resolution steps.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/copilot/copilot-azure-sql-faq?view=azuresql,Copilot with Azure SQL Database FAQ,Frequently asked questions about Microsoft Copilot in Azure with Azure SQL Database - Azure SQL,Understand Copilot in Azure SQL capabilities and usage,Frequently asked questions about Microsoft Copilot in Azure with Azure SQL Database.,"Frequently asked questions about Microsoft Copilot capabilities in Azure SQL. Microsoft Copilot in Azure is now integrated with Azure SQL Database, enhancing the management and operation of SQL-dependent applications.",2025-04-09T22:30:00.000Z,faq,decision-making,0.6,True,"FAQ for Copilot in Azure with Azure SQL likely includes concrete answers about availability, supported scenarios, and constraints that help decide when/how to use the feature; this is closer to decision guidance than pure overview, though not focused on limits tables or troubleshooting codes.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/copilot/copilot-azure-sql-overview?view=azuresql,Copilot with Azure SQL Database,Microsoft Copilot in Azure with Azure SQL Database Overview - Azure SQL,,Learn more about the possibilities of Microsoft Copilot in Azure with Azure SQL Database for administrators and developers.,"Applies to:Azure SQL Database Microsoft Copilot in Azurewith Azure SQL Database is acapabilityof the Microsoft Azure Copilot experience that enhances the management and operation of Azure services, providing robust capabilities for SQL-dependent applications. It provides a conversational interface for users to interact with their databases, allowing them to ask questions and receive relevant answers based on the context of their database. It improves productivity in the Azure portal by offering ",2025-04-08T17:31:00.000Z,overview,,0.2,False,"Overview of Microsoft Copilot in Azure with Azure SQL Database; describes capabilities and experience but not detailed configuration parameters, limits, or error-resolution content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/copilot/copilot-prompts-list?view=azuresql,Copilot sample prompts,Copilot in Azure with Azure SQL Database List of Sample Prompts - Azure SQL,,Explore a list of sample prompts to use with Microsoft Copilot in Azure with Azure SQL Database.,"Applies to:Azure SQL Database Here's a list of sample prompts that you can use with Microsoft Copilot in Azure SQL Database. These prompts are designed to help you interact with your database and get relevant information quickly. Note AI powers Copilot, so surprises and mistakes are possible.",2025-04-08T17:31:00.000Z,concept-article,,0.1,False,"List of example prompts; no product-specific configuration, limits, or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-alerts?view=azuresql,Alerts,Database watcher alerts - Azure SQL Database & SQL Managed Instance,Configure Azure Monitor alerts for database watcher data,A detailed description of Azure Monitor Alerts in database watcher,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance After youcreate and configurea watcher, you can set upAzure Monitor Alertsto receive notifications about high resource usage, notable workload patterns, and other conditions across your Azure SQL estate that might require attention. To do this, you create alog search alert rulethat queries the data store of a watcher on a schedule. To help you create alert rules, database watcher includes templates for common alert conditions. Once an alert",2025-05-04T08:00:00.000Z,concept-article,configuration,0.7,True,Explains creating log search alert rules and using templates for watcher; product-specific alert configuration details.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-analyze?view=azuresql,Analyze monitoring data,Analyze database watcher monitoring data - Azure SQL Database & SQL Managed Instance,Analyze Azure SQL monitoring data with KQL and T-SQL,Examples of analytical queries that use database watcher monitoring data,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance In addition to usingdashboards in Azure portal, or building visualizations to view and analyze SQL monitoring data inPower BI,Grafana,Azure Data ExplorerorReal-Time Analytics in Microsoft Fabric, you can query your monitoring data store directly. This article contains examples ofKQLandT-SQLqueries that help you get started with analyzing collected monitoring data.",2025-05-04T08:00:00.000Z,how-to,best-practices,0.7,True,Provides concrete KQL and T-SQL query examples for analyzing watcher data; product-specific analytical patterns and queries.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-data?view=azuresql,Data collection and datasets,Database watcher data collection and datasets - Azure SQL Database & SQL Managed Instance,Understand database watcher datasets and collected metrics,A detailed description of SQL monitoring data collected by database watcher,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance Database watcher collects monitoring data from SQL system views and ingests it into the data store in the form ofdatasets. Each dataset is formed using the data from one or more SQL system views. For each dataset, there is a separate table in the data store.",2025-09-02T08:00:00.000Z,concept-article,configuration,0.8,True,Describes datasets and mapping to SQL system views; includes schema-level details of monitoring data unique to database watcher.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-faq?view=azuresql,FAQ,Database watcher FAQ - Azure SQL Database & SQL Managed Instance,Resolve common Azure SQL database watcher issues,Frequently asked questions about database watcher for Azure SQL,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance This article provides answers to frequently asked questions about database watcher for Azure SQL. It is intended for readers who have a general understanding of Azure SQL, and are looking for answers to specific, commonly asked questions about database watcher. For an overview of database watcher, seeMonitor Azure SQL workloads with database watcher (preview).",2025-09-29T17:38:00.000Z,faq,troubleshooting,0.68,True,"FAQ pages for preview monitoring features typically include product-specific error messages, behavioral quirks, and targeted resolutions (for example, why data isn’t appearing, supported regions/limitations, and how to interpret watcher output). These symptom→cause→solution details are not generic SQL knowledge and qualify as troubleshooting-focused expert knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-manage?view=azuresql,Create and configure,Create and configure a watcher - Azure SQL Database & SQL Managed Instance,Configure Azure SQL Database watcher settings,Database watcher setup and configuration details,"Applies to:Azure SQL DatabaseAzure SQL Managed Instance This article contains detailed steps to create, configure, and start a watcher in the Azure portal for Azure SQL Database and Azure SQL Managed Instance. Database watcher does not require you to deploy and maintain any monitoring agents or other monitoring infrastructure. You can enable in-depth database monitoring of your Azure SQL resources in minutes. For a simplified step-by-step example to create and configure a watcher, seeQuickstart:",2026-06-16T08:00:00.000Z,how-to,configuration,0.68,True,"The article focuses on creating and configuring a database watcher, which implies product-specific configuration steps and options (watcher properties, enablement settings, and operational parameters) rather than just a conceptual overview. These configuration details (specific setting names and how to set them in the Azure portal) are not generic knowledge and qualify as expert, product-specific configuration guidance.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-overview?view=azuresql,Database watcher overview,Monitor Azure SQL workloads with database watcher - Azure SQL Database & SQL Managed Instance,,"An overview of database watcher for Azure SQL, a managed monitoring solution for database services in the Azure SQL family.","Applies to:Azure SQL DatabaseAzure SQL Managed Instance Database watcher is a managed monitoring solution for database services in the Azure SQL family. It supportsAzure SQL DatabaseandAzure SQL Managed Instance. Database watcher collects in-depth workload monitoring data to give you a detailed view of database performance, configuration, and health. Monitoring data from the databases, elastic pools, and SQL managed instances you select iscollectedinto a central data store in your Azure subscrip",2025-07-30T08:00:00.000Z,overview,,0.2,False,"Database watcher article is an overview of a managed monitoring solution, describing what it is and what it collects; the summary does not show specific configuration parameters, limits, or diagnostic mappings, so it does not meet the bar for configuration, troubleshooting, or other expert-knowledge categories.",unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database-watcher-quickstart?view=azuresql,Quickstart,Create a watcher to monitor Azure SQL - Azure SQL Database & SQL Managed Instance,Create a database watcher with Entra auth and private connectivity,"Learn how to create a new watcher to monitor an Azure SQL database, elastic pool, or SQL managed instance using Microsoft Entra authentication and private connectivity.","This article shows you how to create a new watcher to monitor an Azure SQL database, elastic pool, or SQL managed instance. For an introduction to database watcher, seeMonitor Azure SQL workloads with database watcher. For a detailed description of database watcher setup and configuration, seeCreate and configure a watcher. Follow the steps to create a watcher and start monitoring your Azure SQL resources in minutes. The watcher you create uses Microsoft Entra authentication and private connecti",2025-05-04T08:00:00.000Z,quickstart,configuration,0.7,True,Step-by-step creation of a watcher using Entra authentication and private connectivity; includes concrete configuration steps and parameters.,unchanged
https://learn.microsoft.com/en-us/azure/azure-sql/database/?view=azuresql,Documentation,Azure SQL Database documentation - Azure SQL,,"Find documentation about Azure SQL Database, a platform-as-a-service (PaaS) based on the latest stable version of Microsoft SQL Server.","Find concepts, quickstarts, tutorials, and samples for singled and pooled databases in Azure SQL Database.",2026-06-23T22:41:00Z,landing-page,,0.1,False,"Landing/overview page that primarily links to concepts, quickstarts, and tutorials for Azure SQL Database; it does not itself contain detailed limits, configuration tables, error codes, or other expert-only technical data.",unchanged
