url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/dedicated-hsm/deployment-architecture,Deciding on deployment architecture,Deployment architecture - Azure Dedicated HSM,Design deployment architecture for Azure Dedicated HSM,Basic design considerations when using Azure Dedicated HSM as part of an application architecture,Azure Dedicated HSM provides cryptographic key storage in Azure. It meets stringent security requirements. Customers will benefit from using Azure Dedicated HSM if they: The HSMs are distributed across Microsoft’s data centers and can be easily provisioned as a pair of devices as the basis of a highly available solution. They may also be deployed across regions for a disaster resilient solution. The regions with Dedicated HSM available currently can be checked using theProducts by Region page. E,2025-04-15T08:00:00.000Z,how-to,architecture-patterns,0.6,True,"Discusses when customers benefit from Dedicated HSM, how devices are distributed across datacenters, pairing for HA, and cross-region deployment for disaster resilience. These are product-specific architectural deployment patterns.",unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/faq,Frequently asked questions,Frequently asked questions - Azure Dedicated HSM,Resolve common Azure Dedicated HSM usage and support questions,"Find answers to common questions about Azure Dedicated Hardware Security Module, such as basic information, interoperability, high availability, and support.",Find answers to common questions about Microsoft Azure Dedicated HSM.,2026-06-12T22:35:00.000Z,faq,troubleshooting,0.62,True,"Service-specific FAQ for Dedicated HSM typically includes detailed answers about interoperability, high availability behavior, and support conditions that are not generic knowledge. While organized as FAQ rather than classic symptom trees, it provides concrete resolutions and clarifications to common operational issues, closest to troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/high-availability,High availability,High availability - Azure Dedicated HSM,Design high availability for Azure Dedicated HSM,Learn about basic considerations for Azure Dedicated HSM high availability. This article includes an example.,"Azure Dedicated HSM is underpinned by Microsoft's highly available datacenters. However, any highly available datacenter is vulnerable to localized failures and in extreme circumstances, regional level failures. Microsoft deploys HSM devices in different datacenters within a region to ensure provisioning multiple devices does not lead to those devices sharing a single rack. A further level of high availability can be achieved by pairing these HSMs across the datacenters in a region using the Tha",2025-04-15T22:02:00.000Z,conceptual,architecture-patterns,0.6,True,Discusses how Microsoft deploys HSMs across datacenters and how to pair devices within a region for HA and across regions for resilience. These are product-specific HA patterns and placement behaviors that go beyond generic HA concepts.,unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/migration-basic-standard,Migrate ExpressRoute Gateway Basic SKU public IP to Standard SKU public IP,Migrate ExpressRoute Gateway Basic SKU public IP to Standard SKU public IP,Migrate Dedicated HSM ExpressRoute Basic IP to Standard SKU,Short guidance for Azure Dedicated HSM customers who need to change an ExpressRoute Gateway (ERGW) Basic SKU public IP to a Standard SKU public IP.,"Note Basic SKU public IP support for Dedicated HSM ExpressRoute Gateway is extended to March of 2027. There is no smooth migration for Dedicated HSM using ExpressRoute Gateway (ERGW) Basic SKU public IP to Standard SKU public IP. Customer will need to create a new Dedicated HSM with a new VNET/ a new ERGW with Standard SKU public IP, clone keys to new HSM with HA setup, delete the old Dedicated HSM. If you have any concerns with this, please contact your customer success account manager, or clou",2026-06-11T17:55:00.000Z,how-to,decision-making,0.7,True,"Includes a specific support end date for Basic SKU public IP and prescriptive steps that there is no smooth migration and a new Dedicated HSM/VNET/ERGW must be created. This is concrete migration and SKU-transition guidance with product-specific constraints, aligning with decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/migration-guide,Migrate to Cloud or Managed HSM,Transition from Azure Dedicated HSM to Azure Key Vault Managed HSM or Azure Cloud HSM,Plan migration from Azure Dedicated HSM to Managed or Cloud HSM,"Guidance on transitioning from Azure Dedicated HSM to Azure Key Vault Managed HSM or Azure Cloud HSM, including restrictions, onboarding steps, and best practices.","Azure Dedicated HSM is being retired. Microsoft will fully support existing Dedicated HSM customers until July 31, 2028, but no new customer onboardings are accepted. Customers must transition toAzure Cloud HSMorManaged HSM. This article provides guidance for Azure Dedicated HSM customers who need to transition to Azure Cloud HSM or Managed HSM. This transition involves creating new keys and updating applications to use the new services. Warning Customers cannot migrate existing key materials fr",2026-06-11T17:55:00.000Z,how-to,decision-making,0.74,True,"Contains product-specific retirement dates, explicit restriction that key material cannot be migrated, and concrete guidance on when/how to transition from Dedicated HSM to Managed HSM or Cloud HSM. This is migration and service-selection guidance with specific constraints, fitting decision-making.",unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/monitoring,Monitoring,Monitoring options - Azure Dedicated HSM,,Overview of Azure Dedicated HSM monitoring options and monitoring responsibilities,"The Azure Dedicated HSM Service provides a physical device for sole customer use with complete administrative control and management responsibility. The device made available is aThales Luna 7 HSM model A790.  Microsoft has no administrative access once provisioned by a customer, beyond physical serial port attachment as a monitoring role. As a result, customers are responsible for typical operational activities including comprehensive monitoring and log analysis. Customers are fully responsible",2026-03-11T22:11:00.000Z,conceptual,,0.2,False,"High-level overview of monitoring responsibilities for Azure Dedicated HSM; no specific metrics, configuration parameters, limits, or product-specific diagnostic commands are evident from the summary.",unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/networking,Networking,Networking considerations - Azure Dedicated HSM,Plan networking architecture for Azure Dedicated HSM,Overview of networking considerations applicable to Azure Dedicated HSM deployments,"Azure Dedicated HSM demands a robust, secure networking infrastructure across all deployment scenarios. Whether connecting from the Azure cloud to your on-premises environment, implementing distributed applications, or establishing high availability configurations, comprehensive security is essential. Azure Networking delivers security through four critical networking areas that require careful planning and implementation.",2025-04-15T22:02:00.000Z,conceptual,architecture-patterns,0.55,True,"Covers networking considerations for different deployment scenarios (on-prem connectivity, distributed apps, HA configurations) with product-specific guidance on secure network design for Dedicated HSM, which is architectural rather than generic networking theory.",unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/overview,Dedicated HSM overview,What is Dedicated HSM? - Azure Dedicated HSM,Understand Azure Dedicated HSM retirement and successors,Learn how Azure Dedicated HSM is an Azure service that provides cryptographic key storage in Azure.,"Important Azure Dedicated HSM is being retired.Microsoft will fully support existing Dedicated HSM customers until July 31, 2028. No new customer onboardings are accepted. For full details and required actions, see theofficial Azure update. If you are an Azure Dedicated HSM user, seeMigrate from Azure Dedicated HSM to Azure Managed HSM or Azure Cloud HSM.Azure Cloud HSMis now generally available and the successor to Azure Dedicated HSM. New customers should evaluate and onboard toAzure Cloud HSM",2025-08-11T22:08:00.000Z,overview,decision-making,0.65,True,"Contains product-specific retirement timeline (support until July 31, 2028), explicit onboarding restrictions, and concrete guidance to choose Azure Cloud HSM vs Azure Managed HSM. This is decision guidance tied to specific dates and migration direction that an LLM is unlikely to know from training.",unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/physical-security,Physical security,Azure Dedicated HSM physical security,Understand physical security of Azure Dedicated HSM devices,Information about Azure Dedicated HSM devices' physical security in data centers,Azure Dedicated HSM helps you meet advanced security requirements for key storage. It is managed following stringent security practices throughout its full lifecycle to meet customers needs.,2025-04-15T22:02:00.000Z,conceptual,security,0.6,True,Describes how Dedicated HSM devices are managed through their lifecycle to meet stringent security requirements. This is product-specific physical security posture information not derivable from generic security knowledge.,unchanged
https://learn.microsoft.com/en-us/azure/dedicated-hsm/quickstart-create-hsm-powershell,Create an Azure Dedicated HSM with Azure PowerShell,Quickstart: Create an Azure Dedicated HSM with Azure PowerShell,,Create an Azure Dedicated HSM with Azure PowerShell,This article describes how you can create an Azure Dedicated HSM using theAz.DedicatedHsmPowerShell module.,2025-04-15T08:00:00.000Z,quickstart,,0.25,False,"Quickstart for creating a Dedicated HSM via PowerShell; focused on basic commands, not on expert-only configuration options, limits, or diagnostic details.",unchanged
