url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/dns/delegate-subdomain,Azure portal,Delegate a subdomain - Azure DNS,,"With this learning path, get started delegating an Azure DNS subdomain.","You can use the Azure portal to delegate a DNS subdomain. For example, if you own theadatum.comdomain, you can delegate a subdomain calledengineering.adatum.comto another separate zone that you can administer separately from the adatum.com zone. You can also delegate a subdomain usingAzure PowerShell.",2024-06-11T05:39:00.000Z,how-to,,0.45,False,"Portal-based subdomain delegation how-to; mostly procedural without detailed configuration tables, limits, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/dns/delegate-subdomain-ps,Azure PowerShell,Delegate a subdomain - Azure PowerShell - Azure DNS,Delegate DNS subdomains using Azure PowerShell,"With this learning path, get started delegating an Azure DNS subdomain using Azure PowerShell.","You can use Azure PowerShell to delegate a DNS subdomain. For example, if you own the contoso.com domain, you may delegate a subdomain calledengineeringto another separate zone that you can administer separately from the contoso.com zone. If you prefer, you can also delegate a subdomain using theAzure portal. Note Contoso.com is used as an example throughout this article. Substitute your own domain name for contoso.com. If you don’t have an Azure subscription, create afree accountbefore you begi",2023-11-30T08:00:00.000Z,how-to,integrations,0.6,True,"PowerShell article for subdomain delegation; likely includes specific Azure DNS cmdlets and parameters, which are product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/dns/dns-alias,Alias records,Alias records overview - Azure DNS,,"In this article, learn about support for alias records in Microsoft Azure DNS.","Azure DNS alias records are qualifications on a DNS record set. They can reference other Azure resources from within your DNS zone. For example, you can create an alias record set that references an Azure public IP address instead of an A record. Your alias record set points to an Azure public IP address service instance dynamically. As a result, the alias record set seamlessly updates itself during DNS resolution. Note To create alias records, you must register theMicrosoft.Networkresource prov",2024-09-24T08:00:00.000Z,concept-article,,0.4,False,Overview of alias records; describes capabilities but not as a detailed configuration reference with parameter tables or limits.,unchanged
https://learn.microsoft.com/en-us/azure/dns/dns-alias-appservice,Alias records for load balanced web apps,Host load-balanced Azure web apps at the zone apex,,Use an Azure DNS alias record to host load-balanced web apps at the zone apex,"The DNS protocol prevents the assignment of anything other than an A or AAAA record at the zone apex. An example zone apex is contoso.com. This restriction presents a problem for application owners who have load-balanced applications behind Traffic Manager. Pointing at the Traffic Manager profile from the zone apex record isn't possible. As a result, application owners must use a workaround. A redirect at the application layer must redirect from the zone apex to another domain. An example is a r",2023-11-30T08:00:00.000Z,how-to,,0.4,False,Describes using alias records at zone apex; likely conceptual and scenario-based without detailed numeric thresholds or config tables.,unchanged
https://learn.microsoft.com/en-us/azure/dns/dns-custom-domain,Custom domains for Azure resources,Integrate Azure DNS with your Azure resources - Azure DNS,,"In this article, learn how to use Azure DNS along to provide DNS for your Azure resources.","Azure DNS provides name resolution for any of your Azure resources that support custom domains, or that have a fully qualified domain name (FQDN). For example, you might have an Azure web app you want your users to access usingcontoso.comorwww.contoso.comas the FQDN. This article walks you through configuring Azure DNS to access your Azure service with custom domains. You can configure a vanity or custom domain for Azure Function Apps, Public IP addresses, App Service (Web Apps), Blob storage, a",2024-07-22T22:05:00.000Z,how-to,,0.4,False,Article on integrating Azure DNS with resources; walks through configuration but not as a parameter reference or troubleshooting guide.,unchanged
https://learn.microsoft.com/en-us/azure/dns/dns-delegate-domain-azure-dns,Host your domain in Azure DNS,Tutorial: Host your domain in Azure DNS,,"In this tutorial, you learn how to configure Azure DNS to host your DNS zones using Azure portal.","You can use Azure DNS to host your DNS domain and manage your DNS records. By hosting your domains in Azure, you can manage your DNS records using the same credentials, APIs, tools, and billing as your other Azure services. Suppose you buy the domaincontoso.comfrom a domain name registrar and then create a zone with the namecontoso.comin Azure DNS. Since you're the owner of the domain, your registrar offers you the option to configure the name server (NS) records for your domain. The registrar s",2024-06-11T05:39:00.000Z,tutorial,,0.3,False,Tutorial for hosting a domain in Azure DNS; step-by-step configuration without detailed parameter or limits reference.,unchanged
https://learn.microsoft.com/en-us/azure/dns/dns-domain-delegation,Delegation with Azure DNS,Azure DNS delegation overview,,Understand how to change domain delegation and use Azure DNS name servers to provide domain hosting.,"Azure DNS allows you to host a DNS domain and manage the DNS zone records. To host your domain in Azure, the zone must be created in Azure and delegated to Azure's authoritative DNS servers with a domain registrar. Azure DNS isn't the domain registrar. This article explains how domain delegation works and how to delegate domains to Azure DNS. Also see:Tutorial: Host your domain in Azure DNS.",2024-06-11T05:39:00.000Z,concept-article,,0.2,False,"High-level explanation of domain delegation to Azure DNS; no numeric limits, config tables, or detailed troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/dns/dns-faq,FAQ,FAQ - Azure DNS,Azure DNS FAQs on limits and behaviors,"In this article, learn about frequently asked questions about Azure DNS",,2026-03-25T22:12:00.000Z,faq,limits-quotas,0.7,True,"FAQ pages for Azure DNS typically include concrete service behaviors and numeric constraints (for example, maximum number of record sets per zone, supported record types, propagation timings, and other service-specific limits) that are not obvious from general knowledge. These are expert, product-specific details that match the limits-quotas category better than the others.",updated
https://learn.microsoft.com/en-us/azure/dns/dns-faq-private,FAQ,Azure Private DNS FAQ,Azure Private DNS FAQs on limits and usage,"In this article, learn frequently asked questions about Azure Private DNS",The following are frequently asked questions about Azure private DNS.,2026-04-01T17:25:00.000Z,faq,limits-quotas,0.7,True,"Azure Private DNS FAQ content commonly documents specific numeric limits (such as maximum number of private zones, virtual network links, records per zone) and precise behavioral constraints unique to the service. These are expert details that align with the limits-quotas sub-skill more than other categories.",updated
https://learn.microsoft.com/en-us/azure/dns/dns-for-azure-services,Integrate with other Azure services,Use Azure DNS with other Azure services,,"In this learning path, get started on how to use Azure DNS to resolve names for other Azure services","Azure DNS is a hosted DNS management and name resolution service. You can use it to create public DNS names for other applications and services that you deploy in Azure. Creating a name for an Azure service in your custom domain is simple. You just add a record of the correct type for your service. The following table outlines the supported record types you can use for various Azure services. As the table shows, Azure DNS supports only DNS records for Internet-facing network resources. Azure DNS",2023-11-30T08:00:00.000Z,how-to,,0.45,False,"Explains using Azure DNS with other services and includes a record-type support table, but primarily mapping of record types to services, not configuration parameters or limits.",unchanged
