url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/iot-central/core/concepts-architecture,Architecture,Azure IoT Central solution architecture - Azure IoT Central,Understand Azure IoT Central solution architecture components,"This article introduces key IoT Central architectural concepts such as device management, security, integration, and extensibility.",IoT Central is a ready-made environment that lets you quickly evaluate your IoT scenario. It's an application platform as a service (aPaaS) IoT solution and its primary interface is a web UI. There's also aREST APIthat lets you interact with your application programmatically. This article provides an overview of the key elements in an IoT Central solution architecture. Key capabilities in an IoT Central application include: IoT Central lets you manage the fleet ofIoT devicesthat are sending data,2025-04-15T08:00:00.000Z,conceptual,architecture-patterns,0.6,True,"Architecture article describing key elements like device management, security, integration, and extensibility; likely includes IoT Central–specific architectural patterns and how components fit together.",unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/concepts-device-authentication,Device authentication,Device authentication in Azure IoT Central - Azure IoT Central,Configure device authentication and enrollment in IoT Central,"This article introduces key IoT Central device authentication concepts such as enrollment groups, shared access signatures, and X.509 certificates.","This article describes how devices authenticate to an IoT Central application. To learn more about the overall connection process, seeHow devices connect. Devices authenticate with the IoT Central application by using either ashared access signature (SAS) tokenor anX.509 certificate. X.509 certificates are recommended in production environments. You useenrollment groupsto manage the device authentication options in your IoT Central application. This article describes the following device authent",2025-04-22T08:00:00.000Z,conceptual,security,0.8,True,"Covers SAS tokens, X.509 certificates, and enrollment groups; this is product-specific security configuration and identity management.",unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/concepts-device-implementation,Device implementation and best practices,Device implementation - Azure IoT Central,Apply device implementation best practices for IoT Central,This article introduces the key concepts and best practices for implementing a device that connects to your IoT Central application.,"This article provides information about how to implement devices that connect to your IoT Central application. It also includes some best practices. To learn more about the overall connection process, seeConnect a device. For sample device implementation code, seeTutorial: Create and connect a client application to your Azure IoT Central application.",2024-10-14T08:00:00.000Z,conceptual,best-practices,0.7,True,Explicitly states it includes best practices for implementing devices; these are product-specific recommendations and gotchas for IoT Central device behavior.,unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/concepts-device-templates,Device templates,What are device templates in Azure IoT Central - Azure IoT Central,Define and manage IoT Central device templates,Device templates let you specify the behavior of the devices connected to your application. They also define a UI for the device in IoT Central.,"A device template in Azure IoT Central is a blueprint that defines the characteristics and behaviors of a type of device that connects to your application. For example, the device template defines the telemetry that a device sends so that IoT Central can create visualizations that use the correct units and data types. Telemetry that matches the device template definition is referred to asmodeleddata. Telemetry that doesn't match the device template definition is referred to asunmodeleddata. A so",2024-07-12T08:00:00.000Z,conceptual,configuration,0.7,True,Explains modeled vs unmodeled telemetry and how templates define capabilities and UI; this is core configuration schema knowledge for IoT Central.,unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/concepts-iot-edge,Connect IoT Edge devices,Azure IoT Edge and Azure IoT Central - Azure IoT Central,Use IoT Edge gateway patterns with IoT Central,Understand how to use Azure IoT Edge with an IoT Central application including the different gateway patterns and IoT Edge management capabilities.,"Azure IoT Edge moves cloud analytics and custom business logic from the cloud to your devices. This approach lets your cloud solution focus on business insights instead of data management. Scale out your IoT solution by packaging your business logic into standard containers, deploying those containers to your devices, and monitoring them from the cloud. This article describes: To learn more about IoT Edge, seeWhat is Azure IoT Edge?",2025-05-23T08:00:00.000Z,conceptual,architecture-patterns,0.7,True,Describes different gateway patterns and IoT Edge management capabilities specific to IoT Central; this is product-specific architectural guidance.,unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/concepts-private-endpoints,Network security using private endpoints,Network security using private endpoints in IoT Central - Azure IoT Central,Configure private endpoints for IoT Central device connectivity,Use private endpoints to limit and secure device connectivity to your IoT Central application instead of using public URLs.,The standard IoT Central endpoints for device connectivity are accessed using public URLs. Any device with a valid identity can connect to your IoT Central application from any location. Use private endpoints to limit and secure device connectivity to your IoT Central application and only allow access through your private virtual network. Private endpoints use private IP addresses from a virtual network address space to connect your devices privately to your IoT Central application. Network traf,2024-10-22T08:00:00.000Z,conceptual,security,0.8,True,Explains using private endpoints and virtual networks to secure device connectivity; includes product-specific network security configuration.,unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/concepts-quotas-limits,What are IoT Central's scale limits?,Azure IoT Central quotas and limits - Azure IoT Central,Review Azure IoT Central quotas and service limits,This article lists the key quotas and limits that apply to an IoT Central application including from the underlying DPS and IoT Hub services.,"There are various quotas and limits that apply to IoT Central applications. IoT Central applications internally use multiple Azure services such as IoT Hub and the Device Provisioning Service (DPS), and these services also have quotas and limits. Where relevant, quotas and limits in the underlying services are called out in this article.",2024-06-26T11:19:00.000Z,reference,limits-quotas,0.95,True,Explicitly lists quotas and limits for IoT Central and underlying IoT Hub/DPS services; this is numeric limit data that changes over time.,unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/how-to-connect-devices-x509,Connect devices that use X.509,Connect devices with X.509 certificates to your application - Azure IoT Central,Authenticate IoT Central devices with X.509 certificates,This article describes how devices can use X.509 certificates to authenticate to your application.,"IoT Central supports both shared access signatures (SAS) and X.509 certificates to secure the communication between a device and your application. TheCreate and connect a client application to your Azure IoT Central applicationtutorial uses SAS. In this article, you learn how to modify the code sample to use X.509 certificates. X.509 certificates are recommended in production environments. For more information, seeDevice authentication concepts in IoT Central. This guide shows two ways to use X.",2025-08-06T08:00:00.000Z,how-to,security,0.78,True,"Contains product-specific authentication configuration, including how to modify sample code to use X.509, certificate parameters, and IoT Central-specific auth flows.",unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/how-to-connect-iot-edge-transparent-gateway,Connect devices through an IoT Edge transparent gateway,Connect an IoT Edge transparent gateway to an application - Azure IoT Central,Connect IoT Edge transparent gateway to IoT Central,How to connect devices through an IoT Edge transparent gateway to an IoT Central application. The article shows how to use the IoT Edge 1.4 runtime.,"An IoT Edge device can act as a gateway that provides a connection between other devices on a local network and your IoT Central application. You use a gateway when the device can't access your IoT Central application directly. IoT Edge supports thetransparentandtranslationgateway patterns. This article summarizes how to implement the transparent gateway pattern. In this pattern, the gateway passes messages from the downstream device through to the IoT Hub endpoint in your IoT Central applicatio",2025-08-06T08:00:00.000Z,how-to,integrations,0.7,True,"Describes the transparent gateway pattern with IoT Central, including runtime version, connection configuration, and gateway-specific behavior unique to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/iot-central/core/howto-administer,Change application settings,Change Azure IoT Central application settings - Azure IoT Central,,"Learn how to manage your Azure IoT Central application by changing application name, URL, upload image, and delete an application","This article describes how you can manage an application. You can change the application name and URL, upload a logo, and delete an application in your Azure IoT Central application. To access and use theSettings > ApplicationandSettings > Customizationsections, you must be in theAdministratorrole for an Azure IoT Central application. If you create an Azure IoT Central application, you're automatically assigned to theAdministratorrole for that application.",2024-10-22T08:00:00.000Z,how-to,,0.35,False,"Changing application name, URL, logo, or deleting an app is straightforward admin UI usage; summary doesn’t indicate deep configuration or constraints.",unchanged
