url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/anomaly-detector-container-configuration,Configure containers,How to configure a container for Anomaly Detector API - Azure AI services,Configure Anomaly Detector container runtime settings,"The Anomaly Detector API container runtime environment is configured using the `docker run` command arguments. This container has several required settings, along with a few optional settings.","Important Starting on the 20th of September, 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired on the 1st of October, 2026. TheAnomaly Detectorcontainer runtime environment is configured using thedocker runcommand arguments. This container has several required settings, along with a few optional settings. Severalexamplesof the command are available. The container-specific settings are the billing settings.",2025-06-12T08:00:00.000Z,how-to,configuration,0.95,True,Explicitly about configuring the container via docker run arguments; includes required and optional settings and container-specific billing parameters—classic configuration table content.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/anomaly-detector-container-howto,Install and run containers,Install and run Docker containers for the Anomaly Detector API - Azure AI services,Deploy and run Anomaly Detector Docker containers,"Use the Anomaly Detector API's algorithms to find anomalies in your data, on-premises using a Docker container.","Important Starting on the 20th of September, 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired on the 1st of October, 2026. Note The container image location has recently changed. Read this article to see the updated location for this container. Containers enable you to use the Anomaly Detector API your own environment. Containers are great for specific security and data governance requirements. In this article you'll learn how to down",2025-10-09T11:03:00.000Z,how-to,deployment,0.7,True,"Covers installing and running Anomaly Detector as Docker containers on-premises; includes container image locations and runtime requirements, which are deployment-specific.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/concepts/anomaly-detection-best-practices,Anomaly Detector API best practices (univariate),Best practices when using the Anomaly Detector univariate API - Azure AI services,Apply univariate Anomaly Detector API best practices,Learn about best practices when detecting anomalies with the Anomaly Detector API.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired on the 1st of October, 2026. The Anomaly Detector API is a stateless anomaly detection service. The accuracy and performance of its results can be impacted by: Use this article to learn about best practices for using the API to get the best results for your data.",2025-06-12T08:00:00.000Z,best-practice,best-practices,0.9,True,Explicit best-practices article for the univariate API; contains product-specific DOs/DON’Ts and guidance to improve accuracy and performance.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/concepts/best-practices-multivariate,Anomaly Detector API best practices (multivariate),Best practices for using the Multivariate Anomaly Detector API - Azure AI services,Use multivariate Anomaly Detector API effectively,Best practices for using the Anomaly Detector Multivariate API's to apply anomaly detection to your time series data.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired on the 1st of October, 2026. This article provides guidance around recommended practices to follow when using the multivariate Anomaly Detector (MVAD) APIs.
In this tutorial, you'll:",2025-06-12T08:00:00.000Z,best-practice,best-practices,0.9,True,Best-practices guidance for multivariate APIs; includes recommended practices and likely product-specific gotchas and configuration guidance.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/concepts/multivariate-architecture,Predictive maintenance architecture (multivariate),Predictive maintenance architecture for using the Anomaly Detector Multivariate API - Azure AI services,,Reference architecture for using the Anomaly Detector Multivariate APIs to apply anomaly detection to your time series data for predictive maintenance.,"Important Starting 20 September 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired 1 October 2026.
We recommend migrating toMicrosoft Fabric, which integrates the open-sourcemicrosoft/anomaly-detector, or to the open-source anomaly-detector project directly. Many different industries need predictive maintenance solutions to reduce risks and gain actionable insights through processing data from their equipment. Predictive maintenance eva",2026-01-27T18:30:00.000Z,concept-article,,0.3,False,"Reference architecture for predictive maintenance; likely conceptual architecture guidance without quantified thresholds, decision matrices, or product-specific config details required by the categories.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/concepts/troubleshoot,Error codes (multivariate),Troubleshoot the Anomaly Detector multivariate API - Azure AI services,Troubleshoot Multivariate Anomaly Detector error codes,Learn how to remediate common error codes when you use the Azure AI Anomaly Detector multivariate API.,"Important Starting on the 20th of September, 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired on the 1st of October, 2026. This article provides guidance on how to troubleshoot and remediate common error messages when you use the Azure AI Anomaly Detector multivariate API.",2025-06-12T08:00:00.000Z,troubleshooting,troubleshooting,0.95,True,Explicit troubleshooting article mapping common error messages to remediation steps for the multivariate API—classic symptom → cause → solution content.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/faq,FAQ,Frequently asked questions - Anomaly Detector - Foundry Tools,Diagnose and resolve Azure Anomaly Detector issues,Get answers to frequently asked questions about the Anomaly Detector Service in Foundry Tools.,This article contains answers to frequently asked troubleshooting questions about the Anomaly Detector service.,2026-06-05T22:11:00.000Z,faq,troubleshooting,0.78,True,"The FAQ is described as containing answers to frequently asked troubleshooting questions for the Anomaly Detector service, which typically includes symptom-to-solution mappings and product-specific guidance beyond generic concepts.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/how-to/batch-inference,Batch inference,Trigger batch inference with trained model - Azure AI services,,Trigger batch inference with trained model,"Important Starting on the 20th of September, 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired on the 1st of October, 2026. You could choose the batch inference API, or the streaming inference API for detection.",2025-06-12T08:00:00.000Z,how-to,,0.3,False,"How-to for triggering batch inference; primarily procedural usage instructions rather than expert configuration, limits, or troubleshooting mappings.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/how-to/create-resource,Create an Anomaly Detector Resource,Create an Anomaly Detector resource - Azure AI services,,Create an Anomaly Detector resource,"Important Starting 20 September 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired 1 October 2026.
We recommend migrating toMicrosoft Fabric, which integrates the open-sourcemicrosoft/anomaly-detector, or to the open-source anomaly-detector project directly. Anomaly Detector service is a cloud-based Azure AI service that uses machine-learning models to detect anomalies in your time series data. Here, you'll learn how to create an Anomal",2026-01-27T18:30:00.000Z,how-to,,0.2,False,"Resource creation walkthrough; typically a portal/how-to article without detailed configuration parameter tables, limits, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/anomaly-detector/how-to/deploy-anomaly-detection-on-container-instances,Use container instances,Run Anomaly Detector Container in Azure Container Instances - Azure AI services,,"Deploy the Anomaly Detector container to an Azure Container Instance, and test it in a web browser.","Important Starting 20 September 2023 you won’t be able to create new Anomaly Detector resources. The Anomaly Detector service is being retired 1 October 2026.
We recommend migrating toMicrosoft Fabric, which integrates the open-sourcemicrosoft/anomaly-detector, or to the open-source anomaly-detector project directly. Learn how to deploy the Azure AI servicesAnomaly Detectorcontainer to AzureContainer Instances. This procedure demonstrates the creation of an Anomaly Detector resource. Then we dis",2025-06-13T05:29:00.000Z,how-to,,0.3,False,"Tutorial for running the container in Azure Container Instances; description suggests basic deployment flow, not detailed deployment constraints, limits, or config matrices.",unchanged
