url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/site-recovery/alternative-vm-size-failover-flow,Alternative virtual machine size guidance,Alternative Virtual machine size recommendation in Azure Site Recovery failover flow - Azure Site Recovery,Use alternative VM size recommendations during failover,Summarizes guidance for alternative virtual machine size recommendation in Azure Site Recovery failover flow.,"Azure Site Recovery now provides alternative virtual machine (VM) size guidance to help you improve the chances of successful VM allocation in your target location during disaster recovery events or drills. This helps you assess the VM capacity and increase the chances of VM allocation during failover process by providing you with alternative VM size recommendations in your target location, in case current configured target VM size has less likelihood of allocation success.",2025-09-29T05:08:00.000Z,concept-article,decision-making,0.65,True,Provides guidance on alternative VM size selection to improve allocation success; this is decision support with scenario-based recommendations.,unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/asr-arm-templates,ARM Templates,Azure Resource Manager Templates - Azure Site Recovery,,Azure Resource Manager templates for using Azure Site Recovery features.,The following table includes links to Azure Resource Manager templates for using Azure Site Recovery features.,2026-02-12T08:00:00.000Z,sample,,0.2,False,"Index of ARM templates; mostly links, not in-page expert configuration or troubleshooting content.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-dr-drill-azure,Run a disaster recovery drill,Run a disaster recovery drill from Azure VMware Solution to Azure by using Azure Site Recovery - Azure Site Recovery,,"Learn how to run a disaster recovery drill from an Azure VMware Solution private cloud to Azure, by using Azure Site Recovery.","This tutorial describes how to run a disaster recovery drill for an Azure VMware Solution virtual machine (VM) to Azure by using theAzure Site Recoveryservice. A drill validates your replication strategy without data loss. This tutorial is the fourth in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution machines. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for a scenario. They use default options where possible,",2026-02-12T08:00:00.000Z,tutorial,,0.25,False,DR drill tutorial for AVS; minimal-steps operational guide without detailed configuration tables or troubleshooting mappings.,unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-failback,Fail back from Azure,Fail back Azure VMware Solution VMsfrom Azure with Azure Site Recovery - Azure Site Recovery,Fail back Azure VMware Solution workloads from Azure,"Learn how to failback to the Azure VMware Solution private cloud after failover to Azure, during disaster recovery.","This article describes how to failback Azure VMs to an Azure VMware Solution private cloud, followingfailoverof Azure VMware Solution VMs to Azure withAzure Site Recovery. After failback, you enable replication so that the Azure VMware Solution VMs start replicating to Azure.",2022-11-03T11:27:00.000Z,tutorial,configuration,0.6,True,"Failback process requires product-specific configuration of replication, networking, and sequencing for AVS environments.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-failover,Fail over to Azure,Fail over Azure VMware Solution VMs to Azure by using Site Recovery - Azure Site Recovery,,Learn how to fail over Azure VMware Solution VMs to Azure in Azure Site Recovery.,"This tutorial describes how to fail over Azure VMware Solution virtual machines (VMs) to Azure by usingAzure Site Recovery. This tutorial is the fifth in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution VMs. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for a scenario. They use default options where possible, and they don't show all possible settings and paths. If you want to learn about failover in detail, seeF",2026-02-12T08:00:00.000Z,tutorial,,0.25,False,"Failover tutorial for AVS; focuses on basic steps, with detailed failover behavior covered elsewhere.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-prepare-avs,Prepare Azure VMware Solution,Prepare Azure VMware Solution for disaster recovery to Azure Site Recovery - Azure Site Recovery,Configure Azure VMware Solution environment for Site Recovery,Learn how to prepare Azure VMware Solution servers for disaster recovery to Azure by using the Azure Site Recovery service.,"This tutorial describes how to prepare Azure VMware Solution servers for disaster recovery to Azure by using theAzure Site Recoveryservice. This tutorial is the second tutorial in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution virtual machines (VMs). In the first tutorial, youset up the Azure componentsthat you need for Azure VMware Solution disaster recovery. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for ",2026-02-11T12:11:00.000Z,tutorial,configuration,0.65,True,"On-AVS preparation typically lists vSphere/vCenter settings, connectivity, and Site Recovery-specific requirements.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-prepare-azure,Prepare Azure,Prepare Azure Site Recovery resources for disaster recovery of Azure VMware Solution VMs - Azure Site Recovery,Prepare Azure resources for Azure VMware Solution disaster recovery,Learn how to prepare Azure resources for disaster recovery of Azure VMware Solution machines by using Azure Site Recovery.,"This tutorial describes how to prepare Azure resources and components so that you can set up disaster recovery of Azure VMware Solution virtual machines (VMs) by using theAzure Site Recoveryservice.Azure VMware Solutionprovides private clouds in Azure. These private clouds contain vSphere clusters that are built from dedicated bare-metal Azure infrastructure. This tutorial is the first in a series that shows you how to set up disaster recovery for Azure VMware Solution VMs. In this tutorial, you",2026-02-12T08:00:00.000Z,tutorial,configuration,0.65,True,"Preparation for AVS DR includes specific Azure-side resources, networking, and vault configuration unique to AVS integration.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-replication,Set up replication,Set up Azure Site Recovery for Azure VMware Solution VMs - Azure Site Recovery,Enable replication for Azure VMware Solution VMs to Azure,"Learn how to set up disaster recovery to Azure for Azure VMware Solution VMs, by using Azure Site Recovery.","This tutorial describes how to enable replication for Azure VMware Solution virtual machines (VMs) for disaster recovery to Azure by using theAzure Site Recoveryservice. This is the third tutorial in a series that shows you how to set up disaster recovery to Azure for Azure VMware Solution VMs. In the previous tutorial, youprepared the Azure VMware Solution environmentfor disaster recovery to Azure. In this tutorial, you learn how to: Note Tutorials show you the simplest deployment path for a sc",2025-12-08T08:00:00.000Z,tutorial,configuration,0.6,True,"Describes enabling replication and configuring policies for AVS VMs, with product-specific settings and constraints.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/avs-tutorial-reprotect,Reprotect VMs,Reprotect Azure VMs to an Azure VMware Solution private cloud with Azure Site Recovery - Azure Site Recovery,,Learn how to reprotect Azure VMware Solution VMs after failover to Azure with Azure Site Recovery.,"Afterfailoverof Azure VMware Solution VMs to Azure, the first step in failing back to your Azure VMware Solution private cloud is to reprotect the Azure VMs that were created during failover. This article describes how to do this.",2026-03-02T12:12:00.000Z,tutorial,,0.2,False,"Step-by-step tutorial for reprotecting Azure VMs to Azure VMware Solution after failover; focuses on procedural guidance rather than detailed limits, configuration parameter tables, troubleshooting mappings, or decision matrices.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/azure-stack-site-recovery,Walkthrough-Set up disaster recovery for Azure Stack Hub,Replicate Azure Stack Hub to Azure using Azure Site Recovery - Azure Site Recovery,,Learn how to set up disaster recovery to Azure for Azure Stack Hub with the Azure Site Recovery service.,"This article shows you how to set up disaster recovery Azure Stack VMs to Azure, using theAzure Site Recovery service. Site Recovery contributes to your business continuity and disaster recovery (BCDR) strategy. The service ensures that your VM workloads remain available when expected and unexpected outages occur. In this article, you learn how to: With these steps complete, you can then run a full failover to Azure as and when you need to.",2026-02-27T08:00:00.000Z,how-to,,0.1,False,"Step-by-step disaster recovery setup for Azure Stack Hub VMs but no visible numeric limits, configuration tables, error codes, or product-specific decision matrices; primarily a procedural/tutorial article.",unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/azure-to-azure-about-networking,Prepare networking for Azure VM disaster recovery,About networking in Azure VM disaster recovery with Azure Site Recovery - Azure Site Recovery,,Provides an overview of networking for replication of Azure VMs using Azure Site Recovery.,"This article provides networking guidance for platform connectivity when you're replicating Azure virtual machines from one region to another, usingAzure Site Recovery.",2025-10-31T08:00:00.000Z,how-to,,0.3,False,Networking overview for Azure-to-Azure DR; primarily conceptual guidance without quantified thresholds or config matrices.,unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/azure-to-azure-architecture,Azure to Azure disaster recovery architecture,Azure to Azure disaster recovery architecture in Azure Site Recovery - Azure Site Recovery,,"Overview of the architecture used when you set up disaster recovery between Azure regions for Azure VMs, using the Azure Site Recovery service.","This article describes the architecture, components, and processes used when you deploy disaster recovery for Azure virtual machines (VMs)  using theAzure Site Recoveryservice. With disaster recovery setup, Azure VMs continuously replicate to a different target region. If an outage occurs, you can fail over VMs to the secondary region, and access them from there. When everything's running normally again, you can fail back and continue working in the primary location.",2025-09-09T08:00:00.000Z,concept-article,,0.4,False,Architecture overview for Azure-to-Azure DR; mostly conceptual components and flows without numeric thresholds or decision matrices.,unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/azure-to-azure-autoupdate,Update the Mobility Service for Azure VMs,Automatic update of the Mobility service in Azure Site Recovery - Azure Site Recovery,Manage automatic Mobility service updates in Site Recovery,Overview of automatic update of the Mobility service when replicating Azure VMs by using Azure Site Recovery.,"Azure Site Recovery uses a monthly release cadence to fix any issues and enhance existing features or add new ones. To remain current with the service, you must plan for patch deployment each month. To avoid the overhead associated with each upgrade, you can allow Site Recovery to manage component updates. As mentioned inAzure-to-Azure disaster recovery architecture, the Mobility service is installed on all Azure virtual machines (VMs) that have replication enabled from one Azure region to anoth",2023-03-27T00:00:00.000Z,how-to,configuration,0.65,True,Describes monthly update cadence and how to configure automatic updates for Mobility service; includes product-specific update settings and behavior.,unchanged
https://learn.microsoft.com/en-us/azure/site-recovery/azure-to-azure-common-questions,Azure to Azure disaster recovery,Common questions about Azure virtual machine disaster recovery with Azure Site Recovery - Azure Site Recovery,Resolve common Azure-to-Azure Site Recovery issues,This article answers common questions about Azure virtual machine disaster recovery when you use Azure Site Recovery.,"This article answers common questions about disaster recovery of Azure virtual machines to another Azure region, using theAzure Site Recoveryservice.",2025-07-25T08:00:00.000Z,faq,troubleshooting,0.7,True,"Common questions for DR typically include specific behaviors, limitations, and resolutions for Azure VM replication and failover, often mapping symptoms to causes and actions.",unchanged
