url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-maps/about-azure-maps,What is Azure Maps?,Overview for Microsoft Azure Maps,,Learn about services and capabilities in Microsoft Azure Maps and how to use them in your applications.,"Azure Maps is a collection of geospatial services and SDKs that use fresh mapping data to provide geographic context to web and mobile applications. Azure Maps provides: Additionally, Azure Maps services are available through the Web SDK. These tools help developers quickly develop and scale solutions that integrate location information into Azure solutions. You can sign up for a freeAzure Maps accountand start developing. The following video explains Azure Maps in depth:",2025-10-22T17:11:00.000Z,overview,,0.2,False,"High-level product overview of Azure Maps services and capabilities without detailed limits, configuration tables, or error mappings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/add-custom-protocol-pmtiles,Add custom protocol PMTiles,Add custom protocol PMTiles in the Web SDK,Use PMTiles custom protocol with Azure Maps,Learn how to add custom protocol PMTiles using the Web SDK.,"The Azure Maps Web SDK supports custom protocols such asPMTiles. Thepmtiles://protocol is used to reference PMTiles archives, which are single-file formats for storing tiled data such as vector and raster maps. This protocol allows Azure Maps to access specific tiles within a PMTiles archive using an HTTP request, fetching only the necessary data on demand.",2024-10-29T17:03:00.000Z,how-to,integrations,0.7,True,"Describes the pmtiles:// protocol support, how Azure Maps fetches tiles from PMTiles archives, and request behavior—product-specific integration details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/android-sdk-migration-guide,Android SDK migration guide,The Azure Maps Android SDK migration guide - Microsoft Azure Maps,Migrate Azure Maps Android SDK apps to Web SDK,Find out how to migrate your Azure Maps Android SDK applications to the Web SDK using a WebView.,Migrating from the Azure Maps Android SDK to the Web SDK in a WebView involves transitioning your existing map view from a native implementation to a web-based map using the Azure Maps Web SDK. This guide shows you how to migrate your code and features from the Android SDK to the Web SDK. Note Azure Maps Android SDK retirement The Azure Maps Native SDK for Android is now retired and no longer supported. Use this guide to migrate to the Azure Maps Web SDK.,2025-04-01T22:03:00.000Z,how-to,integrations,0.63,True,"Gives product-specific code and feature migration patterns from the retired native Android SDK to the Web SDK in a WebView, which is detailed integration guidance not derivable from generic knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/authentication-best-practices,Authentication best practices,Authentication best practices in Azure Maps - Microsoft Azure Maps,Apply authentication best practices for Azure Maps apps,Learn tips & tricks to optimize the use of Authentication in your Azure Maps applications.,"The security of your application is crucial. Regardless of how excellent the user experience is, an insecure application can be compromised by hackers, undermining its integrity and deteriorating user trust. This article contains tips to ensure the security of your Azure Maps application. When using Azure, it's important to familiarize yourself with the available security tools. For more information, SeeIntroduction to Azure securityin the Azure security documentation.",2025-05-02T22:46:00.000Z,best-practice,best-practices,0.7,True,Article explicitly provides tips and practices to secure Azure Maps applications; likely includes product-specific DOs/DON’Ts and patterns for using auth methods.,unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/azure-maps-authentication,Authentication with Azure Maps,Authentication with Microsoft Azure Maps - Azure Maps,Configure Azure Maps authentication methods securely,Learn about two ways of authenticating requests in Azure Maps: shared key authentication and Microsoft Entra authentication.,"Azure Maps supports three authentication methods: Shared Key, Microsoft Entra ID, and Shared Access Signature (SAS) Token. This article explains these authentication methods including details on account controls like disabling local authentication for Azure Policy and Cross-Origin Resource Sharing (CORS). Note To improve secure communication with Azure Maps, we now support Transport Layer Security (TLS) 1.2, and we're retiring support for TLS 1.0 and 1.1. If you currently use TLS 1.x, evaluate y",2023-10-12T17:01:00.000Z,conceptual,security,0.7,True,"Describes specific Azure Maps authentication methods (Shared Key, Entra ID, SAS), account controls, and TLS version support; this is product-specific security configuration guidance.",unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/azure-maps-event-grid-integration,Azure Maps Event Grid integration,React to Azure Maps events by using Event Grid,Integrate Azure Maps geofence events with Event Grid,Find out how to react to Azure Maps events involving geofences. See how to listen to map events and how to use Event Grid to reroute events to event handlers.,"Azure Maps integrates with Azure Event Grid, so that users can send event notifications to other services and trigger downstream processes. The purpose of this article is to help you configure your business applications to listen to Azure Maps events. This allows users to react to critical events in a reliable, scalable, and secure manner. For example, users can build an application to update a database, create a ticket, and deliver an email notification, every time a device enters a geofence. A",2024-01-10T23:11:00.000Z,conceptual,integrations,0.65,True,Covers configuring Azure Maps events with Event Grid and routing to handlers; integration-specific configuration and event wiring details qualify as integration patterns.,unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/azure-maps-qps-rate-limits,Azure Maps QPS Rate Limits,Azure Maps QPS rate limits,Understand Azure Maps QPS rate limits by pricing tier,Azure Maps limitation on the number of Queries Per Second.,"Azure Maps doesn't have any maximum daily limits on the number of requests that can be made, however there are limits to the maximum number of queries per second (QPS). Note Azure Maps Gen1 pricing tier retirement Gen1 pricing tier is now deprecated and will be retired on 9/15/26. Gen2 pricing tier replaces Gen1 (both S0 and S1) pricing tier. If your Azure Maps account has Gen1 pricing tier selected, you can switch to Gen2 pricing tier before it's retired, otherwise it will automatically be upda",2026-03-03T18:22:00.000Z,quickstart,limits-quotas,0.95,True,"Explicitly documents Azure Maps queries-per-second limits, including tier-specific constraints and retirement details for Gen1 vs Gen2 pricing. This is product-specific numerical limit information that an LLM would not reliably know from training.",unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/choose-map-style,Change the style of the map,Change the style of the Azure Maps Web Map Control,Configure map styles in Azure Maps Web Map Control,Learn how to change a map's style and options. See how to add a style picker control to a map in Azure Maps so that users can switch between different styles.,"The map control supports several different mapstyle optionsandbase map styles. All styles can be set when the map control is being initialized. Or, you can set styles by using the map control'ssetStylefunction. This article shows you how to use these style options to customize the map's appearance and how to implement the style picker control in your map. The style picker control allows the user to toggle between different base styles.",2025-02-28T18:05:00.000Z,how-to,configuration,0.64,True,"Details specific style options, base map styles, and the setStyle API, plus implementing a style picker; these are concrete configuration parameters and patterns.",unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/clustering-point-data-web-sdk,Cluster point data,Clustering point data in the Web SDK,Cluster point data with Azure Maps Web SDK,"Learn how to cluster point data on maps. See how to use the Azure Maps Web SDK to cluster data, react to cluster mouse events, and display cluster aggregates.","When there are many data points on the map, some may overlap over each other. The overlap may cause the map may become unreadable and difficult to use. Clustering point data is the process of combining point data that are near each other and representing them on the map as a single clustered data point. As the user zooms into the map, the clusters break apart into their individual data points. When you work with a large number of data points, the clustering processes can improve the user experie",2024-08-29T08:00:00.000Z,how-to,integrations,0.7,True,"Provides concrete clustering configuration and event-handling patterns using Azure Maps data sources and layers, which are product-specific coding details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-maps/consent-management,Consent management,Microsoft Azure Maps consent management,,This article describes consent management in Azure Maps as it applies to data residency laws.,"Azure Maps is a global service that is available worldwide. When creating your Azure Maps account, you select aRegion. The Region selection is the accounts geographic scope, which allows you to limit data residency to the selected region. All requests (including input data) are processed and stored exclusively in the specified geographic area (region). In some cases, you will need to enable your search requests to be processed in a region or geography other than the one your Azure Maps Account i",2025-10-21T22:11:00.000Z,conceptual,,0.4,False,Consent management and data residency overview; mostly policy/behavior description rather than concrete configuration matrices or limits.,unchanged
