url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-administration,"Reboot, flush, and schedule updates","Reboot, Flush, and Schedule Updates Azure Cache for Redis - Azure Cache for Redis","Reboot, flush, and schedule updates for Azure Redis","Learn how to reboot, flush a cache, and schedule updates for Azure Cache for Redis","Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: This article describes tasks such asrebooting,flushinga cache,  andUpdate channel and Schedule updatesfor your Azure Cache for Redis instances.",2025-10-09T05:15:00.000Z,conceptual,configuration,0.65,True,"Administration article describes operational controls and update scheduling channels, which are product-specific configuration/operations settings.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-azure-active-directory-for-authentication,Microsoft Entra ID for authentication,Use Microsoft Entra for cache authentication - Azure Cache for Redis,Configure Microsoft Entra authentication for Azure Cache for Redis,Learn how to use Microsoft Entra with Azure Cache for Redis.,"Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement: Azure Cache for Redis offers two methods toauthenticateto your cache instance: access keys and Microsoft Entra. Although access key authentication is simple, it comes with a set of challenges around security and password management. For contrast, in th",2026-03-25T22:12:00.000Z,how-to,security,0.8,True,"Entra-based authentication setup for this cache will include specific RBAC roles, scope formats, configuration parameters, and connection/auth settings that are product-specific security configuration details, matching the security category.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-client-libraries,Client libraries best practices,Best practices for client libraries - Azure Cache for Redis,Use Redis client libraries effectively with Azure Cache,"Learn about recommended client libraries for Azure Cache for Redis, including a section devoted to Redisson best practices.","Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: Azure Cache for Redis is based on the Redis open-source, in-memory data store. Redis clients for many programming languages can access Azure Redis. Your application can use any client library that's compatible with open-source Redis to connect to your Azure Redis cache. Eac",2026-02-01T12:13:00.000Z,conceptual,best-practices,0.75,True,"Client library best-practices article includes concrete recommendations and configuration patterns (for example, Redisson settings) specific to Azure Cache for Redis.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-connection,Connection resilience best practices,Best practices for connection resilience - Azure Cache for Redis,Improve Azure Redis connection resilience,Learn how to make your Azure Cache for Redis connections resilient.,Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement:,2024-04-22T22:06:00.000Z,conceptual,best-practices,0.7,True,Connection resilience article focuses on DOs/DON’Ts and specific client configuration patterns to handle failover and transient errors for this service.,unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-development,Development best practice,Best practices for development - Azure Cache for Redis,Apply development best practices for Azure Cache for Redis,Learn how to develop code for Azure Cache for Redis.,Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement:,2026-05-15T05:53:00.000Z,best-practice,best-practices,0.8,True,"A 'best practices for development' article for Azure Cache for Redis is likely to contain product-specific DOs and DON'Ts, such as recommended connection patterns, retry strategies, and configuration values tailored to this service. That aligns with the best-practices category as concrete, actionable guidance beyond generic programming advice.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-enterprise-tiers,Enterprise tiers best practices,Best practices for the Enterprise tiers - Azure Cache for Redis,Use Azure Redis Enterprise and Flash tiers effectively,Learn the best practices when using the high performance Azure Cache for Redis Enterprise and Enterprise Flash tiers.,Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: Here are the best practices when using the Enterprise and Enterprise Flash tiers of Azure Cache for Redis.,2025-10-09T05:15:00.000Z,conceptual,best-practices,0.7,True,"Enterprise tiers best-practices include guidance on using high-performance features, likely with configuration and usage recommendations unique to those SKUs.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-kubernetes,Kubernetes-hosted client applications best practices,Best practices for Kubernetes-hosted client apps - Azure Cache for Redis,Optimize Kubernetes-hosted clients for Azure Cache for Redis,Learn about best practices for using Azure Cache for Redis in Kubernetes-hosted client applications.,Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement: This article provides best practices for using Azure Cache for Redis in Kubernetes-hosted client applications.,2026-02-26T23:12:00.000Z,best-practice,best-practices,0.75,True,"Kubernetes-hosted client best practices are likely to include concrete patterns such as connection multiplexer reuse, pod/connection limits, readiness/liveness probe settings, and network configuration specific to Azure Cache for Redis, which are product-specific DO/DON'T guidelines.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-memory-management,Memory management best practice,Best practices for memory management - Azure Cache for Redis,Optimize Azure Redis memory management,Learn how to manage your Azure Cache for Redis memory effectively.,Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: This article describes best practices for memory management in Azure Cache for Redis.,2025-10-09T05:15:00.000Z,conceptual,best-practices,0.75,True,"Memory management best-practices are highly product-specific, often including eviction policies, configuration values, and edge cases unique to Azure Redis.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-performance,Performance testing best practice,Best practices for performance testing - Azure Cache for Redis,Run performance testing for Azure Cache for Redis,Learn how to test the performance of Azure Cache for Redis.,"Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement: Testing the performance of a Redis instance can be a complicated task. The performance of a Redis instance can vary based on parameters such as the number of clients, the size of data values, and whether pipelining is being used. There also can be a tr",2026-02-24T06:10:00.000Z,how-to,best-practices,0.7,True,"A performance testing best-practices article for a specific service usually includes concrete recommendations (client counts, data sizes, pipelining usage, benchmark tools/commands, configuration examples) that are product-specific and actionable, matching the best-practices criteria.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-scale,Scaling best practices,Best practices for scaling - Azure Cache for Redis,Scale Azure Cache for Redis effectively and safely,Learn how to scale your Azure Cache for Redis.,Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement:,2026-02-26T06:24:00.000Z,best-practice,best-practices,0.7,True,"Scaling best-practices content for this service typically includes concrete guidance such as when to scale up vs out, specific SKU-related behaviors, data persistence considerations during scaling, and configuration patterns, which are actionable product-specific recommendations.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-best-practices-server-load,Server load management best practice,Best practices for Using and Monitoring the CPU utilization - Azure Managed Redis,Monitor and manage CPU utilization for Azure Managed Redis,Learn how to use and monitor your server load for Azure Cache for Redis.,Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement:,2026-03-25T22:12:00.000Z,best-practice,best-practices,0.7,True,"A CPU utilization and server load article generally contains specific thresholds, metric names, and recommended actions (for example, what CPU percentage is acceptable, when to scale, which metrics to watch), which are concrete DO/DON'T guidelines unique to this product.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-configure,Configure in Azure portal,How to configure Azure Cache for Redis - Azure Cache for Redis,Configure Azure Cache for Redis server settings,Understand the default Redis configuration for Azure Cache for Redis and learn how to configure your Azure Cache for Redis instances.,"Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: This article describes the configurations available for your Azure Cache for Redis instances. This article also covers thedefault Redis server configurationfor Azure Cache for Redis instances. Note For more information on configuring and using premium cache features, seeHow",2025-10-09T05:15:00.000Z,conceptual,configuration,0.8,True,"Details default Redis server configuration for Azure and which parameters can be changed, including names, ranges, and behavior—core configuration knowledge.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-configure-role-based-access-control,Role-based access control,Configure custom data access policies - Azure Cache for Redis,Configure custom data access policies for Azure Redis,Learn how to create and configure a data access policy for Azure Cache for Redis and enable role-based access control via Microsoft Entra ID.,"Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: Managing access to your Azure Redis cache instance is critical to ensuring that the right users have access to the right set of data and commands. Redis version 6 introduced theAccess Control List(ACL), which lists the keys that specific users can access and the commands th",2025-10-09T05:15:00.000Z,how-to,security,0.8,True,"Describes Redis ACL-based data access policies and Entra RBAC integration, including role/policy definitions and permission scopes.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-development-faq,Development FAQs,Azure Cache for Redis development FAQs - Azure Cache for Redis,,Learn the answers to common questions that help you develop for Azure Cache for Redis.,This article provides answers to common questions about how to develop for Azure Cache for Redis. Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement:,2026-02-01T12:13:00.000Z,faq,,0.3,False,"A development FAQ is usually a mix of general usage questions and high-level guidance without structured symptom→solution mappings, specific error codes, or detailed configuration tables. From the description it appears conceptual and Q&A oriented, not focused on limits, configuration matrices, or troubleshooting details.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-event-grid,Publishing Azure Cache for Redis events,Azure Cache for Redis Event Grid Overview - Azure Cache for Redis,,Use Azure Event Grid to publish Azure Cache for Redis events.,"Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances to Azure Managed Redis as soon as you can. Migration guidance: For more details about the retirement: Azure Cache for Redis events, such as patching, scaling, import/export (RDB) events are pushed usingAzure Event Gridto subscribers such as Azure Functions, Azure Logic Apps, or even to your own http listener. Event Grid provides reliable event delivery",2026-02-24T23:11:00.000Z,concept-article,,0.2,False,"Described as an Event Grid overview for Azure Cache for Redis events. Likely focuses on conceptual explanation of events and integration possibilities without detailed parameter tables, limits, or product-specific configuration values; reads as overview/marketing rather than deep config or troubleshooting.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-event-grid-quickstart-cli,Route events with Azure CLI,Quickstart: Route Azure Cache for Redis events to web endpoint with Azure CLI - Azure Cache for Redis,Route Azure Redis events to web endpoints with CLI,"Use Azure Event Grid to subscribe to Azure Cache for Redis events, trigger an event, and view the results.","Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: Azure Event Grid is an eventing service for the cloud. In this quickstart, you'll use the Azure CLI to subscribe to Azure Cache for Redis events, trigger an event, and view the results. Typically, you send events to an endpoint that processes the event data and takes action",2025-10-09T05:15:00.000Z,quickstart,integrations,0.65,True,"CLI-based Event Grid integration for Redis events; includes specific CLI parameters, resource types, and event subscription settings unique to this product integration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-event-grid-quickstart-portal,Route events with Azure portal,Quickstart: Route Azure Cache for Redis events to web endpoint with the Azure portal - Azure Cache for Redis,Route Azure Redis events to webhooks via portal,"Use Azure Event Grid to subscribe to Azure Cache for Redis events, send the events to a Webhook, and handle the events in a web application","Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: Azure Event Grid is an eventing service for the cloud. In this quickstart, you'll use the Azure portal to create an Azure Cache for Redis instance, subscribe to events for that instance, trigger an event, and view the results. Typically, you send events to an endpoint that ",2025-10-09T05:15:00.000Z,quickstart,integrations,0.65,True,"Quickstart wiring Redis events to a webhook via Event Grid; likely includes event type names, schema details, and configuration parameters specific to this integration.",unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-event-grid-quickstart-powershell,Route events with PowerShell,Quickstart: Route Azure Cache for Redis events to web endpoint with PowerShell - Azure Cache for Redis,Route Azure Redis events to web endpoints with PowerShell,"Use Azure Event Grid to subscribe to Azure Cache for Redis events, send the events to a Webhook, and handle the events in a web application.","Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: Azure Event Grid is an eventing service for the cloud. In this quickstart, you'll use Azure PowerShell to subscribe to Azure Cache for Redis events, trigger an event, and view the results. Typically, you send events to an endpoint that processes the event data and takes act",2025-10-09T05:15:00.000Z,quickstart,integrations,0.65,True,PowerShell-based Event Grid integration; includes cmdlet names and parameter sets specific to Azure Cache for Redis event subscriptions.,unchanged
https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-failover,Failover and patching,Failover and patching - Azure Cache for Redis,Handle failover and patching in Azure Redis clients,"Learn about failover, patching, and the update process for Azure Cache for Redis.","Important Azure Cache for Redis announced its retirement timeline for all SKUs. We recommend moving your existing Azure Cache for Redis instances toAzure Managed Redisas soon as you can. For more details about the retirement: To build resilient and successful client applications, it's critical to understand failover in the Azure Cache for Redis service. A failover can be a part of planned management operations, or it might be caused by unplanned hardware or network failures. A common use of cach",2024-04-30T22:14:00.000Z,conceptual,best-practices,0.7,True,Explains failover and patching behavior and how clients should handle it; likely includes product-specific recommendations and edge cases for resilient client design.,unchanged
