url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/copy-move-projects,Copy and back up projects,Copy and back up Custom Vision projects - Foundry Tools,Copy and back up Custom Vision projects across regions,Learn how to use the ExportProject and ImportProject APIs to copy and back up your Custom Vision projects.,"After you've created and trained a Custom Vision project, you might want to copy your project to another resource. If your app or business depends on a Custom Vision project, we recommend you copy your model to another Custom Vision account in another region. Then if a regional outage occurs, you can access your project in the region where it was copied. TheExportProjectandImportProjectAPIs enable this scenario by allowing you to copy projects from one Custom Vision account into others. This gui",2025-01-22T08:00:00.000Z,how-to,deployment,0.7,True,Uses ExportProject and ImportProject APIs to move projects between accounts/regions for resilience; this is a deployment/operational pattern with product-specific APIs.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/custom-vision-onnx-windows-ml,Use ONNX model with Windows ML,Use an ONNX model with Windows ML - Custom Vision Service - Foundry Tools,Integrate Custom Vision ONNX models with Windows ML apps,Learn how to create a Windows UWP app that uses an ONNX model exported from Foundry Tools.,Learn how to use an ONNX model exported from the Custom Vision service with Windows ML (preview). You'll use an example application with your own trained image classifier.,2025-02-21T23:30:00.000Z,how-to,integrations,0.8,True,Demonstrates using an exported ONNX model in a UWP app via Windows ML; includes code and configuration specific to this integration path.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/encrypt-data-at-rest,Use customer-managed keys,Custom Vision encryption of data at rest - Foundry Tools,Configure customer-managed keys for Custom Vision encryption,Learn how to enable and manage customer-managed keys (CMK) for data encryption at rest in Azure AI Custom Vision.,Azure AI Custom Vision automatically encrypts your data when persisting it to the cloud. That encryption helps you to meet your organizational security and compliance commitments.,2025-01-30T12:11:00.000Z,how-to,security,0.8,True,Explains enabling and managing CMK for data-at-rest encryption; includes service-specific security configuration steps and key management details.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/export-delete-data,View or delete account data,View or delete your data - Custom Vision Service - Foundry Tools,"View, export, and delete Custom Vision data securely","You maintain full control over your data. This article explains how you can view, export or delete your data in the Custom Vision Service.","Custom Vision collects user data to operate the service, but customers have full control to viewing and delete their data using the Custom VisionTraining APIs. Note This article provides steps about how to delete personal data from the device or service and can be used to support your obligations under the GDPR. For general information about GDPR, see theGDPR section of the Microsoft Trust Centerand theGDPR section of the Service Trust portal. To learn how to view or delete different kinds of us",2025-01-29T08:00:00.000Z,how-to,security,0.7,True,"Covers how to view/export/delete data via Training APIs, in a GDPR context; involves product-specific data management operations relevant to security/compliance.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/export-model-python,Run TensorFlow model in Python,Tutorial: Run TensorFlow model in Python - Custom Vision Service - Foundry Tools,Run exported Custom Vision TensorFlow models in Python,Run a TensorFlow model in Python. This article only applies to models exported from image classification projects in the Custom Vision service.,"This guide shows you how to use anexported TensorFlow modellocally to classify images. Note This guide only applies to models exported from ""General (compact)"" image classification projects. If you exported other models, please visit oursample code repository.",2025-02-04T23:06:00.000Z,how-to,integrations,0.8,True,Tutorial for using exported TensorFlow models locally; contains code and environment details for integrating Custom Vision models into Python applications.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/export-programmatically,Export a model programmatically,Export a model programmatically - Foundry Tools,Export Custom Vision models programmatically with SDK,"Learn how to use the Custom Vision client library to export a trained model programmatically, enabling automation of model retraining and updates.",All of the export options available on theCustom Vision websiteare also available programmatically through the client libraries. You might want to use client libraries so you can fully automate the process of retraining and updating the model iteration you use on a local device. This guide shows you how to export your model to an ONNX file with the Python SDK.,2025-03-30T11:14:00.000Z,how-to,integrations,0.8,True,"Shows how to export models via client libraries; includes API methods, parameters, and example code for ONNX export, which are integration patterns with the service.",unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/export-your-model,Export your model to mobile,Export your model to mobile - Custom Vision Service - Foundry Tools,Export Custom Vision models for offline and mobile use,Learn how to export your model for use in creating mobile applications or to run locally for real-time classification.,Azure AI Custom Vision Service lets you export your classifiers to run offline. You can embed your exported classifier into an application and run it locally on a device for real-time classification.,2024-11-19T23:00:00.000Z,how-to,deployment,0.65,True,Model export for mobile/offline use is a deployment concern; such pages typically describe supported target platforms/formats and constraints for running models on devices.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/faq,Custom Vision FAQ,Frequently asked questions - Custom Vision - Foundry Tools,,Get answers to frequently asked questions about the Custom Vision Service in Foundry Tools.,"Tip If you can't find answers to your questions in this FAQ, ask the Azure Vision in Foundry Tools API community onStack Overflowor contact Help and Support onUserVoice.",2025-11-18T19:04:00.000Z,faq,,0.0,False,"FAQ page description is generic and does not indicate presence of specific limits, configuration tables, error-code mappings, or other detailed expert-only data per the defined categories.",updated
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/get-started-build-detector,Using the web portal,Quickstart: Build an object detector with the Custom Vision website - Foundry Tools,,"Learn how to use the Custom Vision website to create, train, and test an object detector model.","This quickstart explains how to use the Custom Vision website to create an object detector model. Once you build a model, you can test it with new images and integrate it into your own image recognition app.",2024-11-19T23:00:00.000Z,quickstart,,0.3,False,Portal-based quickstart for object detection; mostly UI workflow without detailed API parameters or config tables.,unchanged
https://learn.microsoft.com/en-us/azure/ai-services/custom-vision-service/getting-started-build-a-classifier,Using the web portal,Quickstart: Build an image classification model with the Custom Vision portal - Foundry Tools,,"Learn how to use the Custom Vision web portal to create, train, and test an image classification model.","Important Microsoft is announcing the planned retirement of the Azure Custom Vision service. Microsoft will provide full support for all existing Azure Custom Vision customers until 9/25/2028. During this support window, customers are encouraged to begin planning and executing their transition to alternative solutions.
Depending on your use case, we recommend the following paths for transition: Microsoft is also investing in Generative AI-based solutions that increase accuracy in custom scenario",2025-10-15T17:22:00.000Z,quickstart,,0.3,False,"Quickstart for building a classifier via portal; primarily step-by-step UI guidance, not configuration matrices, limits, or troubleshooting mappings.",unchanged
